,degree,weighted_degree,pagerank,betweenness,harmonic,stations_outside_largest_component,scheduled_stop_calls
degree,1.0,0.5511546419411109,0.5871268793985983,0.7116554824080323,0.8228111059054107,0.46462148303923995,0.4582025371949022
weighted_degree,0.5511546419411109,1.0,0.8586264199285902,0.6654033011506795,0.454345865728241,0.37977705184778193,0.9427318163720448
pagerank,0.5871268793985983,0.8586264199285902,1.0,0.7519787352815821,0.41054805642394043,0.5174034849490777,0.8002000123793258
betweenness,0.7116554824080323,0.6654033011506795,0.7519787352815821,1.0,0.5742636112339787,0.5681673397713374,0.6034942591215049
harmonic,0.8228111059054107,0.454345865728241,0.41054805642394043,0.5742636112339787,1.0,0.36614831232614975,0.3877972140954384
stations_outside_largest_component,0.46462148303923995,0.37977705184778193,0.5174034849490777,0.5681673397713374,0.36614831232614975,1.0,0.3391284441610251
scheduled_stop_calls,0.4582025371949022,0.9427318163720448,0.8002000123793258,0.6034942591215049,0.3877972140954384,0.3391284441610251,1.0
