region,stations,mean_socio_cluster,mean_scheduled_stop_calls,total_scheduled_stop_calls,mean_betweenness,mean_harmonic,articulation_point_share,mean_single_station_damage
מרכז,39,6.410256410256411,237.53846153846155,9264,0.08983722829876672,0.26284307723701655,0.1282051282051282,1.6666666666666667
צפון,18,5.833333333333333,215.61111111111111,3881,0.05980747647414311,0.24093772155640833,0.3888888888888889,2.0555555555555554
דרום,7,4.571428571428571,139.71428571428572,978,0.022544122544122518,0.20911627453835235,0.14285714285714285,0.2857142857142857
ירושלים,3,4.666666666666667,159.33333333333334,478,0.0101010101010101,0.23789336365093938,0.3333333333333333,0.3333333333333333
