socio_unit_id,socio_cluster,population,stops,active_stops,total_stop_use,avg_trip_graph_degree,critical_stops,community,city,region,metro,stop_use_per_1000,stops_per_1000,stop_use_per_stop,critical_stop_share,active_stop_share
10470001,6.0,293.0,45,45,5584,3.6,0,5.0,חזון,צפון,פריפריה,19058.0204778157,153.5836177474403,124.08888888888889,0.0,1.0
10500001,9.0,2172.0,7,7,936,3.142857142857143,0,7.0,בית חשמונאי,מרכז,תל אביב,430.939226519337,3.2228360957642725,133.71428571428572,0.0,1.0
10510001,7.0,320.0,3,3,117,2.0,0,47.0,תלמי אליהו,דרום,פריפריה,365.625,9.375,39.0,0.0,1.0
10520001,5.0,509.0,3,3,668,3.0,0,30.0,קטורה,דרום,פריפריה,1312.37721021611,5.893909626719057,222.66666666666666,0.0,1.0
10560001,3.0,175.0,2,2,424,1.0,0,9.0,"עין כרם-בי""ס חקלאי",ירושלים,ירושלים,2422.857142857143,11.428571428571429,212.0,0.0,1.0
10580001,9.0,393.0,1,1,77,4.0,0,47.0,שדה ניצן,דרום,פריפריה,195.92875318066157,2.544529262086514,77.0,0.0,1.0
10590001,1.0,23990.0,62,62,10203,3.0483870967741935,0,53.0,כסיפה,דרום,פריפריה,425.3022092538558,2.5844101709045435,164.56451612903226,0.0,1.0
10600001,2.0,16011.0,18,18,1752,4.277777777777778,0,0.0,לקיה,דרום,באר שבע,109.42477047030167,1.1242270938729624,97.33333333333333,0.0,1.0
1060001,4.0,363.0,2,2,1934,4.0,0,4.0,כפר גדעון,צפון,פריפריה,5327.823691460055,5.5096418732782375,967.0,0.0,1.0
10610011,6.0,6833.0,46,46,16455,3.608695652173913,0,8.0,נוף הגליל,צפון,פריפריה,2408.166252012293,6.732035709058978,357.7173913043478,0.0,1.0
10610012,4.0,4709.0,110,110,36204,2.918181818181818,0,8.0,נוף הגליל,צפון,פריפריה,7688.256530048843,23.35952431514122,329.1272727272727,0.0,1.0
10610021,5.0,3681.0,23,23,7377,2.608695652173913,0,8.0,נוף הגליל,צפון,פריפריה,2004.074979625102,6.2483020918228735,320.7391304347826,0.0,1.0
10610022,3.0,3540.0,24,24,31780,4.25,0,8.0,נוף הגליל,צפון,פריפריה,8977.401129943504,6.779661016949152,1324.1666666666667,0.0,1.0
10610023,3.0,2419.0,16,16,18013,4.1875,0,8.0,נוף הגליל,צפון,פריפריה,7446.465481603968,6.614303431169905,1125.8125,0.0,1.0
10610024,5.0,2787.0,12,12,10329,4.833333333333333,0,8.0,נוף הגליל,צפון,פריפריה,3706.135629709365,4.3057050592034445,860.75,0.0,1.0
10610031,6.0,2643.0,39,39,16709,2.5384615384615383,0,8.0,נוף הגליל,צפון,פריפריה,6321.982595535377,14.755959137343927,428.43589743589746,0.0,1.0
10610032,7.0,2182.0,11,11,4173,2.909090909090909,0,8.0,נוף הגליל,צפון,פריפריה,1912.4656278643447,5.0412465627864345,379.3636363636364,0.0,1.0
10610033,3.0,2674.0,9,9,5425,3.6666666666666665,0,8.0,נוף הגליל,צפון,פריפריה,2028.7958115183246,3.3657442034405385,602.7777777777778,0.0,1.0
10610034,3.0,2973.0,14,14,9613,5.285714285714286,0,8.0,נוף הגליל,צפון,פריפריה,3233.4342415068954,4.709048099562731,686.6428571428571,0.0,1.0
10610041,3.0,3318.0,14,14,6552,2.4285714285714284,0,8.0,נוף הגליל,צפון,פריפריה,1974.6835443037976,4.219409282700422,468.0,0.0,1.0
10610042,4.0,1657.0,25,25,12239,3.52,0,40.0,נוף הגליל,צפון,פריפריה,7386.240193120097,15.087507543753771,489.56,0.0,1.0
10610043,5.0,4768.0,19,19,16577,4.631578947368421,0,8.0,נוף הגליל,צפון,פריפריה,3476.7197986577185,3.984899328859061,872.4736842105264,0.0,1.0
10630001,7.0,4292.0,28,28,3287,2.1785714285714284,0,2.0,מעלות-תרשיחא,צפון,פריפריה,765.8434296365331,6.523765144454799,117.39285714285714,0.0,1.0
10630003,5.0,3803.0,19,19,2931,2.526315789473684,0,2.0,מעלות-תרשיחא,צפון,פריפריה,770.7073363134368,4.9960557454641075,154.26315789473685,0.0,1.0
10630004,5.0,4754.0,41,41,7435,3.951219512195122,0,2.0,מעלות-תרשיחא,צפון,פריפריה,1563.9461506100124,8.624316365166175,181.34146341463415,0.0,1.0
10630005,3.0,5741.0,34,34,10311,3.0588235294117645,0,2.0,מעלות-תרשיחא,צפון,פריפריה,1796.0285664518376,5.922313185856122,303.2647058823529,0.0,1.0
10630006,6.0,3931.0,25,25,3871,3.48,0,2.0,מעלות-תרשיחא,צפון,פריפריה,984.7367082167387,6.359704909692191,154.84,0.0,1.0
10640001,6.0,865.0,5,5,369,3.2,0,48.0,אמירים,צפון,פריפריה,426.5895953757225,5.780346820809248,73.8,0.0,1.0
10650001,6.0,685.0,10,10,442,2.5,0,13.0,זמרת,דרום,פריפריה,645.2554744525547,14.598540145985401,44.2,0.0,1.0
10660001,5.0,6881.0,14,14,3201,3.357142857142857,0,68.0,"בני עי""ש",מרכז,פריפריה,465.19401249818344,2.0345879959308237,228.64285714285714,0.0,1.0
10670001,7.0,464.0,5,5,164,2.8,0,1.0,"דוב""ב",צפון,פריפריה,353.44827586206895,10.775862068965518,32.8,0.0,1.0
10680001,7.0,286.0,4,4,138,2.5,0,2.0,אדמית,צפון,פריפריה,482.5174825174825,13.986013986013987,34.5,0.0,1.0
10690001,8.0,957.0,1,1,49,2.0,0,4.0,רם-און,צפון,פריפריה,51.20167189132707,1.0449320794148382,49.0,0.0,1.0
10700001,7.0,897.0,6,6,313,3.1666666666666665,0,44.0,אביעזר,מרכז,פריפריה,348.9409141583055,6.688963210702341,52.166666666666664,0.0,1.0
1070001,2.0,402.0,3,3,2164,6.0,0,22.0,כפר סילבר,מרכז,פריפריה,5383.084577114428,7.462686567164179,721.3333333333334,0.0,1.0
10710001,6.0,883.0,9,9,339,2.4444444444444446,0,44.0,נווה מיכאל,מרכז,פריפריה,383.9184597961495,10.192525481313703,37.666666666666664,0.0,1.0
10720001,8.0,605.0,3,3,444,3.3333333333333335,0,6.0,גן הדרום,מרכז,פריפריה,733.8842975206612,4.958677685950414,148.0,0.0,1.0
10760001,4.0,268.0,7,7,1034,4.142857142857143,0,10.0,בית ברל,מרכז,תל אביב,3858.208955223881,26.119402985074625,147.71428571428572,0.0,1.0
10770001,9.0,423.0,1,1,26,3.0,0,3.0,גבעת שפירא,מרכז,פריפריה,61.46572104018912,2.3640661938534278,26.0,0.0,1.0
10790001,7.0,428.0,5,5,407,3.2,0,6.0,צפרירים,מרכז,פריפריה,950.9345794392523,11.682242990654204,81.4,0.0,1.0
10800001,7.0,1238.0,5,5,48,2.4,0,13.0,מבועים,דרום,פריפריה,38.77221324717286,4.038772213247173,9.6,0.0,1.0
10810001,7.0,285.0,10,10,369,2.4,0,2.0,אבן מנחם,צפון,פריפריה,1294.7368421052631,35.08771929824561,36.9,0.0,1.0
10820001,6.0,2075.0,3,3,82,2.3333333333333335,0,13.0,מעגלים,דרום,באר שבע,39.51807228915662,1.4457831325301205,27.333333333333332,0.0,1.0
10830001,6.0,891.0,1,1,41,4.0,0,13.0,תושייה,דרום,פריפריה,46.015712682379345,1.122334455667789,41.0,0.0,1.0
10840001,3.0,598.0,4,4,1481,8.0,0,45.0,בן שמן (כפר נוער),מרכז,תל אביב,2476.5886287625417,6.688963210702341,370.25,0.0,1.0
