socio_cluster,neighborhoods,population,stops,active_stops,total_stop_use,median_stops_per_1000,median_stop_use_per_1000,mean_trip_graph_degree,mean_critical_stop_share,stops_per_1000_residents,stop_use_per_1000_residents,stop_use_per_stop,active_stop_share
1.0,76,667436.0,1203,1203,897595,1.66216496987326,1184.6861649687808,3.8210889011485576,0.0,1.8024200073115624,1344.8405540006831,746.1305070656691,1.0
2.0,220,999322.0,3092,3092,2438424,2.7645313281931116,1596.4608766275937,4.1413795163990565,0.0,3.0940977983072524,2440.078373136987,788.6235446313066,1.0
3.0,227,796975.0,3119,3119,1581797,3.246753246753247,1403.6632617118703,3.387722956899974,0.0,3.9135481037673707,1984.7510900592865,507.1487656300096,1.0
4.0,165,555396.0,2053,2053,988570,2.784948224135012,1348.2243880580295,3.4383583255871746,0.0,3.696461623778349,1779.937197963255,481.5245981490502,1.0
5.0,360,1169885.0,4421,4421,2442255,2.9766567444775185,1328.5049146404554,3.5011966181870253,0.0,3.7790039191886384,2087.6026276086964,552.4213978737843,1.0
6.0,298,812904.0,3394,3394,1706795,3.3557046979865772,1136.8857689853223,3.362793871937766,0.0,4.17515475382087,2099.6267701967267,502.88597525044196,1.0
7.0,624,1617073.0,5893,5893,2167281,3.472222222222222,797.0454545454545,3.3009855939139654,0.0,3.6442386954701487,1340.249327024816,367.77210249448495,1.0
8.0,360,1051485.0,3322,3322,1577156,3.0120481927710845,862.453531598513,3.5695761956806527,0.0,3.1593413125246674,1499.9320009320152,474.76098735701385,1.0
9.0,341,1014032.0,3437,3437,1699398,2.8402444828671074,911.3048330524302,3.638035294635856,0.0,3.389439386528236,1675.8820234469918,494.44224614489383,1.0
10.0,10,24206.0,126,126,123297,2.7788805081381502,909.6196868008949,4.067067669172933,0.0,5.205320994794679,5093.654465834918,978.547619047619,1.0
