series,n_untrimmed,n_after_p90_trim,ols_slope_untrimmed_used_in_figures,ols_slope_trimmed_old_behaviour,spearman_rho_untrimmed,p_value_untrimmed
NATIONAL (all neighbourhoods),2643,2378,-289.8484967611036,-60.725951337533445,-0.1508686995355984,6.3307695578443116e-15
מודיעין עילית (#45),19,17,-597.4149587589968,-292.4070120981946,-0.6518862021795256,0.0024920170504256264
ירושלים (#11),57,51,317.4100970186395,286.96088764827186,0.4313293584786078,0.0008087371571000451
