removed_stop,origin_stop,destination_stop,baseline_seconds,detour_seconds
17303,7370,3154,6886.0,139.0
17303,7370,21193,6940.0,49.0
17303,7370,5913,6795.0,195.0
17303,7370,5677,7564.0,15.0
17303,7370,20673,6491.0,277.0
17303,7370,19441,7323.0,115.0
17303,7370,17444,6932.0,213.0
17303,7370,48904,6158.0,247.0
17303,7370,43546,7548.5,115.0
17303,7370,17184,7037.0,161.0
17303,44999,6928,6967.0,55.0
17303,44999,2387,7437.0,4.0
17303,17806,28975,7354.0,6.0
17303,17806,41904,7000.0,61.0
17303,17806,47124,7793.0,104.0
17303,18919,7387,8420.0,433.0
17303,18919,7443,8283.0,433.0
17303,40680,7406,6841.0,15.0
17303,49250,49634,5980.0,77.0
17303,27840,6905,7376.0,164.0
17303,27840,40318,8699.0,21.0
17303,27840,1804,7682.0,62.0
41133,9260,1648,5518.0,63.0
41133,42717,10220,2716.0,31.0
41133,14916,51374,3826.0,234.0
41133,43475,9502,4901.0,37.0
41133,10298,49607,4284.0,52.0
41133,11789,5561,8014.0,41.0
41133,40210,4173,4961.0,607.0
41133,8655,24480,3652.0,71.0
41133,6298,11350,6579.0,55.0
41133,42855,10539,3341.0,96.0
41133,3928,9748,6145.0,15.0
41133,9738,39704,7711.0,64.0
41133,29013,7864,5723.0,143.0
41133,37050,38128,3353.0,24.0
41133,11455,41657,4379.0,4.0
41133,34213,6369,7670.0,31.0
41133,25280,8737,4049.0,63.0
41133,11340,40661,3280.5,56.0
41133,9738,50810,8784.5,47.0
41133,41048,9435,5660.0,106.0
41133,43035,9661,3942.0,64.0
41133,9260,4028,5938.0,63.0
41133,40210,13208,2519.0,285.0
41133,49250,8183,2299.5,147.0
41133,11340,39279,3016.0,44.0
41133,23065,38129,2737.0,44.0
41133,11191,43740,7990.0,68.5
41133,9592,18070,8403.0,56.0
41133,18315,11192,8683.0,54.0
41133,34345,8591,4349.0,109.0
41133,34213,39102,4628.0,131.0
41133,10298,48268,3354.0,50.0
41133,22990,36858,3801.0,63.0
41133,37685,11615,3504.0,52.0
41133,11191,39955,7119.0,68.5
41133,23682,9768,4879.0,63.0
41133,9738,42613,5290.0,150.0
41133,11789,44347,6274.0,241.0
41133,49928,23973,3385.0,36.0
41133,28849,38134,4086.0,8.0
41133,9592,576,4491.0,57.0
41133,40210,27172,2779.5,217.0
41133,50275,10156,4784.0,129.0
41133,49928,13810,3051.0,50.0
41133,6590,9853,8615.0,59.0
41133,4141,8415,5062.0,39.5
41133,879,9332,3609.0,98.0
41133,34213,5340,7644.0,31.0
41133,6770,10621,8949.0,56.0
41133,9592,50008,8106.0,56.0
41133,47843,43151,4005.0,131.0
41133,49928,40091,5430.0,143.0
41133,1167,11838,5522.0,118.0
41133,2027,51931,7434.0,124.0
41133,4608,34710,6541.0,3.0
41133,44786,50398,2706.0,5.0
41133,49928,22418,3191.0,105.0
41133,11789,34054,4224.0,7.0
41133,27775,41931,6844.0,58.0
41133,9592,19915,7732.0,31.0
41133,34345,10534,3713.0,57.0
41133,28279,44010,6939.0,8.0
41133,2532,9437,6807.0,41.5
41133,25174,39076,4085.0,105.0
41133,16792,10119,2998.0,72.0
41133,50122,9915,6609.0,16.0
41133,16875,10287,3217.0,73.0
41133,11789,1661,6664.0,253.0
41133,40210,17091,5136.0,363.0
41133,44876,7763,3406.0,38.0
41133,49928,43278,3328.0,36.0
41133,9592,20390,6417.0,16.0
41133,26119,44803,4737.0,143.0
41133,49928,38621,4883.0,105.0
41133,37472,8721,3578.0,32.0
41133,36491,8471,2859.0,113.0
41133,11340,21146,6802.0,18.0
41133,46917,11880,4364.0,335.0
41133,11789,38132,3091.0,75.0
41133,49928,4194,6315.0,105.0
41133,11191,15260,2076.5,50.0
41133,11191,9425,967.0,69.0
41133,28769,50864,5558.0,131.5
41133,8794,49271,4098.0,137.0
41133,41048,8187,6288.0,16.0
41133,6002,11715,6931.0,64.0
41133,47956,8325,3050.0,152.0
41133,9260,44761,5454.0,128.0
41133,11789,49395,5179.0,122.0
41133,35825,8973,6752.0,144.0
41133,11340,42661,4564.0,56.0
41133,47827,10015,7826.0,56.0
41133,36981,9920,2025.0,29.0
41133,2543,34276,6599.0,105.0
41133,2027,9373,6461.0,144.0
41133,40210,39062,6041.0,465.0
41133,28038,34951,5293.0,1.0
41133,44338,37734,3082.0,108.0
41133,48381,10628,5012.0,8.0
41133,11191,35428,2224.0,174.0
41133,40210,37635,3288.0,448.0
41133,11340,24365,3190.0,126.0
41133,27859,8483,4948.0,8.0
41133,23470,51566,2574.0,127.0
41133,44338,8695,2947.0,160.0
41133,16637,9377,3111.0,58.0
41133,25186,34695,3971.0,90.0
41133,42855,38591,3915.0,17.0
41133,27949,39688,5130.5,112.0
41133,9793,17495,6546.0,91.0
41133,14038,11350,3932.0,42.0
41133,11340,25317,3328.0,144.0
41133,9260,19769,5902.0,296.0
41133,34345,10732,3487.0,109.0
41133,15902,10095,3171.0,104.0
41133,11789,39606,4452.0,7.0
41133,11340,37782,6742.0,56.0
41133,11789,50115,7808.0,7.0
41133,34213,15217,5270.0,47.5
41133,36981,34785,4831.0,125.0
41133,34213,259,4674.0,101.0
41133,11789,38976,4156.0,251.0
41133,9738,36046,4446.0,97.0
41133,11340,14077,3006.0,63.0
41133,6002,9870,7363.0,64.0
41133,21432,48361,2630.0,139.0
41133,11789,41055,9179.0,161.0
41133,5548,9516,6859.0,16.0
41133,20016,40200,8980.0,23.5
41133,9793,7058,8136.0,64.0
41133,48347,44007,5407.0,143.0
41133,11340,1797,5842.0,10.0
41133,50872,9667,6948.0,110.0
41133,11789,10296,3123.0,65.0
41133,36491,50091,3223.0,52.0
41133,852,10714,4192.0,109.0
41133,25186,38551,2984.0,71.0
41133,11191,17054,5077.0,69.0
41133,9738,40010,7504.0,52.0
41133,2543,11219,5579.0,228.0
41133,28138,10214,5322.0,8.0
41133,49250,46288,1578.5,92.5
41133,11191,7059,7136.0,68.5
41133,11191,24217,2264.0,52.0
41133,50122,9369,6600.0,16.0
41133,9793,7209,8525.0,56.0
41133,46917,9862,5402.0,109.0
41133,27230,8690,4867.0,23.0
41133,852,9161,3940.0,217.0
41133,10298,16299,3498.0,85.0
41133,16792,8744,3063.0,84.0
41133,11789,40093,6677.0,7.0
41133,10298,48376,4929.0,52.0
41133,36981,12203,6296.0,25.0
41133,11789,4245,8265.0,111.0
41133,11340,50101,4355.0,263.0
41133,42606,43976,6875.0,2.0
41133,11191,24253,3178.0,39.5
41133,16383,34825,4002.0,63.0
41133,10298,17409,6953.0,74.0
41133,26635,8189,7620.0,77.5
41133,48381,7940,7241.0,43.0
41133,211,41150,4386.0,95.0
41133,42710,47940,3835.0,116.0
41133,14469,29194,8295.0,139.0
41133,25457,8636,3282.0,147.0
41133,26916,10155,5013.0,143.0
41133,11191,37675,2511.0,49.5
41133,43670,11112,8546.0,7.0
41133,34350,9986,4422.0,50.0
41133,11789,24253,5017.0,226.0
41133,9793,13707,3645.0,30.0
41133,11789,3776,7813.0,71.0
41133,21432,34985,2946.0,12.0
41133,211,9728,4450.0,86.5
41133,11340,21807,3855.0,29.0
41133,9738,20159,5956.0,144.0
41133,509,9785,5046.0,100.0
41133,11455,44097,4970.0,63.0
41133,17306,10529,7088.0,60.0
41133,42990,51090,5959.0,172.0
41133,16637,9597,3138.0,58.0
41133,14149,10061,3687.0,90.0
41133,40210,43651,2641.0,312.0
41133,28622,9990,4620.0,88.0
41133,4018,11220,4306.0,648.0
41133,40210,35781,5984.0,469.0
41133,10298,42845,1621.0,98.0
41133,13746,10095,3408.0,86.0
41133,11340,14306,3990.0,50.0
41133,991,9869,4115.0,251.0
41133,50275,9437,4853.0,109.0
41133,14079,10409,3368.0,63.0
41133,40210,20690,6428.0,363.0
41133,40210,26927,5501.0,230.0
41133,13924,38123,3218.0,41.0
41133,6002,11207,5860.0,329.0
41133,13882,11507,3241.0,41.0
41133,10830,42749,2185.0,60.5
41133,49928,24960,4411.0,301.0
41133,11789,28429,5516.0,7.0
41133,40210,262,3567.0,336.5
41133,21818,9887,2908.0,63.0
41133,11340,27325,3486.0,56.0
41133,28769,7894,5521.0,155.0
41133,9592,17501,6260.0,55.0
41133,44876,9916,2158.0,29.0
41133,24554,34169,3432.0,109.0
41133,9793,24720,2822.0,24.0
41133,29013,36854,4761.0,18.0
41133,9738,24706,2580.0,34.0
41133,23065,9195,2939.0,30.0
41133,9592,14886,4152.0,172.0
41133,15566,11456,2228.0,48.0
41133,14149,41396,4117.0,90.0
41133,9260,26372,3670.0,167.0
41133,14916,10199,4470.0,143.0
41133,21818,51562,2777.0,223.0
41133,25280,9272,3995.0,74.0
41133,21432,9518,2513.0,139.0
41133,9793,14073,3651.0,14.0
41133,37472,34213,3699.0,32.0
41133,48381,50488,4892.0,8.0
41133,9260,26958,5341.0,128.0
41133,26635,46288,6779.0,23.0
41133,15946,9419,3860.0,109.0
41133,4141,8647,4548.0,0.0
41133,11789,38713,4346.0,78.0
41133,38462,34695,6007.5,38.0
41133,41886,9812,3862.0,11.0
41133,49928,14280,3706.0,63.0
41133,10298,48414,5012.0,63.0
41133,3379,9664,6188.0,61.0
41133,49928,12780,4340.0,143.0
41133,16383,9339,2826.0,47.0
41133,47843,9944,2866.0,216.0
41133,11191,43006,4347.0,36.5
41133,49928,27071,3765.0,143.0
41133,11340,49781,2463.0,24.0
41133,42990,8646,4642.0,54.0
41133,9260,14185,4062.0,63.0
41133,16338,9417,3266.0,31.0
41133,28616,10109,3507.0,47.0
41133,49928,19389,6384.0,32.0
41133,11191,20876,6686.0,68.5
41133,50122,11214,5773.0,506.0
41133,49928,4523,5968.0,25.0
41133,40210,37620,6891.0,469.0
41133,16637,35614,3700.0,58.0
41133,11455,16942,5543.0,63.0
41133,44338,36854,3859.0,155.0
41133,27668,11114,6856.0,7.0
41133,44338,10439,3480.0,39.0
41133,46917,9352,4426.0,161.0
41133,34059,50478,3027.0,37.0
41133,12531,44012,12739.0,110.0
41133,10298,44713,5216.0,14.0
41133,11191,9326,1362.0,69.0
41133,50275,8889,4803.0,244.0
41133,211,9716,4983.0,60.0
41133,11455,928,3755.0,38.0
41133,44786,9502,2751.0,37.0
41133,21419,50087,3452.0,52.0
41133,17806,9474,6611.0,46.0
41133,40210,18563,6765.0,390.0
41133,34213,47905,5150.0,29.0
41133,11191,34796,4789.0,69.0
41133,47827,11534,7117.0,177.0
41133,42064,49489,3414.0,188.0
41133,14469,9692,3799.0,141.0
41133,40210,5762,6287.0,355.5
41133,15946,37263,4139.0,259.0
41133,10830,10695,2049.0,19.0
41133,41617,9932,7815.0,110.0
41133,37480,10226,2111.0,137.0
41133,9592,7036,6415.0,16.0
41133,211,9369,4510.0,86.5
41133,9592,1994,6717.0,26.0
41133,4217,10542,6732.0,110.0
41133,9260,40533,3874.0,70.0
41133,9738,50229,3295.0,31.0
41133,10298,49250,2027.5,121.5
41133,10298,28127,5400.0,52.0
41133,11789,44247,7956.0,169.0
41133,41509,3452,6786.0,51.0
41133,44287,44958,5416.0,37.0
41133,23065,11516,2468.0,30.0
41133,2543,39139,6413.0,144.0
41133,1167,49223,5766.0,118.0
41133,27668,38161,6096.0,41.0
41133,40210,27292,4245.0,217.0
41133,49936,9916,2502.0,143.0
41133,39471,38159,4988.0,19.0
41133,2027,10618,7185.0,20.0
41133,38462,10492,5513.5,23.0
41133,40210,24275,2520.0,217.0
41133,21818,8482,2912.0,235.0
41133,23470,10679,2825.0,90.0
41133,838,40207,2891.0,130.0
41133,40210,42966,4097.0,363.0
41133,11191,2433,5788.0,68.5
41133,47827,10107,7737.0,56.0
41133,40210,23093,1556.0,217.0
41133,17306,10629,6503.0,60.0
41133,47956,11878,2589.0,31.0
41133,11789,24427,4640.0,277.0
41133,23682,10700,4022.0,63.0
41133,27192,34756,5295.0,149.5
41133,47827,46743,8073.0,5.0
41133,15516,8384,5129.0,11.0
