stop_id,stop_name,own_community,connected_communities,degree,lat,lon
24062,קק''ל/יגאל אלון,14,1,14,32.023435,34.759632
24063,דב הוז/גבעתי,16,1,14,32.023202,34.761875
22849,מרכז ספורט רמת אליהו,9,1,20,31.984689,34.78511
22847,הנחשול/הצדף,5,1,9,31.988601,34.781765
24071,המעפילים/שד' דב הוז,16,1,13,32.024295,34.765658
24072,המעפילים/דב הוז,16,1,15,32.024706,34.765541
24074,הבנים/יפו,25,1,13,32.028815,34.763626
24075,הבנים/הראל,25,1,13,32.028522,34.765867
24076,המעפילים/הבנים,25,1,16,32.028933,34.766825
24077,המעפילים/הבנים,25,1,15,32.028997,34.76662
24089,יוסף לישנסקי/שייקה דן,5,1,8,31.994753,34.767269
24091,בן גוריון/רבינוביץ,16,1,16,31.998082,34.767431
22846,הנחשול/אבא הלל סילבר,9,1,19,31.986176,34.783882
22845,הנחשול/הדייגים,9,1,19,31.986236,34.783798
22844,הנחשול/הלווייתן,5,1,10,31.988815,34.78111
22843,האלמוגים/הרשת,5,1,21,31.987633,34.779064
22842,האלמוגים/השייטים,5,1,18,31.988249,34.779597
22790,מרכז ספורט/שדרות בן גוריון,9,1,9,31.973869,34.792138
24092,בן גוריון/רבינוביץ,16,1,19,31.99857,34.767241
24101,קניון חולון/גולדה מאיר,16,1,13,32.011891,34.778948
24102,קניון חולון/גולדה מאיר,16,1,13,32.01247,34.777684
24103,תיכון קוגל/גולדה מאיר,28,1,10,32.011523,34.781425
24104,תיכון קוגל/גולדה מאיר,28,1,14,32.011031,34.782259
24137,דב הוז/הנרייטה סולד,16,1,13,32.023264,34.768042
23415,משה דיין/לוי אשכול,9,1,17,31.979243,34.780344
22738,השומר/מזי''א,21,1,11,31.959361,34.814599
24145,ההסתדרות/חנקין,16,1,15,32.017237,34.777356
24146,שנקר/ההסתדרות,16,1,20,32.018167,34.775582
22667,קק''ל/רהב,14,1,16,32.023554,34.757022
24058,מרכז נאות רחל/אילת,16,1,15,32.018119,34.764759
24056,יוספטל/אילת,16,1,17,32.014591,34.763883
23980,אילת/יוספטל,16,1,16,32.013952,34.764801
24053,מבצע סיני/יוספטל,14,1,18,32.016465,34.7594
23981,מצפור גלים/דרך בן גוריון,14,1,12,32.014863,34.738512
23982,דרך בן גוריון/מקס נורדאו,14,1,7,32.015851,34.738558
23991,בלפור/מקס נורדאו,14,1,24,32.015184,34.74334
23110,שדרות הרצל/טרומפלדור,36,1,15,31.928863,34.871026
23999,ת.רק''ל בנימין/יוספטל,14,1,26,32.01659,34.74747
24000,ת.רק''ל בנימין/יוספטל,14,1,25,32.016406,34.747381
24001,שד' בר אילן/החרושת,14,1,26,32.015438,34.748599
23102,כלא איילון,7,1,11,31.933237,34.881812
24002,החשמונאים/יוספטל,14,1,26,32.015638,34.74973
24016,שד' העצמאות/שמחה הולצברג,14,1,26,32.029203,34.749533
24018,רוטשילד/ויצמן,14,1,22,32.0272,34.750433
24019,ויצמן/רוטשילד,14,1,20,32.027566,34.75017
23081,מרכז רפואי מכבי הופיין,16,1,20,32.01417,34.766419
23019,כצנלסון/י ל פרץ,9,1,14,31.967793,34.791262
24020,שד' ירושלים/שמחה הולצברג,14,1,27,32.029896,34.750499
22981,שמוטקין/פריימן,21,1,18,31.975452,34.810973
22964,דרך המכבים/פריימן,21,1,12,31.977527,34.808252
24021,שד' ירושלים/שמחה הולצברג,14,1,26,32.03012,34.75029
24037,מבצע סיני/סטרומה,14,1,18,32.021638,34.757273
24038,היכל התרבות/מבצע סיני,14,1,19,32.021027,34.758196
24039,ירושלים/השלושה,14,1,22,32.025859,34.75276
24040,ירושלים/השלושה,14,1,16,32.025767,34.753724
24042,ביה''ס עקיבא/השלושה,14,1,20,32.027792,34.752932
24045,ביה''ס ירושלים/כצנלסון,14,1,20,32.024358,34.754512
24046,קק''ל/רהב,14,1,16,32.023359,34.75717
24047,ביה''ס נתיבות רבקה/הפלמ''ח,25,1,14,32.028126,34.755456
24048,ויצמן/קדושי לוצק,25,1,19,32.02872,34.754773
24049,הפלמ''ח/גוש עציון,25,1,18,32.029605,34.75724
24050,ויצמן/השלושה,25,1,17,32.030382,34.756858
24142,כיכר הלוחמים/איצטדיון,16,1,13,32.029383,34.772064
3,מרכז ראשונים/הנחשול,9,1,16,31.984553,34.782828
29623,ת.רק''ל מחרוזת/שד' ירושלים,14,1,20,32.032344,34.75122
48737,שדרות ירושלים/אד קוץ',25,1,22,32.037525,34.755479
48816,ת.רק''ל קרליבך/לינקולן,18,1,30,32.066288,34.783154
48784,ביאליק,29,1,18,32.087285,34.812851
48770,מחרוזת,14,1,17,32.033272,34.751559
48769,ארלוזורוב,29,1,60,32.081554,34.796524
48768,כ''ט בנובמבר,14,1,21,32.010852,34.7515
48747,דנקנר,1,1,11,32.090949,34.872167
48719,שדרות לוי אשכול/מארק שאגאל,32,1,8,32.117433,34.790631
48878,העמל,33,1,26,32.005878,34.74897
48718,קרליבך,18,1,29,32.065272,34.782824
48692,שאול המלך,18,1,25,32.076636,34.792005
48656,הרב גורן/חיים בר לב,15,1,12,32.059182,34.845967
48650,קרול,19,1,21,32.091913,34.877506
48644,שדרות ירושלים/שדרות הבעש''ט,25,1,23,32.037431,34.755134
