mode_label,stop_id,stop_calls
bus,40904,302
bus,8262,281
bus,8263,281
bus,8265,97
bus,40902,97
bus,8266,97
bus,8267,97
bus,34836,97
bus,7993,97
bus,34837,97
bus,8270,195
bus,8271,195
bus,34776,635
bus,28319,448
bus,12433,448
bus,12411,552
bus,29018,782
bus,12432,1180
bus,29047,877
bus,25822,611
bus,12207,593
bus,12208,598
bus,28181,725
bus,12243,725
bus,28310,1360
bus,28209,922
bus,28292,936
bus,28307,599
bus,12080,97
bus,28294,755
bus,12310,355
bus,12126,355
bus,29190,233
bus,12128,233
bus,28728,207
bus,38984,66
bus,37221,158
bus,35608,66
bus,39227,131
bus,28217,374
bus,28563,313
bus,26782,369
bus,26787,800
bus,12247,1127
bus,28198,632
bus,26803,632
bus,26904,663
bus,12736,819
bus,26810,649
bus,26815,285
bus,26827,284
bus,43140,584
bus,12386,669
bus,26841,719
bus,15295,451
bus,15294,922
bus,15290,922
bus,15289,922
bus,15349,538
bus,15350,538
bus,15292,1044
bus,15297,1044
bus,15300,1044
bus,47829,668
bus,38143,1167
bus,22072,996
bus,22073,996
bus,22074,1602
bus,22089,787
bus,15271,868
bus,15275,868
bus,15360,987
bus,22076,1909
bus,22078,1909
bus,15255,2042
bus,16891,1282
bus,22079,1419
bus,16892,1318
bus,22080,1331
bus,21591,1074
bus,21469,659
bus,21470,1232
bus,21471,1050
bus,21472,1045
bus,24787,1662
bus,50788,589
bus,21594,1158
bus,21473,694
bus,21595,2165
bus,21474,1736
bus,15563,2366
bus,15564,2773
bus,21475,2352
bus,24738,2603
bus,21476,1121
bus,21880,1848
bus,13170,1613
bus,13163,2805
bus,44003,1189
bus,29506,1743
bus,13119,1743
bus,44459,875
bus,13178,4731
bus,14595,3327
bus,24430,1867
bus,24431,788
bus,24438,617
bus,24443,640
bus,24441,640
bus,24436,269
bus,24434,506
bus,47203,435
bus,46420,516
bus,48862,1391
bus,858,1392
bus,24404,2033
bus,24401,1931
bus,24400,2033
bus,24398,1450
bus,24395,1189
bus,24394,1581
bus,24458,402
bus,23769,302
bus,14228,155
bus,29503,308
bus,29383,1603
bus,29378,2975
bus,29373,950
bus,29349,1420
bus,29336,3573
bus,13358,7890
bus,12910,8408
bus,13136,5132
bus,29479,3830
bus,29480,4953
bus,13636,2840
bus,13143,3227
bus,12893,2266
bus,48083,1187
bus,13226,3729
bus,48438,5692
bus,48640,5328
bus,51270,2522
bus,26371,1093
bus,26370,859
bus,36091,859
bus,28605,859
bus,28607,859
bus,26342,859
bus,12031,703
bus,25918,1973
bus,27585,928
bus,48396,712
bus,28750,712
bus,26237,422
bus,26246,566
bus,26244,566
bus,26224,396
bus,39628,568
bus,26218,568
bus,27109,637
bus,26215,1157
bus,25543,1934
bus,25544,1960
bus,25545,1934
bus,25546,1239
bus,26202,428
bus,26195,508
bus,26196,508
bus,25928,1412
bus,26162,963
bus,25929,1412
bus,25930,2283
bus,43370,946
bus,28854,497
bus,25900,356
bus,26093,542
bus,26080,676
bus,26073,337
bus,26059,344
