from_stop,to_stop,trip_frequency
8643,8641,430
8965,8728,429
7404,7405,429
7398,7418,429
7418,7404,429
23270,24296,429
48640,49236,428
4150,4506,428
47119,10226,427
29477,14045,427
5165,4509,427
262,261,427
21145,4963,426
14043,14356,426
10323,9621,426
8805,43794,425
4590,4500,425
11899,10661,425
9660,9723,425
43882,39522,424
39523,43880,424
8064,43882,424
9621,9695,424
13286,13251,422
43282,13440,422
9749,10004,422
10710,10626,421
9434,9435,421
4509,4511,421
29401,14325,421
15557,15558,421
2179,1469,420
26689,40150,419
8997,8998,418
43271,13496,418
13330,13140,417
13607,13603,417
43285,43275,417
13606,13609,416
13602,13606,416
9504,9505,416
5313,5314,416
10111,10113,416
9533,11266,416
14021,14040,415
13332,50332,415
14081,14008,415
43847,43850,415
8700,8701,414
8701,8702,414
7365,7366,413
7364,7365,413
43850,43851,413
3611,17277,413
17557,18428,413
7370,7371,412
13111,13228,412
7368,7369,412
7367,7368,412
43851,43848,412
11805,40024,412
41237,12900,412
9503,9504,412
8667,8664,411
10446,11724,410
10452,8936,410
14031,14021,410
7366,7367,410
11497,10101,410
11724,11497,410
1191,1184,409
9724,37256,409
37256,9725,409
13198,13926,409
9725,9524,409
13348,13221,408
44402,44405,408
2476,2500,407
41244,41240,406
41240,41241,406
51387,48513,406
9694,10325,405
10325,10326,405
44405,44407,405
10326,10324,405
24660,13419,405
9443,8851,405
8663,9443,404
8949,8950,404
13926,13330,404
10444,10445,404
12952,39962,403
7386,7387,403
13372,29623,402
8830,8831,402
26872,40151,402
8702,8815,402
9589,9485,402
14339,37528,401
29352,14056,401
49354,10786,401
40151,26684,401
8765,9959,400
37207,3815,399
36098,37207,399
1141,1144,399
8131,8132,399
9812,11622,398
14332,13252,398
43393,9812,398
8972,8973,397
26469,25986,397
8768,8972,397
3812,3894,397
13442,43283,397
10786,9589,396
1246,1247,396
8995,8996,395
8457,7910,395
13206,48640,394
274,35290,394
10032,8764,394
8763,10032,394
1188,1169,393
43274,43284,393
45042,10784,393
9487,9484,393
9364,9577,393
49074,9364,393
9484,8961,393
12969,13082,392
9423,9636,391
35591,35435,390
35049,35591,390
13946,13220,390
8824,8825,390
1247,2402,389
36097,2409,389
41239,41243,388
41242,41239,388
10747,11878,388
4855,21145,388
16006,21317,388
13030,13241,387
11877,9811,387
9810,11877,387
9365,10134,387
9577,9365,387
23923,23917,386
13658,13652,386
10114,10112,386
5266,5268,385
10192,9428,385
10591,11070,385
5316,5317,385
12999,13095,384
12984,12985,384
13389,13369,384
10134,49466,384
29450,29401,384
2500,3899,384
3732,3733,384
8668,8824,384
2443,2047,384
4596,17557,383
13092,13000,383
1170,1191,383
8969,8768,382
13138,12984,381
13081,13162,380
9546,48664,380
21062,4806,380
10990,10996,380
7391,7490,380
4806,4203,380
7602,7603,380
11864,8663,380
7390,7391,380
7389,7390,380
8388,7602,379
10847,43801,379
8831,9994,379
7384,7385,378
4860,18229,378
18229,4861,378
18195,21062,378
10588,50937,378
8672,8673,378
35846,8467,377
8998,8999,377
50398,47982,377
13228,13574,377
13178,13601,376
4861,4858,376
40027,8726,375
50639,13494,375
44412,44408,375
13108,50639,375
8743,8744,375
9505,43847,375
44960,8703,375
8744,8745,375
13445,43282,374
13075,13512,374
2583,2363,374
44408,44406,374
50501,50498,373
13028,13245,372
13245,14081,372
8641,8639,372
7487,7486,372
13448,13445,372
44262,44264,372
44406,44403,372
7349,7530,371
13112,12981,371
5708,5709,370
8939,8940,370
13838,13835,369
43291,43294,369
13794,13800,369
48514,47935,369
13362,14370,369
3733,2443,368
8940,8941,368
9539,9552,368
7548,7657,368
13037,13040,368
13562,13554,368
7550,7548,368
13474,13469,368
7632,7633,368
13206,48438,367
356,354,367
11032,11027,367
7657,7547,366
13287,14332,366
7566,36929,366
9973,9456,366
14104,14101,366
13033,13562,366
13199,13332,366
2364,2360,366
8704,44961,365
7633,7549,365
14535,43291,365
10264,10225,365
9584,9375,365
43284,14535,364
13368,13370,364
13370,13388,364
25987,36807,364
9712,9429,364
5709,5710,364
49210,13362,364
21800,7619,363
7549,7579,363
43593,40885,362
36807,26181,362
24756,24765,362
9603,9402,362
18066,18041,361
18040,18058,361
13800,13112,361
10449,8975,360
35048,41545,360
35046,35048,360
25982,25983,359
8938,8939,359
8996,8997,359
7569,7570,359
13509,13164,359
10700,10243,359
16062,16063,359
18058,18078,358
13321,13632,358
7558,7545,358
11632,10587,358
7543,7558,358
4729,4915,357
9727,9590,357
1187,1188,357
13572,13567,357
11931,25881,357
7551,7552,356
22076,22078,356
25883,26308,356
9825,9408,356
25274,25273,356
7553,7554,356
9523,9425,356
9824,9825,356
7552,7553,356
41050,41049,355
25923,25924,355
2080,2755,355
13161,13081,355
13082,13161,355
13793,13794,354
44467,44468,354
11637,49784,354
13488,44467,354
42300,48481,354
9700,10647,354
13052,14104,354
13670,13683,354
9048,41133,354
7380,7381,353
43281,43280,353
44468,13556,353
29490,13670,353
25881,25882,353
25922,25923,353
10702,10151,353
12816,12837,353
9914,8870,352
15817,25405,352
8950,10735,352
14349,13145,352
36929,42126,352
47934,48515,352
8862,10844,352
3916,3931,351
13251,13287,350
10152,36798,350
1848,1842,350
43698,36980,350
11878,47451,350
43283,43281,350
25091,12884,350
9028,10990,349
745,24402,349
13487,13488,349
14370,13019,349
11793,10588,349
17277,35825,348
12910,13734,348
11478,8733,348
22078,15255,348
24114,24116,348
13067,13179,348
44265,44263,348
14046,29353,347
24402,24403,347
1948,1949,346
1949,1950,346
50498,50503,345
16419,16417,345
10335,8949,345
14316,13247,345
13770,13793,344
23991,23914,344
8797,10370,344
12985,13770,344
11511,10733,344
16217,16218,344
16220,16217,343
44307,13088,343
2356,3869,343
24021,772,343
13404,43288,342
14056,14057,342
50503,13055,342
9586,11799,341
7360,7361,341
11744,11884,341
7361,7362,341
7362,7363,341
5315,5316,341
9430,9431,340
7501,7644,340
7643,7501,340
42654,40899,340
1784,1849,340
41214,44530,339
1644,1645,339
7609,7610,339
7608,7609,339
24151,24149,339
7345,7346,339
2437,2025,339
10370,10371,339
10371,8799,339
7491,7345,339
13382,13404,339
44530,49401,339
41216,41214,339
7369,7370,338
10237,10746,338
7371,7372,338
13103,48415,338
38940,13199,338
7644,7645,338
7645,7509,338
48512,50356,338
35823,3732,337
10739,9395,337
7387,7480,337
13371,13375,337
8487,7516,337
5314,5315,337
10116,11479,336
13164,29514,336
11799,11510,335
9695,9342,335
10012,10739,335
13588,49938,335
41163,41171,335
14344,14027,335
3915,2583,335
44469,44465,335
13724,13719,334
13608,13616,334
12945,48403,334
10643,10733,334
3894,36097,333
36979,43697,333
13616,13614,333
9954,8760,333
4665,4815,333
10747,10639,333
14052,14044,332
13129,13588,332
7648,7537,332
3869,2357,332
7537,7498,332
10735,8952,331
10318,11449,331
8815,47119,331
13603,42863,331
13719,44687,331
7512,7651,331
621,591,330
11865,10747,330
7647,7648,330
7619,7562,330
24014,24030,330
13512,50497,330
3234,3953,330
15235,292,329
22110,22111,329
15563,15564,329
7514,7515,329
22111,21800,329
7538,7511,329
7511,7512,329
7515,7638,329
13204,38947,328
35435,35047,328
8960,9433,328
47952,7393,328
13572,13570,328
29353,29354,328
7392,47952,328
13220,13153,328
44531,41215,328
15558,23307,328
49397,44531,328
43957,49397,328
10239,10150,328
10149,10239,328
10238,10149,328
25544,25545,327
7636,7514,327
35837,35501,327
5048,4635,327
10150,10241,327
47442,47423,327
16373,16376,326
7561,23075,326
24155,24660,326
2357,3803,326
34707,8126,326
50499,13509,326
4659,5165,326
49559,4598,326
10460,10458,326
283,15235,326
8828,9810,325
23969,23967,325
11234,11734,325
23975,23971,325
12900,14316,325
47451,11880,325
292,303,325
11622,9814,325
1469,3915,325
23971,23969,325
48513,48514,324
3962,1863,324
11610,8639,324
8639,37785,324
10519,9820,324
41161,41162,324
1461,2359,324
8114,8410,323
9574,10519,323
25885,25886,323
2025,2027,323
7350,7351,322
44264,44266,322
13287,13288,322
9382,9684,322
24763,24167,322
7351,7352,322
9029,9030,321
13067,29339,321
18078,18082,321
24003,24013,321
24033,24003,321
8755,9352,321
4565,4668,321
12973,13053,321
269,270,321
13053,13090,321
25886,25887,321
11770,11771,321
18085,18066,321
51615,18141,320
18082,20843,320
265,269,320
10151,10152,319
43486,24006,319
291,290,319
4847,4849,319
13664,29490,319
2167,2170,319
4849,5160,319
5160,4846,319
5696,5697,319
2092,3108,318
9988,9891,318
10722,11574,318
25840,25838,318
1863,2558,318
48708,35846,317
24036,24038,317
9487,9483,317
3952,2167,317
13567,38952,317
9903,9694,317
9687,9690,316
23931,23908,316
4510,6254,316
13055,13111,316
35061,7573,315
7573,7574,315
7572,35061,315
34678,7572,315
13615,13617,315
12981,12969,315
18413,21083,315
11850,9973,315
13617,13610,315
9483,9481,315
25132,25133,315
9388,9683,315
11459,11826,314
25839,25840,314
29474,29477,314
1872,1873,314
9892,9986,314
2558,1872,314
9990,9892,313
13440,13390,313
14032,14029,313
25938,25939,313
51963,44471,313
3228,1848,313
44470,51963,313
51564,10192,313
33862,29432,313
9377,9381,313
14025,14030,313
9373,9377,313
