from_stop,to_stop,trip_frequency
25593,25594,846
15817,25405,845
4806,4203,844
18195,21062,844
21062,4806,844
3913,3912,843
14031,14021,843
13560,13565,842
18428,18429,842
15557,15558,841
10456,10457,841
8820,8821,841
24155,24660,841
8819,8820,840
2583,2363,840
13207,13979,840
3912,3914,839
12999,13095,839
16062,16063,837
13250,13286,837
13321,13632,837
38939,14346,836
46254,10357,836
14346,29370,836
9381,9382,835
13108,50639,834
43291,43294,834
10775,10757,834
13658,13652,833
13237,14339,833
43284,14535,833
8804,10229,832
8799,10372,832
50639,13494,831
43593,40885,831
14535,43291,831
10372,8807,830
8803,8804,830
10229,8805,830
8807,8808,829
35823,3732,829
9181,10515,829
8808,8809,829
8809,10228,829
8813,8814,828
10789,9553,827
2381,1267,827
8994,8995,827
8993,8994,827
8992,8993,827
8991,8992,827
1461,2359,826
8814,8802,826
8802,8803,826
10228,8811,825
10111,10113,824
8811,8812,824
8812,8813,824
12816,12837,824
356,354,822
13161,13081,822
13946,13220,822
13082,13161,822
44961,44962,822
13198,13926,821
3916,3931,819
43282,13440,819
21186,21184,818
2364,2360,818
13028,13245,818
4598,4566,818
13245,14081,818
13926,13330,816
10947,9025,815
10402,10168,815
9546,48664,814
14021,14040,812
9025,9026,811
2080,2755,811
9027,9028,811
9026,9027,811
9024,10947,810
10710,10626,809
11899,10661,809
25091,12884,809
9725,9524,808
8711,8712,808
9724,37256,808
37256,9725,808
8712,8713,808
41234,10848,807
38940,13199,805
13143,12893,805
8726,11832,804
10683,11610,804
10661,9660,803
8713,10031,803
10031,8715,803
8715,8717,803
2128,2129,803
2129,2130,803
2130,2124,803
9660,9723,803
13053,13090,802
13572,13567,802
2115,2140,801
2140,2141,801
13092,13000,798
29370,13287,798
51641,13237,798
14104,14101,798
8758,11833,797
2127,2128,796
10452,8936,796
3962,1863,796
3108,2127,796
10029,8762,795
8805,43794,795
8760,10029,795
8764,8765,794
11833,9954,794
35849,2627,794
13362,14370,793
10792,10356,793
1914,1892,793
23913,23937,793
29401,14325,793
21184,5085,791
13348,13221,791
8762,8763,791
17506,35849,790
23991,23914,790
7380,7381,790
1892,1893,789
1893,1869,789
43486,24006,788
49226,51270,788
13588,49938,788
13120,12900,787
9481,9433,787
8646,8644,787
8636,10790,787
40151,26684,787
29490,13670,787
9749,10004,786
13370,13388,786
4671,4596,786
2360,3422,785
13368,13370,785
13129,13588,784
18066,18041,784
13670,13683,784
1246,1247,783
13954,13201,783
13512,50497,782
24003,24013,782
24033,24003,782
9684,9457,781
24151,24149,781
47119,10226,780
9384,9385,780
24036,24038,780
2167,2170,779
26872,40151,779
3952,2167,779
2141,3626,779
12885,12828,778
23270,24296,776
3626,2142,776
2626,1982,775
5712,5713,773
51368,9399,773
2124,2118,772
13794,13800,771
11832,9959,770
11446,9526,768
13724,13719,768
13354,13154,768
13572,13570,767
13719,44687,767
12984,12985,765
8064,43882,764
39523,43880,764
13138,12984,764
11805,40024,763
2116,2117,762
41132,11234,761
7398,7418,761
10786,9589,760
13055,13111,760
14477,13101,759
51963,44471,759
16006,21317,758
7404,7405,758
7418,7404,758
7405,7429,758
44470,51963,758
9589,9485,758
43882,39522,757
283,15235,757
7429,7430,756
49354,10786,756
35591,35435,756
7370,7371,755
25274,25273,755
1899,1900,755
15235,292,754
35049,35591,754
9434,9435,753
42125,35592,753
41545,42125,753
1644,1645,753
16419,16417,752
8636,50399,752
