stop_id,stop_code,stop_name,stop_lat,stop_lon,scheduled_stop_calls,degree,weighted_degree,in_degree,out_degree,pagerank,betweenness,harmonic,is_articulation_point,community_id,stations_outside_largest_component,components,socio_locality,socio_cluster,socio_index_value,socio_population,socio_join_method,socio_join_distance_m,region,metro,socio_group,degree_percentile,weighted_degree_percentile,pagerank_percentile,betweenness_percentile,harmonic_percentile,damage_percentile_among_67,damage_percentile_among_damaging,top_quintile_centrality_count,composite_centrality_score_legacy,composite_centrality_score_balanced,composite_centrality_score,station_archetype
37292,17104,תל אביב ההגנה,32.053978,34.784839,752,8,1493,8,8,0.039442720553461,0.5378399378399378,0.3633658008658008,True,6,27,2,תל אביב -יפו,5.0,,1508.0,within,0.0,מרכז,תל אביב,Middle (clusters 5-7),0.9850746268656716,0.9701492537313433,1.0,1.0,0.9850746268656716,0.9850746268656716,0.9285714285714286,5,98.80597014925372,99.00497512437812,99.00497512437812,critical high-service hub
37362,17034,הרצליה,32.163558,34.817406,599,8,846,8,8,0.0224288901860321,0.5146076146076146,0.3639610389610388,False,7,0,1,הרצלייה,9.0,,6829.0,within,0.0,מרכז,תל אביב,Higher (clusters 8-9),0.9850746268656716,0.9402985074626866,0.8805970149253731,0.9850746268656716,1.0,0.40298507462686567,0.0,5,95.82089552238806,97.34660033167496,97.34660033167496,redundant high-service hub
37338,17058,לוד,31.947694,34.879159,313,8,557,8,8,0.0297387835195241,0.3982128982128982,0.3545454545454544,True,1,1,2,לוד,3.0,,1658.0,within,0.0,מרכז,תל אביב,Lower (clusters 2-4),0.9850746268656716,0.835820895522388,0.9402985074626866,0.9552238805970149,0.9701492537313433,0.8432835820895522,0.25,5,93.7313432835821,94.85903814262024,94.85903814262024,critical high-service hub
37358,17038,תל אביב מרכז,32.083715,34.798247,815,4,1543,4,4,0.0313724377148092,0.5086247086247087,0.3303391053391052,True,6,33,2,תל אביב -יפו,9.0,,2723.0,within,0.0,מרכז,תל אביב,Higher (clusters 8-9),0.8059701492537313,1.0,0.9701492537313433,0.9701492537313433,0.9402985074626866,1.0,1.0,5,93.73134328358208,94.52736318407959,94.52736318407959,critical high-service hub
37376,17020,חוף הכרמל,32.7936,34.957404,405,6,688,6,6,0.0203543201439363,0.364180264180264,0.3336700336700335,True,2,15,2,חיפה,3.0,,670.0,nearest,64.97508896171381,צפון,חיפה,Lower (clusters 2-4),0.9253731343283582,0.8955223880597015,0.835820895522388,0.9402985074626866,0.9552238805970149,0.9701492537313433,0.8571428571428571,5,91.04477611940298,92.70315091210614,92.70315091210614,critical high-service hub
37380,17016,חיפה מרכז,32.822306,34.997177,414,7,815,7,7,0.0256390554638876,0.3398601398601398,0.3206409331409332,True,2,13,3,חיפה,3.0,,1517.0,within,0.0,צפון,חיפה,Lower (clusters 2-4),0.9552238805970149,0.9253731343283582,0.9104477611940298,0.9253731343283582,0.9104477611940298,0.9552238805970149,0.7857142857142857,5,92.53731343283582,92.2056384742952,92.2056384742952,critical high-service hub
37306,17090,נתב''ג,32.00036,34.870481,331,4,617,4,4,0.0181628046214951,0.31002331002331,0.3289682539682539,True,6,3,2,צפרייה,7.0,,1013.0,nearest,627.531862012915,מרכז,תל אביב,Middle (clusters 5-7),0.8059701492537313,0.8656716417910447,0.8208955223880597,0.9104477611940298,0.9253731343283582,0.9253731343283582,0.6428571428571429,5,86.56716417910448,88.88888888888889,88.88888888888889,critical high-service hub
37360,17036,תא אוניברסיטה,32.103516,34.804499,672,4,1344,4,4,0.0297984495654739,0.1101787101787102,0.3119408369408368,False,6,0,1,תל אביב -יפו,5.0,,,within,0.0,מרכז,תל אביב,Middle (clusters 5-7),0.8059701492537313,0.9552238805970149,0.9552238805970149,0.835820895522388,0.8805970149253731,0.40298507462686567,0.0,5,88.65671641791045,87.39635157545605,87.39635157545605,redundant high-service hub
41293,17117,קרית מוצקין,32.833133,35.07003,316,6,624,6,6,0.0231804244383073,0.1589743589743589,0.281747124928943,True,4,4,3,חיפה,5.0,,6085.0,within,0.0,צפון,חיפה,Middle (clusters 5-7),0.9253731343283582,0.8805970149253731,0.8955223880597015,0.8656716417910447,0.7611940298507462,0.9402985074626866,0.7142857142857143,4,86.56716417910447,84.24543946932005,84.24543946932005,critical high-service hub
37350,17046,השלום,32.073346,34.793256,751,2,1502,2,2,0.0320191742269758,0.2219114219114219,0.3049783549783549,False,6,0,1,תל אביב -יפו,9.0,,864.0,within,0.0,מרכז,תל אביב,Higher (clusters 8-9),0.3358208955223881,0.9850746268656716,0.9850746268656716,0.8955223880597015,0.8507462686567164,0.40298507462686567,0.0,4,81.04477611940298,83.8308457711443,83.8308457711443,redundant high-service hub
37372,17024,בנימינה,32.514386,34.949573,283,6,455,6,6,0.0144023475982174,0.0489510489510489,0.3170033670033669,False,2,0,1,בנימינה-גבעת עדה*,9.0,,2149.0,within,0.0,צפון,פריפריה,Higher (clusters 8-9),0.9253731343283582,0.7611940298507462,0.582089552238806,0.7014925373134329,0.8955223880597015,0.40298507462686567,0.0,2,77.31343283582089,78.44112769485903,78.44112769485903,globally accessible connector
37314,17082,באר שבע צפון,31.262089,34.809287,235,5,454,5,5,0.0290780465845947,0.1132867132867132,0.2590985613712886,True,5,2,3,באר שבע,2.0,,3205.0,within,0.0,דרום,באר שבע,Lower (clusters 2-4),0.8880597014925373,0.746268656716418,0.9253731343283582,0.8507462686567164,0.6119402985074627,0.9029850746268657,0.5357142857142857,3,80.44776119402985,77.19734660033168,77.19734660033168,structural bottleneck
