socio_group,stations,within_polygon_share,median_socio_cluster,mean_degree,median_weighted_degree,mean_scheduled_stop_calls,median_scheduled_stop_calls,total_scheduled_stop_calls,mean_pagerank,mean_betweenness,median_betweenness,mean_harmonic,articulation_point_share,stations_causing_fragmentation,mean_single_station_damage,scheduled_stop_call_share
Lower (clusters 2-4),18,0.5555555555555556,3.0,3.3333333333333335,301.0,188.77777777777777,172.5,3398,0.015041678284012218,0.08761547094880424,0.01219891219891215,0.26128947978695444,0.2777777777777778,5,1.7777777777777777,0.2327237860420519
Middle (clusters 5-7),28,0.6785714285714286,6.0,2.8214285714285716,302.0,216.64285714285714,187.0,6066,0.01539360013632664,0.05460095460095458,0.01371406371406365,0.24057765677083848,0.25,7,1.3928571428571428,0.41545099650708855
Higher (clusters 8-9),21,0.7142857142857143,9.0,2.8095238095238093,424.0,244.61904761904762,217.0,5137,0.014201380336696703,0.07916157916157913,0.013053613053613,0.25361276129674387,0.09523809523809523,2,1.619047619047619,0.35182521745085954
