stop_id,stop_name,region,metro,lat,lon,stop_use_count,degree,degree_centrality,weighted_degree,in_degree,out_degree,in_weight,out_weight,pagerank,betweenness,approx_harmonic,in_largest_component,nearest_alt_m,is_isolated,distance_band
17303,ת.התרעננות/דור אלון מגל 6,Center,Periphery,32.380891,35.017969,,16,0.0005252445670015,220.0,9,7,110.0,110.0,9.664896933222434e-06,0.112459758222915,4744.688628701589,True,71.89415348165318,False,< 100 m
41133,מחלף חמד,Jerusalem,Jerusalem,31.801002,35.12454,,62,0.0020353226971308,10454.0,25,37,5289.0,5165.0,0.0001253556109931,0.0875362008593481,4877.282017295402,True,69.03741491051251,False,< 100 m
27689,מחלף קמה לצפון,South,Beer Sheva,31.442254,34.766984,,24,0.0007878668505022,1304.0,10,14,652.0,652.0,9.22791624961952e-05,0.0716483547095368,4621.707194332937,True,32.2292242292436,False,< 100 m
7444,דרך האר''י/ כביש 375,Jerusalem,Jerusalem,31.704533,35.126243,,29,0.0009520057776902,5272.0,7,22,2618.0,2654.0,5.6318546640887366e-05,0.0691705397124144,4510.89898372285,True,116.31940132218303,False,100-300 m
41132,מחלף חמד,Jerusalem,Jerusalem,31.80033,35.126238,,44,0.0014444225592541,10540.0,32,12,5201.0,5339.0,0.0003991214995627,0.0667127713406123,4666.821197989026,True,93.91560823604094,False,< 100 m
7562,שדרות בית הלל/כניסה לעיר,Center,Tel Aviv,31.936583,35.035446,,29,0.0009520057776902,3870.0,24,5,1935.0,1935.0,8.231858022861104e-05,0.0657855013321716,4663.236878934281,True,102.09919333128656,False,100-300 m
23418,רבי יהודה הנשיא/כניסה לעיר,Center,Tel Aviv,32.052593,34.944195,,24,0.0007878668505022,1374.0,22,2,687.0,687.0,4.68536323217636e-05,0.0565992919034606,4562.814623088518,True,89.44844081593996,False,< 100 m
748,מחלף קסם,Center,Tel Aviv,32.119458,34.93836,,19,0.0006237279233142,1534.0,12,7,767.0,767.0,5.947378024337527e-05,0.0472729925206525,4469.187478605467,True,131.7164220436182,False,100-300 m
29243,תחנת התרעננות/פונדק בית קמה,South,Beer Sheva,31.442304,34.764124,,19,0.0006237279233142,520.0,10,9,260.0,260.0,2.6559543176645587e-05,0.0462892375340954,4422.390209075759,True,72.16383995379739,False,< 100 m
18876,צומת חנניה צומת שבע,North,Periphery,32.928025,35.406759,,13,0.0004267612106887,636.0,8,5,318.0,318.0,3.3571225493100044e-05,0.0438644214041046,4246.078680428319,True,93.19192334768428,False,< 100 m
9048,בן גוריון/שערי ירושלים,Jerusalem,Jerusalem,31.791535,35.196465,,41,0.0013459392029413,9472.0,18,23,4736.0,4736.0,8.512745915617155e-05,0.0407558352033177,4732.453272923544,True,58.158276408650615,False,< 100 m
18691,צומת ראש פינה,North,Periphery,32.968266,35.551334,,13,0.0004267612106887,2010.0,7,6,1005.0,1005.0,0.0001125457899115,0.0407181579724438,4105.274920505513,True,84.77803391523395,False,< 100 m
4132,צומת כפר קרע,Center,Periphery,32.496878,35.062384,,14,0.0004595889961263,2332.0,5,9,1166.0,1166.0,9.855696082794007e-05,0.039736220234531,4354.825701270443,True,140.37136901206733,False,100-300 m
42430,ת.התרעננות/דור אלון מגל כביש 6,Center,Periphery,32.38104,35.017224,,15,0.0004924167815639,236.0,8,7,118.0,118.0,1.495023454725026e-05,0.0396843574442483,4467.037306803279,True,71.89415348165318,False,< 100 m
4179,צומת כרמיאל,North,Periphery,32.923958,35.301965,,11,0.0003611056398135,1064.0,7,4,532.0,532.0,3.1320380774607325e-05,0.0362234229135072,3824.917780898546,True,172.81579255129003,False,100-300 m
21282,צומת שבע,North,Periphery,32.927767,35.405161,,10,0.0003282778543759,1116.0,4,6,558.0,558.0,8.465748598584475e-05,0.0357567561911833,3817.8096234266336,True,132.3564846129768,False,100-300 m
13274,מחלף גבעת שמואל/כביש 4,Center,Tel Aviv,32.074823,34.843553,,24,0.0007878668505022,11746.0,6,18,5873.0,5873.0,9.291684931026352e-05,0.0353101306371659,4575.802145704793,True,100.39420540048594,False,100-300 m
16491,מחלף קסם,Center,Tel Aviv,32.115483,34.941008,,19,0.0006237279233142,1756.0,9,10,878.0,878.0,6.285447233027387e-05,0.0328631112565435,4466.128367995143,True,89.55479874759416,False,< 100 m
1296,מחלף יגור,North,Haifa,32.752167,35.071543,,26,0.0008535224213774,3372.0,18,8,1686.0,1686.0,5.636765762410471e-05,0.0312889552341001,4343.4145910997,True,171.9761893474518,False,100-300 m
24932,מחלף רעננה צפון,Center,Tel Aviv,32.190754,34.887242,,14,0.0004595889961263,1402.0,6,8,701.0,701.0,4.2602874915194726e-05,0.0312829387757342,4285.004405474651,True,62.53311402334472,False,< 100 m
14348,מחלף גהה/דרך ז'בוטינסקי,Center,Tel Aviv,32.092314,34.844941,,15,0.0004924167815639,3174.0,1,14,1587.0,1587.0,2.082020158849039e-05,0.0306742959855417,4265.101474670679,True,109.3702879590651,False,100-300 m
47879,מסוף חצור הגלילית/רציפים,North,Periphery,32.98083,35.556268,,5,0.0001641389271879,880.0,4,1,440.0,440.0,4.7453065936339526e-05,0.0302652565607768,3232.0319303512647,True,0.0,False,< 100 m
