trans_id,lang,translation
313/גבור יוסף גבור,AR,313/جبور يوسف جبور
313/גבור יוסף גבור,EN,Jabur Yusef Jabur/313
313/גבור יוסף גבור,HE,313/גבור יוסף גבור
3403/אבן שמואל,AR,إيڤن شموئل/3403
3403/אבן שמואל,EN,Even Shmuel/3403
3403/אבן שמואל,HE,3403/אבן שמואל
3533/רווחה,HE,3533/רווחה
358/אמציה,HE,358/אמציה
37,AR,جبل المكبر
37,EN,37
37,HE,37
3855/טופז,AR,توبَز/3855
3855/טופז,EN,Topaz/3855
3855/טופז,HE,3855/טופז
3985/דיור מוגן מעון הרופא,AR,3985/سكن آمن معون هروفي
3985/דיור מוגן מעון הרופא,EN,Ma'on HaRofe Senior Living3985
3985/דיור מוגן מעון הרופא,HE,3985/דיור מוגן מעון הרופא
40/צומת סגולה,AR,مفرق سچولا/ 40
40/צומת סגולה,EN,Segula Junction/40
40/צומת סגולה,HE,40/צומת סגולה
402/300,AR,يافة الناصرة/الوادي الخارجي
402/300,EN,Yaffat a-Nasere/al-Wadi al-Khareji
402/300,HE,402/300
411/425,AR,411/425
411/425,EN,411/425
411/425,HE,411/425
421,AR,421
421,EN,421
421,HE,421
421/300,AR,421/300
421/300,EN,421/300
421/300,HE,421/300
425/411,AR,425/411
425/411,EN,425/411
425/411,HE,425/411
444/שדרות עמק איילון,AR,444/جادة عيمك أيلون
444/שדרות עמק איילון,EN,Emek Ayalon Boulevard/444
444/שדרות עמק איילון,HE,444/שדרות עמק איילון
4711/מסוף,AR,محطة/4711
4711/מסוף,EN,Terminal/4711
4711/מסוף,HE,4711/מסוף
4ארצות/בגין,HE,4ארצות/בגין
500,AR,500
500,EN,500
500,HE,500
500/507,AR,500/507
500/507,EN,500/507
500/507,HE,500/507
500/כמאל ג'ונבלאט,AR,500/كمال جنبلاط
500/כמאל ג'ונבלאט,EN,Kamal Jumblatt/500
500/כמאל ג'ונבלאט,HE,500/כמאל ג'ונבלאט
5026/5032,AR,5026/5032
5026/5032,EN,5026/5032
5026/5032,HE,5026/5032
5026/5039,AR,5026/5039
5026/5039,EN,5026/5039
5026/5039,HE,5026/5039
5233/ג'לג'וליה יציאה,AR,جلجولية خ./5233
5233/ג'לג'וליה יציאה,EN,Jaljul Exit/5233
5233/ג'לג'וליה יציאה,HE,5233/ג'לג'וליה יציאה
5614/שדרות הזיתים,AR,5614/جادة هَزيتيم
5614/שדרות הזיתים,EN,HaZetim Boulevard/5614
5614/שדרות הזיתים,HE,5614/שדרות הזיתים
562/שדרות הדקלים,AR,562/جادة هَدْكليم
562/שדרות הדקלים,EN,HaDekalim Boulevard/562
562/שדרות הדקלים,HE,562/שדרות הדקלים
5702/השושנים,AR,هشوشانيم/5702
5702/השושנים,EN,HaShoshanim/5702
5702/השושנים,HE,5702/השושנים
5710/דרך הפיקוסים,AR,5710/طريق هَفيكوسيم
5710/דרך הפיקוסים,EN,HaFikusim Road/5710
5710/דרך הפיקוסים,HE,5710/דרך הפיקוסים
5720/דרך הים,AR,ديريخ هَيام/5720
5720/דרך הים,EN,Derech HaYam/5720
5720/דרך הים,HE,5720/דרך הים
6/471,AR,6/471
6/471,EN,6/471
6/471,HE,6/471
601/605,AR,601/605
601/605,EN,601/605
601/605,HE,601/605
609/616,AR,609/616
609/616,EN,609/616
609/616,HE,609/616
611,AR,611
611,EN,611
611,HE,611
6353/ספיר,AR,سفير/ 6353
6353/ספיר,EN,Sapir/6353
6353/ספיר,HE,6353/ספיר
65/כפר מנדא,AR,كفرمندا/65
