trans_id,lang,translation
בית ספר לבנות בית רבקה,AR,مدرسة بيت رڤكا للبنات
בית ספר לבנות בית רבקה,EN,Bet Rivka Girls School
בית ספר לבנות בית רבקה,HE,בית ספר לבנות בית רבקה
בית ספר לבנות/בטן אלהוא,AR,مدرسة للبنات/ بطن الهوا
בית ספר לבנות/בטן אלהוא,EN,Girls School/Batn Al-Hawa
בית ספר לבנות/בטן אלהוא,HE,בית ספר לבנות/בטן אלהוא
בית ספר לבנים/אלמדארס,AR,مدرسة للبنين/ المدارس
בית ספר לבנים/אלמדארס,EN,Boys School/Al-Madaris
בית ספר לבנים/אלמדארס,HE,בית ספר לבנים/אלמדארס
בית ספר לותרי/אלהגרה,AR,مدرسة لوثرية/ الهجرة
בית ספר לותרי/אלהגרה,EN,Lutheran School/Al-Hijra
בית ספר לותרי/אלהגרה,HE,בית ספר לותרי/אלהגרה
בית ספר לחינוך מיוחד,AR,مدرسة للتربية الخاصة
בית ספר לחינוך מיוחד,EN,Special Education School
בית ספר לחינוך מיוחד,HE,בית ספר לחינוך מיוחד
בית ספר לחינוך/בנימין מזר,AR,مدرسة للتربية والتعليم/ بنيامين مزر
בית ספר לחינוך/בנימין מזר,EN,School of Education/Binyamin Mazar
בית ספר לחינוך/בנימין מזר,HE,בית ספר לחינוך/בנימין מזר
בית ספר לטרקטורונים/5714,AR,مدرسة للتركترونات/5714
בית ספר לטרקטורונים/5714,EN,ATV School/5714
בית ספר לטרקטורונים/5714,HE,בית ספר לטרקטורונים/5714
בית ספר לטרקטורים,AR,مدرسة التراكتورات
בית ספר לטרקטורים,EN,Tractors School
בית ספר לטרקטורים,HE,בית ספר לטרקטורים
בית ספר לייף,AR,مدرسة لايف
בית ספר לייף,EN,Life School
בית ספר לייף,HE,בית ספר לייף
בית ספר לילדי בדויים מדרעום,AR,مدرسة لأطفال البدو في الجنوب
בית ספר לילדי בדויים מדרעום,EN,Madraoum Bedouin Children's School
בית ספר לילדי בדויים מדרעום,HE,בית ספר לילדי בדויים מדרעום
בית ספר לכבאות/רחבעם זאבי,AR,مدرسة للإطفائية/رحڤعام زئيڤي
בית ספר לכבאות/רחבעם זאבי,EN,Fire Fighting School/Rechavam Ze'evi
בית ספר לכבאות/רחבעם זאבי,HE,בית ספר לכבאות/רחבעם זאבי
בית ספר למדעים טירה א,AR,مدرسة العلوم الطيرة أ
בית ספר למדעים טירה א,EN,Science School Tira A
בית ספר למדעים טירה א,HE,בית ספר למדעים טירה א
בית ספר למחוננים,AR,مدرسة الموهوبين
בית ספר למחוננים,EN,School for the gifted
בית ספר למחוננים,HE,בית ספר למחוננים
בית ספר למלאכה/שדרות ירושלים,AR,مدرسة لملاخا/جادة يروشلايم
בית ספר למלאכה/שדרות ירושלים,EN,Vocational School/Yerushalayim Boulevard
בית ספר למלאכה/שדרות ירושלים,HE,בית ספר למלאכה/שדרות ירושלים
בית ספר למשטרה/444,AR,مدرسة للشرطة/444
בית ספר למשטרה/444,EN,Police School/444
בית ספר למשטרה/444,HE,בית ספר למשטרה/444
בית ספר לקציני ים עכו,AR,مدرسة للبحرية عكا
בית ספר לקציני ים עכו,EN,Akko Marine Officers School
בית ספר לקציני ים עכו,HE,בית ספר לקציני ים עכו
בית ספר לשוטרים,AR,مدرسة الشرطة
בית ספר לשוטרים,EN,Police School
בית ספר לשוטרים,HE,בית ספר לשוטרים
בית ספר מאיר/שדרות בגין,AR,مدرسة مئير/جادة بيچن
בית ספר מאיר/שדרות בגין,EN,Me'ir School/Begin Boulevard
בית ספר מאיר/שדרות בגין,HE,בית ספר מאיר/שדרות בגין
בית ספר מאר אליאס,AR,مدرسة مار إلياس
בית ספר מאר אליאס,EN,Mar Elias School
בית ספר מאר אליאס,HE,בית ספר מאר אליאס
בית ספר מבועים,AR,مدرسة مڤوعيم
בית ספר מבועים,EN,Mabu'im School
בית ספר מבועים,HE,בית ספר מבועים
בית ספר מגאר,AR,مدرسة المغار
בית ספר מגאר,EN,Mag'har School
בית ספר מגאר,HE,בית ספר מגאר
בית ספר מגידו / 6953,AR,مدرسة مجيدو/6953
בית ספר מגידו / 6953,EN,Megido School/6953
בית ספר מגידו / 6953,HE,בית ספר מגידו / 6953
בית ספר מגינים/ביאליק,AR,مدرسة مچينيم/بيالك
בית ספר מגינים/ביאליק,EN,Meginim School/Bialik
בית ספר מגינים/ביאליק,HE,בית ספר מגינים/ביאליק
בית ספר מולדה,AR,مدرسة مولدا
בית ספר מולדה,EN,Mulada School
בית ספר מולדה,HE,בית ספר מולדה
בית ספר מופתן,AR,مدرسة مفتان
בית ספר מופתן,EN,Muftan School
בית ספר מופתן,HE,בית ספר מופתן
בית ספר מוריה/אוסישקין,AR,مدرسة موريا/أوسيشكين
בית ספר מוריה/אוסישקין,EN,Moria School/Ussishkin
בית ספר מוריה/אוסישקין,HE,בית ספר מוריה/אוסישקין
בית ספר מירון/בני דן,AR,مدرسة ميرون/بني دن
בית ספר מירון/בני דן,EN,Meiron School/Bnei Dan
בית ספר מירון/בני דן,HE,בית ספר מירון/בני דן
בית ספר מכבים/זמיר,AR,مدرسة مكابيم/زمير
בית ספר מכבים/זמיר,EN,Macabim School/Zamir
בית ספר מכבים/זמיר,HE,בית ספר מכבים/זמיר
בית ספר מכין לבנות/אל ת'ורי,AR,مدرسة ثانوية للبنات/ الثوري
בית ספר מכין לבנות/אל ת'ורי,EN,Girls Prepatory School/A-Thuri
בית ספר מכין לבנות/אל ת'ורי,HE,בית ספר מכין לבנות/אל ת'ורי
בית ספר ממ"ד,AR,مدرسة مما"د
בית ספר ממ"ד,EN,State Religious School
בית ספר ממ"ד,HE,בית ספר ממ"ד
בית ספר ממלכתי ב,AR,المدرسة الرسمية ب‘
בית ספר ממלכתי ב,EN,State School B
בית ספר ממלכתי ב,HE,בית ספר ממלכתי ב
בית ספר ממלכתי חילף,AR,مدرسة حلف الرسمية
בית ספר ממלכתי חילף,EN,Hilf Government School
בית ספר ממלכתי חילף,HE,בית ספר ממלכתי חילף
בית ספר ממלכתי ט'/משה דיין,AR,المدرسة الرسمية ط‘/موشيه ديان
בית ספר ממלכתי ט'/משה דיין,EN,State T' School/Moshe Dayan
בית ספר ממלכתי ט'/משה דיין,HE,בית ספר ממלכתי ט'/משה דיין
בית ספר מנדלסון/גבעת שאול,AR,مدرسة مندلسون/چڤعت شاؤول
בית ספר מנדלסון/גבעת שאול,EN,Mendelssohn School/Giv'at Sha'ul
בית ספר מנדלסון/גבעת שאול,HE,בית ספר מנדלסון/גבעת שאול
בית ספר מנחם בגין,HE,בית ספר מנחם בגין
בית ספר מסאר,AR,مدرسة مسار
בית ספר מסאר,EN,Masar School
בית ספר מסאר,HE,בית ספר מסאר
בית ספר מעונה,AR,مدرسة معونا
בית ספר מעונה,EN,Me'ona School
בית ספר מעונה,HE,בית ספר מעונה
בית ספר מעליא,AR,مدرسة معليا
בית ספר מעליא,EN,Mi'ilya School
בית ספר מעליא,HE,בית ספר מעליא
בית ספר מפתן,AR,مدرسة مفتن
בית ספר מפתן,EN,Miftan School
בית ספר מפתן,HE,בית ספר מפתן
בית ספר מפתן 1,AR,مدرسة مفتن 1
בית ספר מפתן 1,EN,Miftan School 1
בית ספר מפתן 1,HE,בית ספר מפתן 1
בית ספר מצפה גולן,AR,مدرسة متسبي چولان
בית ספר מצפה גולן,EN,Mitspe Golan School
בית ספר מצפה גולן,HE,בית ספר מצפה גולן
בית ספר מצפור,AR,مدرسة متسبور
בית ספר מצפור,EN,Mitzpor School
בית ספר מצפור,HE,בית ספר מצפור
בית ספר מקווה ישראל,AR,مدرسة ميكفي يسرائيل
בית ספר מקווה ישראל,EN,Mikve Israel School
בית ספר מקווה ישראל,HE,בית ספר מקווה ישראל
בית ספר מקווה ישראל/44,AR,مدرسة مكڤي يسرائيل/44
בית ספר מקווה ישראל/44,EN,Mikve Yisrael School/44
בית ספר מקווה ישראל/44,HE,בית ספר מקווה ישראל/44
בית ספר מקווה ישראל/כביש 44,AR,مدرسة مكڤي يسرائيل/شارع 44
בית ספר מקווה ישראל/כביש 44,EN,Mikve Yisrael School/Road 44
בית ספר מקווה ישראל/כביש 44,HE,בית ספר מקווה ישראל/כביש 44
בית ספר מקיף,AR,المدرسة الشاملة
בית ספר מקיף,EN,Comprehensive School
בית ספר מקיף,HE,בית ספר מקיף
בית ספר מקיף ג'וליס,AR,المدرسة الشاملة جولس
בית ספר מקיף ג'וליס,EN,Julis Comprehensive School
בית ספר מקיף ג'וליס,HE,בית ספר מקיף ג'וליס
בית ספר מקיף לבנות/דרך בית לחם הישנה,AR,مدرسة ثانوية للبنات/ طريق بيت لحم القديمة
בית ספר מקיף לבנות/דרך בית לחם הישנה,EN,Comprehensive Girls School/Old Bethlehem Road
בית ספר מקיף לבנות/דרך בית לחם הישנה,HE,בית ספר מקיף לבנות/דרך בית לחם הישנה
בית ספר מקיף לבנים/ראבעה אל עדוויה,AR,المدرسة الشاملة للبنين/ رابعة العدوية
בית ספר מקיף לבנים/ראבעה אל עדוויה,EN,Comprehensive Boys School/Rabi'a Al-Adawiya
בית ספר מקיף לבנים/ראבעה אל עדוויה,HE,בית ספר מקיף לבנים/ראבעה אל עדוויה
בית ספר מקיף מקסים לוי/לובלין,AR,مدرسة مكسيم ليڤي الشاملة/لوبلين
בית ספר מקיף מקסים לוי/לובלין,EN,Maxim Levi Comprehensive School/Lublin
בית ספר מקיף מקסים לוי/לובלין,HE,בית ספר מקיף מקסים לוי/לובלין
בית ספר מקיף עמל אלנור,AR,مد. عمال النور
בית ספר מקיף עמל אלנור,EN,Amal El Nur High School
בית ספר מקיף עמל אלנור,HE,בית ספר מקיף עמל אלנור
בית ספר מקיף תרשיחא,AR,مدرسة ترشيحا الشاملة
בית ספר מקיף תרשיחא,EN,Tarshiha Comprehensive School
בית ספר מקיף תרשיחא,HE,בית ספר מקיף תרשיחא
בית ספר מקיף/יהודה שטיין,AR,المدرسة الشاملة/يهودا شتاين
בית ספר מקיף/יהודה שטיין,EN,Comprehensive School/Yehuda Stein
בית ספר מקיף/יהודה שטיין,HE,בית ספר מקיף/יהודה שטיין
בית ספר מרחביה,AR,مدرسة مرحاڤيا
בית ספר מרחביה,EN,Merhavya School
בית ספר מרחביה,HE,בית ספר מרחביה
בית ספר משמרת מאיר,AR,مدرسة مشميرِت مئير
בית ספר משמרת מאיר,EN,Mishmeret Meir School
בית ספר משמרת מאיר,HE,בית ספר משמרת מאיר
בית ספר מתן/נוף השרון,AR,مدرسة متان/نوف هَشرون
בית ספר מתן/נוף השרון,EN,Matan School/Nof HaSharon
בית ספר מתן/נוף השרון,HE,בית ספר מתן/נוף השרון
בית ספר נאות אברהם/מקור חיים,AR,مدرسة نيئوت أڤراهام/مكور حاييم
בית ספר נאות אברהם/מקור חיים,EN,Neot Avra'am School/Makor Hayim
בית ספר נאות אברהם/מקור חיים,HE,בית ספר נאות אברהם/מקור חיים
בית ספר נאות לון/שמחה הולצברג,AR,نيئوت لون/سيمحا هولتسبيرچ
בית ספר נאות לון/שמחה הולצברג,EN,Neot Lon/Simcha Holtsberg
בית ספר נאות לון/שמחה הולצברג,HE,בית ספר נאות לון/שמחה הולצברג
בית ספר נווה נאמן,AR,مدرسة ناڤي نئمان
בית ספר נווה נאמן,EN,Neve Ne'eman School
בית ספר נווה נאמן,HE,בית ספר נווה נאמן
בית ספר נווה שלום,AR,مدرسة نڤي شلوم
בית ספר נווה שלום,EN,Neve Shalom School
בית ספר נווה שלום,HE,בית ספר נווה שלום
בית ספר נוטרדאם,AR,مدرسة نوتردام
בית ספר נוטרדאם,EN,Notre-Dame School
בית ספר נוטרדאם,HE,בית ספר נוטרדאם
בית ספר נועם,AR,مدرسة نوعم
בית ספר נועם,EN,No'am School
בית ספר נועם,HE,בית ספר נועם
בית ספר נועם אורות,AR,مدرسة نوعم أوروت
בית ספר נועם אורות,EN,No'am Orot School
בית ספר נועם אורות,HE,בית ספר נועם אורות
בית ספר נועם חיים,AR,مدرسة نزعم حييم
בית ספר נועם חיים,EN,No'am Hayim School
בית ספר נועם חיים,HE,בית ספר נועם חיים
בית ספר נופי גולן/סלעית,AR,مدرسة نوفي چولان/ سلعيت
בית ספר נופי גולן/סלעית,EN,Nofe Golan School/Sal'it
בית ספר נופי גולן/סלעית,HE,בית ספר נופי גולן/סלעית
בית ספר נופר/נופר,AR,مدرسة نوفار/نوفر
בית ספר נופר/נופר,EN,Nofar School/Nofar
בית ספר נופר/נופר,HE,בית ספר נופר/נופר
בית ספר נזאמיה/דרך בית חנינא,AR,المدرسة النظامية/ طريق بيت حنينا
בית ספר נזאמיה/דרך בית חנינא,EN,Nizamiyyah School/Bait Hanina Road
בית ספר נזאמיה/דרך בית חנינא,HE,בית ספר נזאמיה/דרך בית חנינא
בית ספר נחליאל לבנות/ניצנים,AR,م نحلئيل/نتسنيم
בית ספר נחליאל לבנות/ניצנים,EN,Nahli'el Girl School
בית ספר נחליאל לבנות/ניצנים,HE,בית ספר נחליאל לבנות/ניצנים
בית ספר נטופה/יקינטון,AR,مدرسة نتوفا/يكينتون
בית ספר נטופה/יקינטון,EN,Netofa School/Yakinton
בית ספר נטופה/יקינטון,HE,בית ספר נטופה/יקינטון
בית ספר נילי,AR,مدرسة نيلي
בית ספר נילי,EN,Nili School
בית ספר נילי,HE,בית ספר נילי
בית ספר ניסויי תפן,AR,مدرسة نيسويي تيفن
בית ספר ניסויי תפן,EN,Tefen Experimental School
בית ספר ניסויי תפן,HE,בית ספר ניסויי תפן
בית ספר ניצנים/צורן,AR,مدرسة نيتسنيم/ تسورِن
בית ספר ניצנים/צורן,EN,Nitsanim School/Tzoran
בית ספר ניצנים/צורן,HE,בית ספר ניצנים/צורן
בית ספר נעם הצבי,AR,مدرسة نوعم هتسڤي
בית ספר נעם הצבי,EN,Noam Hatzvi School
בית ספר נעם הצבי,HE,בית ספר נעם הצבי
בית ספר נעמי שמר/זכרון יעקב,AR,مدرسة نعومي شيمِر/زخرون يعكوڤ
בית ספר נעמי שמר/זכרון יעקב,EN,Naomi Shemer School/Zikhron Y'akov
בית ספר נעמי שמר/זכרון יעקב,HE,בית ספר נעמי שמר/זכרון יעקב
בית ספר נפתלי,AR,مدرسة نفتالي
בית ספר נפתלי,EN,Naftali School
בית ספר נפתלי,HE,בית ספר נפתלי
בית ספר נרקיסים/סיגליות,AR,مدرسة نركيسيم/سيچَليوت
בית ספר נרקיסים/סיגליות,EN,Narkisim School/Sigaliot
בית ספר נרקיסים/סיגליות,HE,בית ספר נרקיסים/סיגליות
בית ספר נתיבות חכמה/אוהל שרה,AR,مدرسة نتيڤوت حوخما/أوهَل سارة
בית ספר נתיבות חכמה/אוהל שרה,EN,Netivot Hochma School/Ohel Sara
בית ספר נתיבות חכמה/אוהל שרה,HE,בית ספר נתיבות חכמה/אוהל שרה
בית ספר נתיבות יורם/יהודה הלוי,HE,בית ספר נתיבות יורם/יהודה הלוי
בית ספר סולם צור/שדרות האורנים,AR,مدرسة سولام تسور/جادة هأورانيم
בית ספר סולם צור/שדרות האורנים,EN,Sulam Zor School/HaOranim Boulevard
בית ספר סולם צור/שדרות האורנים,HE,בית ספר סולם צור/שדרות האורנים
בית ספר סיני,AR,مدرسة سيناي
בית ספר סיני,EN,Sinai School
בית ספר סיני,HE,בית ספר סיני
בית ספר סלאח א דין,AR,مدرسة صلاح الدين
בית ספר סלאח א דין,EN,Salah a Din School
בית ספר סלאח א דין,HE,בית ספר סלאח א דין
בית ספר סלמאן,AR,مدرسة سلمان
בית ספר סלמאן,EN,Salman School
בית ספר סלמאן,HE,בית ספר סלמאן
בית ספר סמיע,AR,مدرسة سميع
בית ספר סמיע,EN,Sme'a School
בית ספר סמיע,HE,בית ספר סמיע
בית ספר סנט גוזף,AR,مدرسة مار يوسف
בית ספר סנט גוזף,EN,Saint-Joseph School
בית ספר סנט גוזף,HE,בית ספר סנט גוזף
בית ספר סנט מרגרט,AR,مدرسة سانت مرچريت
בית ספר סנט מרגרט,EN,Saint-Margaret School
בית ספר סנט מרגרט,HE,בית ספר סנט מרגרט
בית ספר עבד רבה,AR,مدرسة عبد ربه
בית ספר עבד רבה,EN,Abd Rabbo School
בית ספר עבד רבה,HE,בית ספר עבד רבה
בית ספר עבדה,AR,مدرسة عافداه
בית ספר עבדה,EN,Ovda School
בית ספר עבדה,HE,בית ספר עבדה
בית ספר עוזיאל/יקותיאל אדם,AR,مدرسة عوزيئل/يكوتئيل أدام
בית ספר עוזיאל/יקותיאל אדם,EN,Uziel School/Yekutiel Adam
בית ספר עוזיאל/יקותיאל אדם,HE,בית ספר עוזיאל/יקותיאל אדם
בית ספר עומר בן אל ח'טאב,AR,مدرسة عمر بن الخطاب
בית ספר עומר בן אל ח'טאב,EN,Omar Ben al Hatav School
בית ספר עומר בן אל ח'טאב,HE,בית ספר עומר בן אל ח'טאב
בית ספר עירוני ה/ביכורים,AR,المدرسة البلدية هـ‘/بيخوريم
בית ספר עירוני ה/ביכורים,EN,Ironi E School/Bikurim
בית ספר עירוני ה/ביכורים,HE,בית ספר עירוני ה/ביכורים
בית ספר על יסודי ב'/טארק אל חי,AR,مدرسة فوق الابتدائية ب‘/طارق الحي
בית ספר על יסודי ב'/טארק אל חי,EN,High School B/Tareq Al Hay
בית ספר על יסודי ב'/טארק אל חי,HE,בית ספר על יסודי ב'/טארק אל חי
בית ספר על"ה/שפירא,AR,مدرسة عليه/شبيرا
בית ספר על"ה/שפירא,EN,Ala School/Shapira
בית ספר על"ה/שפירא,HE,בית ספר על"ה/שפירא
בית ספר עלומים/בן גוריון,AR,مدرسة علوميم/بن چوريون
בית ספר עלומים/בן גוריון,EN,Alumim School/Ben Gurion
בית ספר עלומים/בן גוריון,HE,בית ספר עלומים/בן גוריון
בית ספר עליה/העליה השניה,AR,مدرسة عليا/هعلِيا هشنِيا
בית ספר עליה/העליה השניה,EN,Aliyah School/Ha'Aliya HaShniya
בית ספר עליה/העליה השניה,HE,בית ספר עליה/העליה השניה
בית ספר עליזה בגין/בזלת,AR,مدرسة عليزة بيجين / بزلت
בית ספר עליזה בגין/בזלת,EN,Aliza Begin School/Bazelet
בית ספר עליזה בגין/בזלת,HE,בית ספר עליזה בגין/בזלת
בית ספר עמל,AR,مدرسة عمال
בית ספר עמל,EN,Amal School
בית ספר עמל,HE,בית ספר עמל
בית ספר עמל/בן צבי,AR,مدرسة عمال/بن تسڤي
בית ספר עמל/בן צבי,EN,Amal School/Ben Tsvi
בית ספר עמל/בן צבי,HE,בית ספר עמל/בן צבי
בית ספר עמל/דרך הים,AR,مدرسة عمال/ديرخ هَيام
בית ספר עמל/דרך הים,EN,Amal School/HaYam Road
בית ספר עמל/דרך הים,HE,בית ספר עמל/דרך הים
בית ספר עציון/השיקמה,HE,בית ספר עציון/השיקמה
בית ספר עצמון/תבור,AR,مدرسة عتسمون/تڤور
בית ספר עצמון/תבור,EN,Atsmon School/Tavor
בית ספר עצמון/תבור,HE,בית ספר עצמון/תבור
בית ספר עתידים,AR,مدرسة عتيديم
בית ספר עתידים,EN,Atidim School
בית ספר עתידים,HE,בית ספר עתידים
בית ספר פולינסקי/ד"ר רינגלבלום,AR,مدرسة بولينسكي/د. رينچلبلوم
בית ספר פולינסקי/ד"ר רינגלבלום,EN,Polinsky School/Dr Ringelblum
בית ספר פולינסקי/ד"ר רינגלבלום,HE,בית ספר פולינסקי/ד"ר רינגלבלום
בית ספר פיס השלום,AR,مدرسة بايس السلام
בית ספר פיס השלום,EN,HaShalom Pais School
בית ספר פיס השלום,HE,בית ספר פיס השלום
בית ספר צבר/יצחק שדה,AR,مدرسة تسبار/يتسحاك سَديه
בית ספר צבר/יצחק שדה,EN,Tzabar School/Itshak Sade
בית ספר צבר/יצחק שדה,HE,בית ספר צבר/יצחק שדה
בית ספר צוחר,HE,בית ספר צוחר
בית ספר צוקים/שדרות עמק איילון,AR,مدرسة تسوكيم/جادة عيمك أيلون
בית ספר צוקים/שדרות עמק איילון,EN,Tsukim School/Emek Ayalon Boulevard
בית ספר צוקים/שדרות עמק איילון,HE,בית ספר צוקים/שדרות עמק איילון
בית ספר צור באהר בנות/אלמדינה אלמונוורה,AR,مدرسة صور باهر للبنات/ المدينة المنورة
בית ספר צור באהר בנות/אלמדינה אלמונוורה,EN,Sur Baher Girls School/Al-Madinah al-Munawwarah
בית ספר צור באהר בנות/אלמדינה אלמונוורה,HE,בית ספר צור באהר בנות/אלמדינה אלמונוורה
בית ספר צלאח אדין/דרך בית לחם הישנה,AR,مدرسة صلاح الدين/ طريق بيت لحم القديمة
בית ספר צלאח אדין/דרך בית לחם הישנה,EN,Salah a-Din School/Old Bethlehem Road
בית ספר צלאח אדין/דרך בית לחם הישנה,HE,בית ספר צלאח אדין/דרך בית לחם הישנה
בית ספר צליל/השיקמה,AR,مدرسة تسليل/هَشيكما
בית ספר צליל/השיקמה,EN,Tslil School/HaShikma
בית ספר צליל/השיקמה,HE,בית ספר צליל/השיקמה
בית ספר צלעה/דרך ג'בל מוכבר,AR,مدرسة صلعة/ طريق جبل المكبر
בית ספר צלעה/דרך ג'בל מוכבר,EN,Zala'a School/Jabel Mukaber Road
בית ספר צלעה/דרך ג'בל מוכבר,HE,בית ספר צלעה/דרך ג'בל מוכבר
'בית ספר קהילתי ג,AR,المدرسة الجماهيرية ج‘
'בית ספר קהילתי ג,EN,Community School G
'בית ספר קהילתי ג,HE,'בית ספר קהילתי ג
בית ספר קהילתי חטיבת ביניים,AR,المدرسة الجماهيرية الإعدادية
בית ספר קהילתי חטיבת ביניים,EN,Community Junior High School
בית ספר קהילתי חטיבת ביניים,HE,בית ספר קהילתי חטיבת ביניים
בית ספר קול יעקב,AR,مدرسة كول يعكوڤ
בית ספר קול יעקב,EN,Kol Ya'akov School
בית ספר קול יעקב,HE,בית ספר קול יעקב
בית ספר קורצק/יהודה הלוי,AR,مدرسة كوتسيك/يهودا هليڤي
בית ספר קורצק/יהודה הלוי,EN,Korczak School/Yehuda Halevi
בית ספר קורצק/יהודה הלוי,HE,בית ספר קורצק/יהודה הלוי
בית ספר קציר/בן ציון פוגל,AR,مدرسة كاتسير/بن تسيون فوچيل
בית ספר קציר/בן ציון פוגל,EN,Katzir School/Be Zion Fogel
בית ספר קציר/בן ציון פוגל,HE,בית ספר קציר/בן ציון פוגל
בית ספר קרית עמל/קק"ל,AR,مدرسة كريَت عمال/ككال
בית ספר קרית עמל/קק"ל,EN,Kiryat Amal School/KKL
בית ספר קרית עמל/קק"ל,HE,בית ספר קרית עמל/קק"ל
בית ספר קשת/דובדבן,AR,مدرسة كيشيت/دودڤان
בית ספר קשת/דובדבן,EN,Keshet School/Duvdvan
בית ספר קשת/דובדבן,HE,בית ספר קשת/דובדבן
בית ספר קשת/סביון,AR,مدرسة كيشت/سافيون
בית ספר קשת/סביון,EN,Keshet School/Savyon
בית ספר קשת/סביון,HE,בית ספר קשת/סביון
בית ספר ראמה,AR,مدرسة الرامة
בית ספר ראמה,EN,Rama School
בית ספר ראמה,HE,בית ספר ראמה
בית ספר ראנד/איכסאל,AR,مدرسة رند/إكسال
בית ספר ראנד/איכסאל,EN,Rand School/Iksal
בית ספר ראנד/איכסאל,HE,בית ספר ראנד/איכסאל
בית ספר ראשונים,AR,مدرسة ريشونيم
בית ספר ראשונים,EN,Rishonim School
בית ספר ראשונים,HE,בית ספר ראשונים
בית ספר ראשונים/הגליל,AR,مدرسة ريشونيم/هچليل
בית ספר ראשונים/הגליל,EN,Rishonim School/HaGalil
בית ספר ראשונים/הגליל,HE,בית ספר ראשונים/הגליל
בית ספר ראשונים/רבין,AR,مدرسة ريشونيم/رابين
בית ספר ראשונים/רבין,EN,Rishonim School/Rabin
בית ספר ראשונים/רבין,HE,בית ספר ראשונים/רבין
בית ספר רב תחומי,AR,مدرسة متعددة المجالات
בית ספר רב תחומי,EN,Multidisciplinary School
בית ספר רב תחומי,HE,בית ספר רב תחומי
בית ספר רב תחומי/דרך ז'בוטינסקי,AR,مدرسة متعددة المجالات/طريق جابوتنسكي
בית ספר רב תחומי/דרך ז'בוטינסקי,EN,Multidisciplinary School/Jabotinsky Road
בית ספר רב תחומי/דרך ז'בוטינסקי,HE,בית ספר רב תחומי/דרך ז'בוטינסקי
בית ספר רבין/דרך יותם,AR,مدرسة رابين/طريق يوتام
בית ספר רבין/דרך יותם,EN,Rabin School/Yotam Road
בית ספר רבין/דרך יותם,HE,בית ספר רבין/דרך יותם
בית ספר רבין/דרך יצחק רבין,AR,مدرسة رابين/طريق يتسحاك رابين
בית ספר רבין/דרך יצחק רבין,EN,Rabin School/Yitshak Rabin Road
בית ספר רבין/דרך יצחק רבין,HE,בית ספר רבין/דרך יצחק רבין
בית ספר רוגוזין,AR,مدرسة روجوزين
בית ספר רוגוזין,EN,Rogozin School
בית ספר רוגוזין,HE,בית ספר רוגוזין
בית ספר ריגלר/חטיבת אלכסנדרוני,AR,مدرسة ريچلر/حتيڤت ألكسندروني
בית ספר ריגלר/חטיבת אלכסנדרוני,EN,Rigler School/Hativat Alexandroni
בית ספר ריגלר/חטיבת אלכסנדרוני,HE,בית ספר ריגלר/חטיבת אלכסנדרוני
בית ספר רימונים,AR,مدرسة ريمونيم
בית ספר רימונים,EN,Rimonim School
בית ספר רימונים,HE,בית ספר רימונים
בית ספר רימונים/שדרות גולדה מאיר,AR,مدرسة ريمونيم/جادة چولدا مئير
בית ספר רימונים/שדרות גולדה מאיר,EN,Rimonim School/Golda Meir BLVD
בית ספר רימונים/שדרות גולדה מאיר,HE,בית ספר רימונים/שדרות גולדה מאיר
בית ספר רמב"ם,AR,مدرسة رمبام
בית ספר רמב"ם,EN,Rambam School
בית ספר רמב"ם,HE,בית ספר רמב"ם
בית ספר רמב"ם/הרב שלום שבזי,AR,مدرسة رمبام/هراڤ شالوم شبازي
בית ספר רמב"ם/הרב שלום שבזי,EN,Rambam School/HaRav Shalom Shabazi
בית ספר רמב"ם/הרב שלום שבזי,HE,בית ספר רמב"ם/הרב שלום שבזי
בית ספר רמב"ם/יצחק שדה,AR,مدرسة رمبام/ يتسحاك سَديه
בית ספר רמב"ם/יצחק שדה,EN,Rambam School/Yitshak Sade
בית ספר רמב"ם/יצחק שדה,HE,בית ספר רמב"ם/יצחק שדה
בית ספר רמון/שרגא רפאלי,AR,مدرسة رامون/شراغا رفائيلي
בית ספר רמון/שרגא רפאלי,EN,Ramon School/Shraga Refa’eli
בית ספר רמון/שרגא רפאלי,HE,בית ספר רמון/שרגא רפאלי
בית ספר רמז/דרך אלי הורוביץ,AR,مدرسة ريمِز/طريق إيلي هوروڤيتش
בית ספר רמז/דרך אלי הורוביץ,EN,Remez School/Eli Horowitz Road
בית ספר רמז/דרך אלי הורוביץ,HE,בית ספר רמז/דרך אלי הורוביץ
בית ספר ש"י עגנון/שמעון בר יוחאי,AR,مدرسة شاي عچنون/شمعون بار يوح
בית ספר ש"י עגנון/שמעון בר יוחאי,EN,Shay Ag'non School/Shimon Bar Yohay
בית ספר ש"י עגנון/שמעון בר יוחאי,HE,בית ספר ש"י עגנון/שמעון בר יוחאי
בית ספר שביבה/דרך יריחו,AR,مدرسة شبيبة/ طريق أريحا
בית ספר שביבה/דרך יריחו,EN,Shbiba School/Jericho Road
בית ספר שביבה/דרך יריחו,HE,בית ספר שביבה/דרך יריחו
בית ספר שדה,AR,مدرسة حقلية
בית ספר שדה,EN,Field School
בית ספר שדה,HE,בית ספר שדה
בית ספר שדה אכזיב,AR,مدرسة أخزيڤ الحقلية
בית ספר שדה אכזיב,EN,Akhziv Field School
בית ספר שדה אכזיב,HE,בית ספר שדה אכזיב
בית ספר שדה חרמון,AR,مدرسة حرمون الحقلية
בית ספר שדה חרמון,EN,Sde Hermon School
