scope,metric,spearman_rho,p_value,n
statistical_area,stops_per_1000_residents,0.0252987854656437,0.1893653724547412,2693
statistical_area,stop_use_count_per_1000_residents,-0.15443646876849546,7.69100376383276e-16,2693
statistical_area,stop_use_count_per_stop,-0.1734593610689026,1.23298175650955e-19,2693
statistical_area,avg_proximity_degree,-0.28212811639525054,1.8515930801181147e-50,2693
statistical_area,critical_stop_share,0.12843917837619157,2.2337056527755814e-11,2693
stop,stop_use_count,-0.07692585673867502,2.2913715067297705e-46,34441
stop,degree,-0.2505334461411104,0.0,34441
stop,is_critical,0.13072284806699788,4.15538267352653e-131,34441
