stop_id,stop_name,region,metro,community_louvain,lat,lon,degree,stop_use_count,has_service_count,is_critical,socio_join_method,socio_join_distance_m,socio_unit_id,socio_locality,socio_cluster,socio_cluster_group,socio_index_value,socio_population
38486,אלהדה,צפון,פריפריה,-1,32.51109,35.063992,11,247.0,True,False,,,,,,,,
38487,אבן ח'לדון ד/סלמאן אל פארסי,צפון,פריפריה,-1,32.510465,35.06057,21,124.0,True,False,nearest,2821.6510967907157,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38488,בי''ס דמקראטי/בן אבן סופראן,צפון,פריפריה,-1,32.509559,35.056342,23,132.0,True,False,nearest,2450.378078228397,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38489,מועויאה ב,צפון,פריפריה,-1,32.51136,35.057904,20,123.0,True,False,nearest,2502.4324181195902,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38490,מועויאה ד/עמרו בן אל עאס,צפון,פריפריה,-1,32.513596,35.059199,14,124.0,True,False,nearest,2535.8680306971623,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38491,אלביר ג,צפון,פריפריה,-1,32.510309,35.054458,17,124.0,True,False,nearest,2219.021652191931,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38492,אלביר ד,צפון,פריפריה,-1,32.508787,35.054249,23,124.0,True,False,nearest,2305.14450929268,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38493,מסגד נדאא אלחק,צפון,פריפריה,-1,32.508762,35.051294,19,0.0,False,False,nearest,2042.1947151831052,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38494,אלווסייה,צפון,פריפריה,-1,32.508657,35.049528,13,124.0,True,False,nearest,1899.262362825436,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38495,בי''ס אלמסתקבל,צפון,פריפריה,-1,32.506875,35.049132,12,123.0,True,False,nearest,2032.4718918722588,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38496,מועצה מקומית,צפון,פריפריה,-1,32.505468,35.048049,12,123.0,True,False,nearest,2098.1563246983364,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38497,כביש המועצה/ח'לת אלשלח,צפון,פריפריה,-1,32.505863,35.043757,7,123.0,True,False,nearest,1796.8728843304896,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38498,אבן סינאא ח/אל קטאיין,צפון,פריפריה,-1,32.502884,35.043455,5,0.0,False,False,nearest,2141.8249114024943,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38499,אבן סינאא ז,צפון,פריפריה,-1,32.501389,35.040987,8,124.0,True,False,nearest,2248.7688640056217,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38500,אבן סינאא ד,מרכז,פריפריה,-1,32.498004,35.035164,8,124.0,True,False,nearest,2541.7208882050786,2230001,עין עירון,8,high_8_10,1.20082742920828,587.352184837366
38501,אלסנדחאוי ב/טארק בן זיאד,מרכז,פריפריה,-1,32.497728,35.041899,10,123.0,True,False,nearest,2742.4364874868766,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38502,אלסנדחאוי ו/טארק בן זיאד,מרכז,פריפריה,-1,32.496733,35.036466,8,123.0,True,False,nearest,2508.3271175029813,6170001,ברקאי,7,middle_5_7,0.968842930546539,545.775666086978
38503,אלערק ב,מרכז,פריפריה,-1,32.495073,35.046379,7,123.0,True,False,nearest,2750.432001010139,6170001,ברקאי,7,middle_5_7,0.968842930546539,545.775666086978
38504,אלערק ד,מרכז,פריפריה,-1,32.498782,35.050701,8,123.0,True,False,nearest,2992.575766828681,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38505,אלערק ו,מרכז,פריפריה,-1,32.499731,35.052159,8,124.0,True,False,nearest,2979.722237729097,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38506,עלי בן אבי טאלב ד,צפון,פריפריה,-1,32.500954,35.05336,10,124.0,True,False,nearest,2931.784033593672,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
38507,עלי בן אבי טאלב ג/טארק בן זיאד,צפון,פריפריה,-1,32.503666,35.053024,17,124.0,True,False,nearest,2637.773890945444,4440001,רגבים,7,middle_5_7,0.719304616352815,527.539337734875
