socio_unit_id,socio_locality,socio_locality_code,socio_stat_area_code,socio_cluster,stops,active_stops,total_stop_use_count,avg_stop_use_count,median_stop_use_count,avg_proximity_degree,critical_stops,dominant_region,dominant_metro,louvain_communities,socio_population,socio_index_value,active_stop_share,stops_per_1000_residents,stop_use_count_per_1000_residents,stop_use_count_per_stop,critical_stop_share
13420001,אבו קורינאת (יישוב),1342.0,1.0,1,14,14,2075.0,148.21428571428572,110.0,3.0714285714285716,0,דרום,באר שבע,0,2077.58693840063,-2.02388540088586,1.0,6.738586839007321,998.7548350671566,148.21428571428572,0.0
13750001,אבו תלול,1375.0,1.0,1,9,9,2348.0,260.8888888888889,261.0,0.8888888888888888,0,דרום,באר שבע,0,2327.07801867085,-3.01225861331845,1.0,3.86751107087527,1008.9906660461261,260.8888888888889,0.0
13580001,אום בטין,1358.0,1.0,1,8,7,1244.0,155.5,26.0,3.375,0,דרום,באר שבע,0,4697.28934801628,-2.60909192093877,0.875,1.703109901751846,264.83358972241206,155.5,0.0
3380001,איבים,338.0,1.0,1,4,3,434.0,108.5,143.0,7.25,0,דרום,פריפריה,0,721.031642717055,-3.19177748067965,0.75,5.5476067387650945,601.9153311560127,108.5,0.0
13590001,אל סייד,1359.0,1.0,1,25,18,591.0,23.64,13.0,5.76,2,דרום,באר שבע,0,6280.86539008565,-2.06805309094943,0.72,3.9803432245917123,94.09531382934809,23.64,0.08
13480001,ביר הדאג',1348.0,1.0,1,25,23,544.0,21.76,20.0,2.32,0,דרום,פריפריה,0,6157.63664307813,-3.37749303167948,0.92,4.059999225206441,88.34558314049217,21.76,0.0
26100012,בית שמש,2610.0,12.0,1,34,31,28327.0,833.1470588235294,813.5,24.852941176470587,0,ירושלים,פריפריה,0,12591.5441225666,-2.98577520811326,0.9117647058823529,2.700224823027472,2249.6843694676236,833.1470588235294,0.0
26100026,בית שמש,2610.0,26.0,1,22,20,13459.0,611.7727272727273,385.0,38.04545454545455,0,ירושלים,פריפריה,0,7981.21213510021,-2.24568088116033,0.9090909090909091,2.7564735315388,1686.3353300445776,611.7727272727273,0.0
26100027,בית שמש,2610.0,27.0,1,12,10,7210.0,600.8333333333334,226.0,32.0,0,ירושלים,פריפריה,0,5716.6374591623,-2.30296483256661,0.8333333333333334,2.0991360893049262,1261.2309336573767,600.8333333333334,0.0
26100031,בית שמש,2610.0,31.0,1,8,8,16774.0,2096.75,2275.5,21.0,0,ירושלים,פריפריה,0,7344.76761969058,-2.07601767367168,1.0,1.0892107707468932,2283.8026835635483,2096.75,0.0
26100032,בית שמש,2610.0,32.0,1,8,7,16702.0,2087.75,2505.0,6.0,1,ירושלים,פריפריה,0,11131.4761061177,-3.0517692843,0.875,0.7186827626215102,1500.4299376630581,2087.75,0.125
26100033,בית שמש,2610.0,33.0,1,46,26,20537.0,446.45652173913044,30.0,14.173913043478262,1,ירושלים,פריפריה,0,7971.09097910629,-2.70714630559159,0.5652173913043478,5.7708537163325,2576.4352776591422,446.45652173913044,0.021739130434782608
37800006,ביתר עילית,3780.0,6.0,1,43,43,62240.0,1447.4418604651162,1212.0,34.23255813953488,0,ירושלים,ירושלים,0,16619.3453646402,-2.0515973983645,1.0,2.587346195445703,3745.033190803268,1447.4418604651162,0.0
37800007,ביתר עילית,3780.0,7.0,1,47,44,58640.0,1247.659574468085,830.0,29.72340425531915,0,ירושלים,ירושלים,0,7847.82091429971,-2.08703546953432,0.9361702127659575,5.988923615007591,7472.137889022237,1247.659574468085,0.0
37800008,ביתר עילית,3780.0,8.0,1,50,50,67089.0,1341.78,1217.5,41.64,0,מרכז,ירושלים,0,13308.8956965241,-2.00195566910144,1.0,3.7568857056306,5040.914102101027,1341.78,0.0
61000312,בני ברק,6100.0,312.0,1,2,2,5883.0,2941.5,2941.5,27.0,2,מרכז,תל אביב,1,5095.72731678028,-2.10998166863841,1.0,0.3924856797996197,1154.4966271305811,2941.5,1.0
61000313,בני ברק,6100.0,313.0,1,3,3,6285.0,2095.0,2710.0,27.666666666666668,3,מרכז,תל אביב,1,4930.05068442748,-2.08768128662865,1.0,0.6085130137659804,1274.834763839729,2095.0,1.0
61000321,בני ברק,6100.0,321.0,1,7,7,9019.0,1288.4285714285713,1459.0,26.428571428571427,7,מרכז,תל אביב,1,5536.87112784244,-2.1365649741047,1.0,1.264251928277713,1628.8983058766703,1288.4285714285713,1.0
61000322,בני ברק,6100.0,322.0,1,5,5,10256.0,2051.2,1957.0,26.8,5,מרכז,תל אביב,1,7220.66081252621,-2.16441551010083,1.0,0.6924573982655622,1420.3686153223211,2051.2,1.0
61000421,בני ברק,6100.0,421.0,1,5,5,9562.0,1912.4,1918.0,25.4,5,מרכז,תל אביב,1,1864.7620974118,-3.72258004340723,1.0,2.68130717958058,5127.731850229901,1912.4,1.0
13170001,דמיידה,1317.0,1.0,1,8,4,646.0,80.75,68.0,5.5,0,צפון,חיפה,0,548.027022301425,-2.07627934359768,0.5,14.597820316239538,1178.7739905363428,80.75,0.0
13030001,חורה,1303.0,1.0,1,41,30,5617.0,137.0,127.0,6.0,1,דרום,באר שבע,0,23918.7402367947,-2.22020862332784,0.7317073170731707,1.7141370989484153,234.8367825559329,137.0,0.024390243902439025
40000641,חיפה,4000.0,641.0,1,9,8,8988.0,998.6666666666666,535.0,40.888888888888886,0,צפון,חיפה,0,4058.90725284101,-2.08007539910564,0.8888888888888888,2.2173455660265455,2214.3891052718436,998.6666666666666,0.0
30000114,ירושלים,3000.0,114.0,1,5,5,12785.0,2557.0,2686.0,29.8,0,ירושלים,ירושלים,0,4118.83898430718,-2.04479007572947,1.0,1.2139343196104662,3104.030055243962,2557.0,0.0
