socio_unit_id,socio_cluster,population,stops,total_stop_use,community,city,region,metro,stop_use_per_1000,stops_per_1000
37970004.0,1.0,8098.3858122721,23,18601.0,64,מודיעין עילית,מרכז,פריפריה,2296.8774804248633,2.840072149334544
37970005.0,2.0,4640.50486104583,19,22290.0,64,מודיעין עילית,מרכז,תל אביב,4803.3566750701575,4.094382091804979
37970006.0,2.0,4063.0475173334,44,45741.0,64,מודיעין עילית,מרכז,תל אביב,11257.805823058665,10.829309726822352
37970007.0,1.0,13333.7556874188,24,39254.0,64,מודיעין עילית,מרכז,תל אביב,2943.9567455880797,1.7999429840045325
37970008.0,1.0,9507.22483414873,16,24949.0,64,מודיעין עילית,מרכז,תל אביב,2624.214787725057,1.6829306426550528
37970009.0,1.0,14470.0371445472,24,27250.0,64,מודיעין עילית,מרכז,פריפריה,1883.2018002295679,1.6585997506609036
37970010.0,1.0,8183.72245789731,20,30295.0,64,מודיעין עילית,מרכז,פריפריה,3701.8606332091895,2.4438756449639807
38220001.0,6.0,974.668306510334,3,252.0,58,רחלים,מרכז,פריפריה,258.5494965997729,3.077970197616344
38230001.0,3.0,2685.97012845682,1,131.0,37,גני מודיעין,מרכז,תל אביב,48.771949699702695,0.3723049595397152
38240001.0,5.0,237.873337303302,2,32.0,38,עמיחי,מרכז,פריפריה,134.52537540682076,8.407835962926297
38250001.0,3.0,228.239182305467,1,24.0,23,מבואות יריחו,מרכז,פריפריה,105.15284780454249,4.381368658522604
40000111.0,3.0,2452.93547695585,6,2223.0,21,חיפה,צפון,חיפה,906.261098542549,2.4460488489677434
40000112.0,5.0,5900.40281695704,11,4353.0,21,חיפה,צפון,חיפה,737.7462412379723,1.8642794977297716
40000121.0,4.0,4840.27402083774,21,16120.0,21,חיפה,צפון,חיפה,3330.3899594531636,4.338597341719382
40000122.0,4.0,4634.04361589304,22,12423.0,21,חיפה,צפון,חיפה,2680.812057399233,4.747473658760615
40000131.0,7.0,3159.20960408358,33,25372.0,21,חיפה,צפון,חיפה,8031.122710947786,10.44565069609321
40000132.0,7.0,3191.46217455554,7,4988.0,21,חיפה,צפון,חיפה,1562.9199806181803,2.1933520177079515
40000133.0,7.0,3250.84205957082,1,710.0,21,חיפה,צפון,חיפה,218.40495077565689,0.3076126067262773
40000134.0,7.0,4774.92326749857,6,6631.0,21,חיפה,צפון,חיפה,1388.7134155924919,1.2565646951523075
40000135.0,5.0,4621.35923437784,31,41101.0,21,חיפה,צפון,חיפה,8893.703760195414,6.707983177199043
40000311.0,2.0,748.857068354395,27,20789.0,14,חיפה,צפון,חיפה,27760.97185766517,36.054944449322214
40000314.0,2.0,1452.64290717743,20,13582.0,18,חיפה,צפון,חיפה,9349.854622145658,13.768008573325957
40000324.0,3.0,1288.33972412974,12,12221.0,18,חיפה,צפון,חיפה,9485.852039729007,9.314313433986422
40000331.0,4.0,1291.04862308095,3,4082.0,18,חיפה,צפון,חיפה,3161.7709256052203,2.323692497995017
40000332.0,4.0,2086.09095882705,4,5621.0,18,חיפה,צפון,חיפה,2694.5133797811623,1.9174619318848334
40000333.0,5.0,996.740182975023,7,7042.0,18,חיפה,צפון,חיפה,7065.0307073819085,7.022893347298121
40000334.0,4.0,3530.8999025393,18,22674.0,18,חיפה,צפון,חיפה,6421.592405860514,5.097850547123986
40000411.0,4.0,3450.20937825836,10,10966.0,18,חיפה,צפון,חיפה,3178.3578321659875,2.898374824152824
40000412.0,4.0,2800.51101920825,14,11308.0,15,חיפה,צפון,חיפה,4037.834496075989,4.999087632212933
40000413.0,6.0,3709.61256177482,10,7037.0,15,חיפה,צפון,חיפה,1896.9636000567216,2.6956993037611507
40000414.0,5.0,4487.54032416738,13,15286.0,15,חיפה,צפון,חיפה,3406.3203661208704,2.8969099018429487
40000417.0,6.0,3429.99972718009,7,9737.0,18,חיפה,צפון,חיפה,2838.7757359984084,2.0408164888557936
40000418.0,4.0,1326.32556387172,11,19554.0,18,חיפה,צפון,חיפה,14742.986588390322,8.293589673329935
40000421.0,6.0,1998.51911008018,11,14651.0,15,חיפה,צפון,חיפה,7330.92814879924,5.504075464936976
40000422.0,6.0,3892.17065087211,11,10735.0,15,חיפה,צפון,חיפה,2758.1010605469296,2.8261864616689545
40000423.0,5.0,4548.65932228534,19,23224.0,15,חיפה,צפון,חיפה,5105.6802355406535,4.177054963626954
40000424.0,5.0,3418.93926121028,13,9271.0,15,חיפה,צפון,חיפה,2711.6597551715886,3.802348917833098
40000425.0,8.0,2639.60591504354,4,2906.0,15,חיפה,צפון,חיפה,1100.9219154413306,1.5153777225620517
40000426.0,3.0,3654.20773279474,25,24825.0,15,חיפה,צפון,חיפה,6793.538248306926,6.841428246029129
40000431.0,3.0,365.091615264954,26,29033.0,15,חיפה,צפון,חיפה,79522.50554680692,71.21500169520822
40000433.0,9.0,4536.66524081589,20,31062.0,15,חיפה,צפון,חיפה,6846.879448044463,4.408524530322879
40000511.0,9.0,5704.10862812346,22,12519.0,18,חיפה,צפון,חיפה,2194.7337991209515,3.8568690455037085
40000512.0,9.0,3607.63571928929,9,10768.0,18,חיפה,צפון,חיפה,2984.7802932057984,2.494708640309453
40000513.0,9.0,3159.65500038727,8,1632.0,18,חיפה,צפון,חיפה,516.5120874905554,2.531921997502722
40000514.0,9.0,2774.6191594444,7,3101.0,18,חיפה,צפון,חיפה,1117.6308609578534,2.5228687606272087
40000521.0,7.0,1728.48626248041,4,3650.0,18,חיפה,צפון,חיפה,2111.6742893647197,2.3141636047832543
40000522.0,8.0,1852.55464352539,9,13633.0,18,חיפה,צפון,חיפה,7359.027193959882,4.858156293232519
40000523.0,7.0,1670.73353461044,16,17873.0,18,חיפה,צפון,חיפה,10697.696329036331,9.576631861723342
40000524.0,8.0,2533.85904764674,10,12106.0,18,חיפה,צפון,חיפה,4777.69274942233,3.9465494378178843
40000525.0,9.0,3795.07336218126,19,5152.0,18,חיפה,צפון,חיפה,1357.5495144154029,5.006490833441897
40000526.0,8.0,3664.35201717238,9,6082.0,15,חיפה,צפון,חיפה,1659.7750356673466,2.456095909405807
40000527.0,7.0,2549.53143840051,14,6461.0,18,חיפה,צפון,חיפה,2534.1911469243983,5.491205085426649
40000528.0,8.0,3468.5476856203,11,7238.0,15,חיפה,צפון,חיפה,2086.7523401817057,3.1713561400937773
40000531.0,8.0,4256.10519153657,20,13312.0,18,חיפה,צפון,חיפה,3127.7422434180967,4.699131976289208
40000532.0,8.0,3749.84646956978,24,16663.0,18,חיפה,צפון,חיפה,4443.648596074854,6.400262035995708
40000533.0,8.0,4218.53649899827,24,13345.0,18,חיפה,צפון,חיפה,3163.4193524623747,5.689176804728137
40000611.0,7.0,3065.81566722804,8,1754.0,18,חיפה,צפון,חיפה,572.115283625607,2.609419765681218
40000612.0,5.0,1786.0093970596,10,11108.0,18,חיפה,צפון,חיפה,6219.452158699544,5.599074683741038
40000613.0,4.0,2787.77113637365,9,2391.0,18,חיפה,צפון,חיפה,857.6744226967741,3.228385530853604
40000621.0,5.0,3476.58155161905,14,17990.0,18,חיפה,צפון,חיפה,5174.623328373248,4.026944224414979
40000622.0,3.0,3083.46090001955,9,6387.0,18,חיפה,צפון,חיפה,2071.3737605557135,2.918798159543044
40000623.0,5.0,3518.60268087561,10,2885.0,18,חיפה,צפון,חיפה,819.9277558903192,2.842037282115491
40000631.0,3.0,4376.8358587561,5,6749.0,18,חיפה,צפון,חיפה,1541.9815176523598,1.1423777727458584
40000632.0,3.0,2522.00233264273,6,8905.0,18,חיפה,צפון,חיפה,3530.9245692365084,2.379062034297479
40000633.0,2.0,1480.52763266973,12,20168.0,18,חיפה,צפון,חיפה,13622.170606591435,8.105218528316998
40000634.0,2.0,1435.68393020003,13,24022.0,18,חיפה,צפון,חיפה,16732.09506263198,9.054917817592862
40000641.0,1.0,4058.90725284101,8,8988.0,18,חיפה,צפון,חיפה,2214.3891052718436,1.9709738364680403
40000642.0,2.0,4468.84946528257,12,7069.0,14,חיפה,צפון,חיפה,1581.8389173583448,2.6852549170038396
40000643.0,2.0,2560.07185170772,3,1877.0,14,חיפה,צפון,חיפה,733.1825467116986,1.1718421098215748
40000644.0,5.0,815.796679732308,4,1504.0,14,חיפה,צפון,חיפה,1843.5966183308271,4.903182495560711
40000711.0,2.0,1626.48097183154,3,834.0,14,חיפה,צפון,חיפה,512.7634533964779,1.8444728539441653
40000712.0,3.0,3758.78062744671,14,13515.0,14,חיפה,צפון,חיפה,3595.580944871625,3.724612151550333
40000713.0,2.0,4854.64159011354,64,62156.0,14,חיפה,צפון,חיפה,12803.416863271734,13.18325952843476
40000714.0,5.0,4886.0179079275,12,8774.0,14,חיפה,צפון,חיפה,1795.7363573646137,2.4559877237719814
40000715.0,7.0,814.292081420284,1,210.0,14,חיפה,צפון,חיפה,257.89272030463457,1.228060572879212
40000721.0,6.0,3653.66431633024,20,17530.0,14,חיפה,צפון,חיפה,4797.922984234968,5.473956627763797
40000722.0,5.0,3751.03035001843,10,13401.0,14,חיפה,צפון,חיפה,3572.6183873543323,2.665934174579757
40000723.0,7.0,4924.3466039459,12,11049.0,14,חיפה,צפון,חיפה,2243.749453205912,2.436871521266263
40000731.0,6.0,2524.64984455405,5,10004.0,14,חיפה,צפון,חיפה,3962.5297035070976,1.9804726626884732
40000732.0,5.0,3877.72150649556,9,7377.0,14,חיפה,צפון,חיפה,1902.405829723153,2.3209505852661483
40000733.0,5.0,2472.95352270407,15,12107.0,14,חיפה,צפון,חיפה,4895.765281816339,6.065621477430006
40000811.0,6.0,3828.16856660025,19,26704.0,14,חיפה,צפון,חיפה,6975.659387882049,4.963208821515837
40000812.0,5.0,3451.93726727433,12,24147.0,14,חיפה,צפון,חיפה,6995.202441516735,3.4763088291796422
40000813.0,9.0,2630.55930055409,10,3988.0,14,חיפה,צפון,חיפה,1516.0274087567554,3.8014729407140306
40000821.0,7.0,5101.09443326734,23,10654.0,14,חיפה,צפון,חיפה,2088.571411365919,4.508836348922108
40000822.0,8.0,1797.61345909743,9,11065.0,14,חיפה,צפון,חיפה,6155.383374552427,5.006638081425381
40000823.0,9.0,2169.92393836546,11,6775.0,14,חיפה,צפון,חיפה,3122.229254313591,5.069302110324649
40000824.0,8.0,2452.41607318142,10,7511.0,14,חיפה,צפון,חיפה,3062.6940029210805,4.0776115070178145
40000911.0,7.0,3658.14960686582,15,11840.0,14,חיפה,צפון,חיפה,3236.6090161479524,4.100433719782034
40000912.0,8.0,3767.65743849738,17,10814.0,14,חיפה,צפון,חיפה,2870.218478331949,4.512087491367037
40000921.0,9.0,2546.47058698389,10,5886.0,18,חיפה,צפון,חיפה,2311.4345125704126,3.9270039289337624
40000922.0,9.0,3730.62835524602,17,12161.0,18,חיפה,צפון,חיפה,3259.7725750138493,4.556873100504517
40000931.0,9.0,3075.85801515767,16,10849.0,15,חיפה,צפון,חיפה,3527.145904179155,5.20180057764462
40000932.0,9.0,4805.25315806538,19,10235.0,14,חיפה,צפון,חיפה,2129.9606208719842,3.9540060377691937
40000933.0,8.0,3651.58270158898,16,8854.0,14,חיפה,צפון,חיפה,2424.702032942372,4.381661681395748
40000934.0,9.0,3287.56979842331,17,8293.0,14,חיפה,צפון,חיפה,2522.5319942947676,5.170992873870861
40000941.0,9.0,2148.36623220615,4,4983.0,14,חיפה,צפון,חיפה,2319.436940173359,1.8618799439481106
40000942.0,9.0,1923.41389507393,7,7102.0,14,חיפה,צפון,חיפה,3692.3929988178757,3.6393622911468784
40000943.0,9.0,3696.64302661729,13,8827.0,14,חיפה,צפון,חיפה,2387.842141218969,3.5167041844167435
40000944.0,10.0,4977.76295593874,38,11628.0,14,חיפה,צפון,חיפה,2335.9890985020024,7.633951302294126
