stop_id,largest_component_share_surviving,pairs_disconnected_share,components_after,route_type,mode_label,stop_name,metro,degree,weighted_degree,exact_betweenness,is_articulation_point
35146,0.2555,0.1269,5,0,tram/light rail,יפו - מרכז,Jerusalem,2,464,0.031022,True
35145,0.2555,0.1269,5,0,tram/light rail,יפו - מרכז,Jerusalem,2,500,0.031022,True
35147,0.2555,0.1264,5,0,tram/light rail,הדווידקה,Jerusalem,2,464,0.030915,True
35143,0.2555,0.1264,5,0,tram/light rail,העירייה,Jerusalem,2,464,0.030915,True
35144,0.2555,0.1264,5,0,tram/light rail,העירייה,Jerusalem,2,500,0.030915,True
35148,0.2555,0.1264,5,0,tram/light rail,הדווידקה,Jerusalem,2,500,0.030915,True
35150,0.2555,0.1251,5,0,tram/light rail,מחנה יהודה,Jerusalem,2,464,0.030593,True
35142,0.2555,0.1251,5,0,tram/light rail,שער שכם,Jerusalem,2,464,0.030593,True
35141,0.2555,0.1251,5,0,tram/light rail,שער שכם,Jerusalem,2,500,0.030593,True
35149,0.2555,0.1251,5,0,tram/light rail,מחנה יהודה,Jerusalem,2,500,0.030593,True
35152,0.2555,0.1229,5,0,tram/light rail,הטורים,Jerusalem,2,464,0.030056,True
35140,0.2555,0.1229,5,0,tram/light rail,שבטי ישראל,Jerusalem,2,464,0.030056,True
35139,0.2555,0.1229,5,0,tram/light rail,שבטי ישראל,Jerusalem,2,500,0.030056,True
35151,0.2555,0.1229,5,0,tram/light rail,הטורים,Jerusalem,2,500,0.030056,True
35154,0.2555,0.1198,5,0,tram/light rail,התחנה המרכזית,Jerusalem,2,464,0.029304,True
35137,0.2555,0.1198,5,0,tram/light rail,שמעון הצדיק,Jerusalem,2,464,0.029304,True
35138,0.2555,0.1198,5,0,tram/light rail,שמעון הצדיק,Jerusalem,2,500,0.029304,True
35153,0.2555,0.1198,5,0,tram/light rail,התחנה המרכזית,Jerusalem,2,500,0.029304,True
49124,0.2555,0.1194,5,0,tram/light rail,קרליבך,Tel Aviv,2,2380,0.029197,True
49123,0.2555,0.1194,5,0,tram/light rail,אלנבי,Tel Aviv,2,2380,0.029197,True
49135,0.2555,0.1194,5,0,tram/light rail,אלנבי,Tel Aviv,2,2436,0.029197,True
49100,0.2555,0.1194,5,0,tram/light rail,קרליבך,Tel Aviv,2,2436,0.029197,True
49136,0.2555,0.1185,5,0,tram/light rail,יהודית,Tel Aviv,2,2380,0.028982,True
49092,0.2555,0.1185,5,0,tram/light rail,אליפלט,Tel Aviv,2,1798,0.028982,True
49134,0.2555,0.1185,5,0,tram/light rail,אליפלט,Tel Aviv,2,1856,0.028982,True
49109,0.2555,0.1185,5,0,tram/light rail,יהודית,Tel Aviv,2,2436,0.028982,True
49137,0.2555,0.1167,5,0,tram/light rail,שאול המלך,Tel Aviv,2,2380,0.028553,True
49099,0.2555,0.1167,5,0,tram/light rail,שלמה,Tel Aviv,2,1216,0.028553,True
49122,0.2555,0.1167,5,0,tram/light rail,שלמה,Tel Aviv,2,1276,0.028553,True
49149,0.2555,0.1167,5,0,tram/light rail,שאול המלך,Tel Aviv,2,2436,0.028553,True
35155,0.2555,0.1159,5,0,tram/light rail,קריית משה,Jerusalem,2,464,0.028338,True
35136,0.2555,0.1159,5,0,tram/light rail,גבעת התחמושת,Jerusalem,2,464,0.028338,True
35135,0.2555,0.1159,5,0,tram/light rail,גבעת התחמושת,Jerusalem,2,500,0.028338,True
35156,0.2555,0.1159,5,0,tram/light rail,קריית משה,Jerusalem,2,500,0.028338,True
49110,0.2555,0.1141,5,0,tram/light rail,ארלוזורוב,Tel Aviv,2,2380,0.027909,True
49091,0.2555,0.1141,5,0,tram/light rail,אצטדיון בלומפילד,Tel Aviv,2,1216,0.027909,True
49116,0.2555,0.1141,5,0,tram/light rail,אצטדיון בלומפילד,Tel Aviv,2,1276,0.027909,True
49093,0.2555,0.1141,5,0,tram/light rail,ארלוזורוב,Tel Aviv,2,2436,0.027909,True
35163,0.2555,0.1111,5,0,tram/light rail,החלוץ,Jerusalem,2,464,0.027158,True
35134,0.2555,0.1111,5,0,tram/light rail,גבעת המבתר,Jerusalem,2,464,0.027158,True
35133,0.2555,0.1111,5,0,tram/light rail,גבעת המבתר,Jerusalem,2,482,0.027158,True
35164,0.2555,0.1111,5,0,tram/light rail,החלוץ,Jerusalem,2,500,0.027158,True
49101,0.2555,0.1106,5,0,tram/light rail,אבא הלל,Tel Aviv,2,2380,0.02705,True
49148,0.2555,0.1106,5,0,tram/light rail,ארליך,Tel Aviv,2,1216,0.02705,True
49121,0.2555,0.1106,5,0,tram/light rail,ארליך,Tel Aviv,2,1276,0.02705,True
49150,0.2555,0.1106,5,0,tram/light rail,אבא הלל,Tel Aviv,2,2436,0.02705,True
49094,0.2555,0.1062,5,0,tram/light rail,ביאליק,Tel Aviv,2,2380,0.025977,True
49133,0.2555,0.1062,5,0,tram/light rail,איסקוב,Tel Aviv,2,1216,0.025977,True
49090,0.2555,0.1062,5,0,tram/light rail,איסקוב,Tel Aviv,2,1276,0.025977,True
49145,0.2555,0.1062,5,0,tram/light rail,ביאליק,Tel Aviv,2,2436,0.025977,True
35157,0.2555,0.1054,5,0,tram/light rail,כיכר דניה,Jerusalem,2,464,0.025762,True
35131,0.2555,0.1054,5,0,tram/light rail,א-סהל,Jerusalem,2,464,0.025762,True
35132,0.2555,0.1054,5,0,tram/light rail,א-סהל,Jerusalem,2,464,0.025762,True
35158,0.2555,0.1054,5,0,tram/light rail,כיכר דניה,Jerusalem,2,500,0.025762,True
49095,0.2555,0.1009,6,0,tram/light rail,אהרונוביץ',Tel Aviv,3,2380,0.024689,True
49151,0.2555,0.1009,5,0,tram/light rail,בן גוריון,Tel Aviv,2,2380,0.024689,True
49115,0.2555,0.1009,5,0,tram/light rail,הבעש''ט,Tel Aviv,2,1216,0.024689,True
49144,0.2555,0.1009,5,0,tram/light rail,הבעש''ט,Tel Aviv,2,1276,0.024689,True
49146,0.2555,0.1009,5,0,tram/light rail,בן גוריון,Tel Aviv,2,2436,0.024689,True
49117,0.2555,0.1009,6,0,tram/light rail,אהרונוביץ',Tel Aviv,3,2436,0.024689,True
35159,0.2555,0.0988,5,0,tram/light rail,יפה נוף,Jerusalem,2,464,0.024152,True
35130,0.2555,0.0988,5,0,tram/light rail,שועפאט,Jerusalem,2,464,0.024152,True
35129,0.2555,0.0988,5,0,tram/light rail,שועפאט,Jerusalem,2,464,0.024152,True
35160,0.2555,0.0988,5,0,tram/light rail,יפה נוף,Jerusalem,2,500,0.024152,True
49108,0.2555,0.0948,5,0,tram/light rail,מחרוזת,Tel Aviv,2,1216,0.023186,True
49114,0.2555,0.0948,5,0,tram/light rail,מחרוזת,Tel Aviv,2,1276,0.023186,True
35161,0.2555,0.0913,5,0,tram/light rail,הר הרצל,Jerusalem,2,464,0.022327,True
35128,0.2555,0.0913,5,0,tram/light rail,בית חנינא,Jerusalem,2,464,0.022327,True
35127,0.2555,0.0913,5,0,tram/light rail,בית חנינא,Jerusalem,2,464,0.022327,True
35162,0.2555,0.0913,5,0,tram/light rail,הר הרצל,Jerusalem,2,500,0.022327,True
49105,0.2555,0.0878,5,0,tram/light rail,העצמאות,Tel Aviv,2,1216,0.021468,True
49119,0.2555,0.0878,5,0,tram/light rail,העצמאות,Tel Aviv,2,1276,0.021468,True
49459,0.2555,0.083,5,0,tram/light rail,שמריהו לוין,Jerusalem,2,464,0.020288,True
35125,0.2555,0.083,5,0,tram/light rail,יקותיאל אדם,Jerusalem,2,464,0.020288,True
35126,0.2555,0.083,5,0,tram/light rail,יקותיאל אדם,Jerusalem,2,464,0.020288,True
49435,0.2555,0.083,5,0,tram/light rail,שמריהו לוין,Jerusalem,2,500,0.020288,True
49156,0.2555,0.0799,5,0,tram/light rail,רוטשילד,Tel Aviv,2,1216,0.019536,True
49104,0.2555,0.0799,5,0,tram/light rail,רוטשילד,Tel Aviv,2,1276,0.019536,True
49442,0.2555,0.0737,5,0,tram/light rail,קריית היובל - מערב,Jerusalem,2,464,0.018033,True
35124,0.2555,0.0737,5,0,tram/light rail,פסגת זאב - מרכז,Jerusalem,2,464,0.018033,True
35123,0.2555,0.0737,5,0,tram/light rail,פסגת זאב - מרכז,Jerusalem,2,464,0.018033,True
49472,0.2555,0.0737,5,0,tram/light rail,קריית היובל - מערב,Jerusalem,2,500,0.018033,True
49097,0.2555,0.0711,5,0,tram/light rail,שנקר,Tel Aviv,2,1216,0.017389,True
49155,0.2555,0.0711,5,0,tram/light rail,ז'בוטינסקי,Tel Aviv,2,1216,0.017389,True
