stop_id,stop_name,region,bt_traveltime,bt_hop_control,rank_traveltime,rank_hop_control,rank_shift_vs_control,rank_shift_vs_nb04,abs_shift
17629,שד. הנשיא בן צבי/הגלעד,North,0.007019071706220638,0.006665654421836466,858,361,-497,-526,497
27875,צומת יד מרדכי,Center,0.007945581935834107,0.009499143932433925,716,219,-497,1393,497
19090,בית עלמין ישן/כביש 6400,North,0.00675924086562659,0.006240036754200056,898,401,-497,266,497
27740,צומת נהורה,Center,0.00633322856008814,0.0056602629444408425,968,473,-495,1855,495
27864,צומת הגדי לדרום,South,0.00829995458610148,0.010166847486592,682,194,-488,-268,488
21213,כפר כנא ז'/בי''ס חט''ב א,North,0.006681250261059949,0.0059782310317765324,905,424,-481,1359,481
27842,מסעף נתיבות/מרכז העיר,South,0.010195576558633634,0.030774156039168662,500,20,-480,-453,480
3276,צומת כפר חסידים,North,0.023453779005613854,0.005264400176134957,125,595,470,384,470
13356,דרך קיבוץ גלויות/כביש 1,Center,0.007650936201331052,0.007974753562895337,753,283,-470,-612,470
22234,צומת אודים,Center,0.00942655262371637,0.01510579242954164,560,91,-469,-372,469
10113,יקותיאל אדם/תמיר,Jerusalem,0.01383389018188835,0.0047542733790942905,313,772,459,2840,459
10155,מאיר גרשון/אלי תבין,Jerusalem,0.013781786172474796,0.004732061637891938,316,774,458,4945,458
17303,ת.התרעננות/דור אלון מגל 6,Center,0.010840764530739238,0.1130313029835912,453,1,-452,-452,452
20409,מסעף קיבוץ קדרים לדרום,North,0.020518283224468484,0.005224632888466696,168,618,450,221,450
27792,צומת אשקלון,Center,0.008829172203407572,0.010412626631926623,628,181,-447,-325,447
5710,משטרה/שמעון דהאן,North,0.010467513540674142,0.022876663940296405,487,43,-444,-387,444
4171,צומת אבליים,North,0.010268046159874759,0.01881810079156715,498,61,-437,-329,437
4671,אורט יגאל אלון/מעלה יצחק,North,0.007198513503719492,0.006251224299831201,834,399,-435,322,435
27522,מלכי ישראל/יציאה צפונית,Center,0.007588490419043777,0.007116966979957941,762,332,-430,-515,430
4312,צומת בית צידה,North,0.008792389198364461,0.009793267308486023,635,210,-425,1346,425
27805,צומת אבן שמואל,Center,0.010486523036716268,0.003980647188242643,482,899,417,725,417
7254,צומת מנות עבדון,North,0.00866067882185501,0.008953824202268671,651,237,-414,2556,414
8305,מחנה ישי,Center,0.008030137603174147,0.007786351010347588,708,294,-414,3440,414
17811,מצובה/מרכז,North,0.008627927730223632,0.00892115581541414,655,242,-413,1641,413
17756,צומת כברי,North,0.008695745647238101,0.008987013514349593,647,235,-412,2437,412
23534,מחלף בית רבן למערב,Center,0.010237157894883784,0.01488163321954055,499,95,-404,-343,404
20503,מעון נווה רם/הרב עובדיה יוסף,North,0.011828051229020177,0.004672283145525206,394,788,394,-37,394
18824,צומת אחיהוד,North,0.046884663753667406,0.006064244458970747,24,417,393,429,393
