source,target,hop_path_hops,time_path_hops,hop_path_seconds,time_path_seconds,same_path,extra_seconds_if_hop_routed,extra_hops_if_time_routed,time_penalty_ratio
15741,12406,12,25,7632.0,3605.0,False,4027.0,13,2.1170596393897365
580,559,7,10,829.0,794.0,False,35.0,3,1.044080604534005
26037,35295,11,28,9467.0,8556.0,False,911.0,17,1.1064749883122955
28495,8820,18,28,6309.0,4697.0,False,1612.0,10,1.3431977858207367
7576,5223,13,29,6944.0,6557.0,False,387.0,16,1.0590208937013879
43392,40393,17,27,2543.0,1607.0,False,936.0,10,1.5824517734909769
14577,28627,10,25,4191.0,3855.0,False,336.0,15,1.0871595330739299
51534,34217,8,18,9281.0,6362.5,False,2918.5,10,1.4587033398821219
12844,8184,11,13,5146.0,3687.0,False,1459.0,2,1.395714673176024
34269,3766,9,16,6560.0,6243.0,False,317.0,7,1.050776870094506
18024,2443,9,31,6375.0,3283.0,False,3092.0,22,1.9418215047212914
7442,44227,14,24,6787.0,3524.0,False,3263.0,10,1.9259364358683315
24697,8274,12,20,7922.0,3026.0,False,4896.0,8,2.6179775280898876
2512,27948,14,53,9692.0,6805.0,False,2887.0,39,1.4242468772961059
22218,10356,9,16,3025.0,2007.0,False,1018.0,7,1.5072247135027403
16377,4506,11,28,6572.0,4513.0,False,2059.0,17,1.4562375360070907
35830,27031,10,33,8888.0,7655.5,False,1232.5,23,1.160995362811051
9946,13636,7,8,3259.0,2687.0,False,572.0,1,1.212876814291031
14655,21569,13,29,4199.0,2530.0,False,1669.0,16,1.6596837944664031
7210,11939,12,24,9903.0,9666.0,False,237.0,12,1.0245189323401613
3427,22159,16,39,9475.0,4484.0,False,4991.0,23,2.1130686886708294
39776,4655,11,19,8751.0,7979.0,False,772.0,8,1.096753979195388
7381,5456,10,21,8991.0,7248.0,False,1743.0,11,1.2404801324503312
14819,47044,8,29,3798.0,3529.0,False,269.0,21,1.0762255596486257
41920,48447,13,28,7310.0,4551.0,False,2759.0,15,1.6062403867281916
27707,367,14,47,7075.0,6274.0,False,801.0,33,1.1276697481670386
18758,51030,14,54,10006.5,6974.5,False,3032.0,40,1.434726503692021
13379,34471,13,24,6290.0,3376.0,False,2914.0,11,1.8631516587677726
16563,22261,10,14,5233.5,2398.0,False,2835.5,4,2.1824437030859047
23019,25276,11,18,2334.0,1578.0,False,756.0,7,1.479087452471483
41878,40945,20,48,16135.0,6834.0,False,9301.0,28,2.3609891717881184
27668,1038,15,50,11022.0,7411.5,False,3610.5,35,1.4871483505363288
48830,28117,13,22,8608.0,5397.0,False,3211.0,9,1.5949601630535484
71,34113,9,16,1504.0,1135.0,False,369.0,7,1.3251101321585903
7629,3338,25,34,10299.0,9478.0,False,821.0,9,1.0866216501371597
13207,40329,10,19,5924.0,5200.0,False,724.0,9,1.1392307692307693
23917,13473,10,18,2161.0,1364.0,False,797.0,8,1.5843108504398826
2936,24001,13,34,7698.0,5196.0,False,2502.0,21,1.4815242494226328
17086,28475,8,12,7485.0,7332.0,False,153.0,4,1.0208674304418985
50638,24385,14,18,6356.0,5663.0,False,693.0,4,1.1223733003708283
19638,43304,14,30,5592.0,5029.0,False,563.0,16,1.1119506860210777
20162,28968,13,20,8999.0,8691.5,False,307.5,7,1.035379393660473
43008,8393,17,35,8400.0,5265.0,False,3135.0,18,1.5954415954415955
12615,12494,10,63,14692.0,13724.0,False,968.0,53,1.0705333721946955
28519,38637,16,21,12354.0,8541.0,False,3813.0,5,1.4464348436951178
15278,34258,14,39,11221.5,7334.5,False,3887.0,25,1.5299611425455042
35906,29118,11,63,17794.0,17037.0,False,757.0,52,1.0444327052884899
24081,24678,13,23,4250.0,1880.0,False,2370.0,10,2.2606382978723403
9012,17825,17,35,8776.5,6319.0,False,2457.5,18,1.388906472543124
34382,50405,17,32,8637.0,6126.0,False,2511.0,15,1.409892262487757
7366,11880,8,18,1665.0,1527.0,False,138.0,10,1.0903732809430255
14851,3834,12,23,2909.0,1596.0,False,1313.0,11,1.8226817042606516
26956,10882,17,39,4526.0,3684.0,False,842.0,22,1.228555917480999
47888,20410,20,36,12480.0,8965.5,False,3514.5,16,1.3920026769282248
26162,37232,19,29,12261.0,5113.0,False,7148.0,10,2.398005085077254
25945,3497,8,11,9790.0,5761.0,False,4029.0,3,1.6993577503905573
3743,8,15,27,8468.5,6212.5,False,2256.0,12,1.3631388329979879
15904,49212,6,11,2373.0,2025.0,False,348.0,5,1.171851851851852
2872,24971,7,41,10259.0,2114.5,False,8144.5,34,4.851737999527075
21726,11407,13,17,3955.0,2476.0,False,1479.0,4,1.5973344103392568
9892,15787,10,26,3793.0,2548.0,False,1245.0,16,1.48861852433281
5244,867,9,24,7994.0,7048.0,False,946.0,15,1.13422247446084
255,27336,8,24,5402.0,4550.0,False,852.0,16,1.1872527472527472
20870,50148,16,40,11934.0,8938.0,False,2996.0,24,1.3351980308793914
50563,23537,13,20,8175.0,2624.5,False,5550.5,7,3.1148790245761098
25748,10056,11,29,6527.0,5037.0,False,1490.0,18,1.295810998610284
38110,1634,9,31,7589.0,4370.0,False,3219.0,22,1.7366132723112129
48095,19825,12,30,9430.5,9067.5,False,363.0,18,1.0400330851943755
9352,21620,8,10,3488.0,3046.0,False,442.0,2,1.14510833880499
19040,1040,18,26,3582.0,3411.0,False,171.0,8,1.050131926121372
41710,6753,29,55,16821.0,5171.0,False,11650.0,26,3.2529491394314447
13612,8809,8,13,3350.0,2924.0,False,426.0,5,1.1456908344733243
935,39473,9,13,8503.0,3539.0,False,4964.0,4,2.4026561175473296
42882,8945,6,12,3380.0,3121.0,False,259.0,6,1.0829862223646267
18034,39290,19,50,12084.0,8589.0,False,3495.0,31,1.4069158225637444
17753,17838,14,14,1651.0,1565.0,False,86.0,0,1.0549520766773164
14854,35484,11,20,3323.0,2817.0,False,506.0,9,1.1796237131700391
22081,44596,11,38,12666.5,5221.0,False,7445.5,27,2.4260678031028537
10262,35724,9,19,5257.0,2559.5,False,2697.5,10,2.0539167806212153
27205,13637,7,14,14262.5,2922.0,False,11340.5,7,4.881074606433949
34473,12519,24,35,19358.0,6908.0,False,12450.0,11,2.8022582513028373
42904,44514,17,25,9684.0,8930.0,False,754.0,8,1.0844344904815229
5319,44177,12,20,10989.0,10525.0,False,464.0,8,1.044085510688836
11145,9429,8,22,3268.0,2342.0,False,926.0,14,1.3953885567890691
17138,48267,9,32,7934.0,3388.0,False,4546.0,23,2.3417945690672965
25794,11177,7,16,5853.0,4358.0,False,1495.0,9,1.3430472693896283
38663,22146,10,11,3266.0,3112.0,False,154.0,1,1.0494858611825193
26921,49268,13,22,6389.0,6006.0,False,383.0,9,1.0637695637695637
44248,5607,12,16,4679.0,4530.0,False,149.0,4,1.0328918322295806
13109,44380,9,21,8459.0,2393.0,False,6066.0,12,3.53489343919766
1810,5763,15,22,2917.0,2560.0,False,357.0,7,1.139453125
14595,28129,8,15,6679.0,4019.0,False,2660.0,7,1.661856183130132
40201,25378,14,21,4065.0,2040.5,False,2024.5,7,1.9921587846116149
10000,27868,8,32,5459.0,4502.0,False,957.0,24,1.2125721901377167
28728,38277,10,22,13228.0,7785.0,False,5443.0,12,1.699165061014772
35481,47928,5,15,8470.0,1985.0,False,6485.0,10,4.267002518891688
21029,39415,20,32,14805.0,9369.0,False,5436.0,12,1.5802113352545628
3979,19545,8,12,1859.0,1414.0,False,445.0,4,1.3147100424328146
39006,15179,16,31,9593.0,5958.5,False,3634.5,15,1.609968951917429
2815,21491,16,53,11347.0,4931.5,False,6415.5,37,2.3009226401703335
41130,39282,8,10,1025.0,905.0,False,120.0,2,1.132596685082873
25121,21262,9,17,8679.0,5372.0,False,3307.0,8,1.6155994043186894
14301,16520,10,13,2958.0,1980.0,False,978.0,3,1.493939393939394
18455,49550,7,21,7079.0,1297.0,False,5782.0,14,5.4579799537393985
35361,3019,21,30,7919.0,5203.0,False,2716.0,9,1.5220065346915241
24854,38814,18,37,6024.0,4614.0,False,1410.0,19,1.305591677503251
2796,13085,10,18,7791.5,4281.0,False,3510.5,8,1.8200186872226116
18507,14655,9,22,11957.0,7314.0,False,4643.0,13,1.6348099535138092
13422,47978,7,12,2231.0,1313.0,False,918.0,5,1.699162223914699
9405,25995,13,23,9090.0,3371.0,False,5719.0,10,2.696529219816078
4533,1976,15,36,12026.0,2745.0,False,9281.0,21,4.381056466302368
6502,6146,24,34,2489.0,2360.0,False,129.0,10,1.0546610169491526
7406,28026,15,40,10515.0,3769.0,False,6746.0,25,2.7898646855929954
51716,1721,10,33,7710.0,4515.0,False,3195.0,23,1.7076411960132891
28391,12464,25,37,11890.0,9444.0,False,2446.0,12,1.2590004235493435
34744,21420,16,21,3901.0,3383.0,False,518.0,5,1.153118533845699
15764,472,17,23,3476.0,3103.0,False,373.0,6,1.1202062520141798
34021,529,16,23,9319.0,2567.0,False,6752.0,7,3.6303077522399687
15353,24526,11,15,5282.0,1520.0,False,3762.0,4,3.475
10658,14452,17,28,5618.0,4239.5,False,1378.5,11,1.3251562684278806
7273,43101,19,55,11265.0,10373.0,False,892.0,36,1.0859924804781644
27358,3773,25,38,10267.5,7889.5,False,2378.0,13,1.301413270802966
5582,27057,15,39,12626.0,7751.0,False,4875.0,24,1.6289511030834731
10335,23337,8,18,7047.0,2730.0,False,4317.0,10,2.5813186813186815
4530,42465,6,29,4355.0,3908.0,False,447.0,23,1.1143807574206754
24181,49991,8,9,2200.0,898.0,False,1302.0,1,2.4498886414253898
27143,371,10,20,14000.0,4880.0,False,9120.0,10,2.8688524590163933
43950,7281,15,35,11053.0,7657.0,False,3396.0,20,1.4435157372339036
41311,49596,16,35,6287.5,2598.0,False,3689.5,19,2.420130869899923
25012,49765,15,23,4827.0,2255.5,False,2571.5,8,2.140101972954999
