from_stop,to_stop,median_travel_seconds,p25_travel_seconds,p75_travel_seconds,trip_frequency,n_observations
38725,15582,143.0,143.0,143.0,112,112
15582,15583,57.0,57.0,60.0,216,216
15583,16086,71.0,60.0,71.0,152,152
16086,16085,48.0,38.0,54.0,186,186
16085,16084,50.0,26.0,50.0,152,152
16084,15769,63.0,60.0,64.0,166,166
15769,15739,34.0,25.0,34.0,214,214
15739,15542,57.0,57.0,60.0,451,451
15542,15543,43.0,35.0,57.0,559,559
15543,16155,45.0,37.0,54.0,331,331
16155,15740,30.0,20.0,38.0,337,337
15740,16019,47.0,47.0,53.0,311,311
16019,16148,79.0,64.0,82.0,446,446
16148,16020,41.0,35.0,45.0,630,630
16020,15741,53.0,28.0,56.0,368,368
15741,15742,26.0,19.0,51.0,433,433
15742,15744,94.0,68.0,98.0,146,146
15744,15745,116.0,94.0,116.0,210,210
37310,37314,1440.0,1440.0,1440.0,8,8
37324,37290,720.0,720.0,720.0,75,75
37290,38643,540.0,480.0,540.0,75,75
38643,39260,540.0,540.0,540.0,75,75
39260,37314,900.0,900.0,960.0,74,74
37314,37312,540.0,540.0,540.0,109,109
37324,37326,600.0,480.0,600.0,122,122
37326,37328,600.0,600.0,720.0,37,37
37328,37332,360.0,360.0,480.0,37,37
37332,37330,360.0,270.0,360.0,50,50
37330,37338,360.0,360.0,420.0,50,50
37338,37340,420.0,420.0,420.0,41,41
37340,37292,480.0,480.0,480.0,50,50
37292,37350,300.0,300.0,300.0,374,374
37350,37358,240.0,180.0,300.0,374,374
37358,37360,300.0,300.0,300.0,334,334
37360,37362,480.0,480.0,480.0,160,160
37362,37364,540.0,480.0,540.0,81,81
37364,40640,240.0,240.0,240.0,48,48
40640,37366,300.0,300.0,300.0,48,48
37366,37368,540.0,540.0,600.0,68,68
37368,37370,480.0,420.0,480.0,51,51
37370,37372,300.0,300.0,300.0,51,51
37372,37370,240.0,240.0,240.0,51,51
37370,37368,360.0,360.0,360.0,51,51
37368,37366,600.0,600.0,600.0,67,67
37366,40640,300.0,300.0,300.0,48,48
40640,37364,180.0,180.0,180.0,48,48
37364,37362,480.0,480.0,540.0,82,82
37362,37360,360.0,360.0,420.0,162,162
37360,37358,300.0,300.0,300.0,338,338
37358,37350,240.0,240.0,300.0,377,377
37350,37292,300.0,240.0,300.0,377,377
37292,37340,540.0,540.0,540.0,51,51
37340,37338,420.0,420.0,420.0,44,44
37338,37330,420.0,420.0,420.0,52,52
37330,37332,300.0,300.0,360.0,52,52
37292,37306,660.0,660.0,660.0,136,136
37306,37396,900.0,840.0,900.0,84,84
37396,37394,480.0,480.0,540.0,120,120
37394,37396,360.0,360.0,360.0,113,113
37396,37306,660.0,660.0,660.0,78,78
37306,37292,660.0,660.0,660.0,135,135
37312,37314,420.0,420.0,420.0,110,110
37314,39260,840.0,840.0,840.0,75,75
39260,38643,540.0,420.0,540.0,76,76
38643,37290,540.0,540.0,600.0,76,76
37290,37324,720.0,660.0,720.0,76,76
42286,37306,1200.0,1200.0,1200.0,62,62
37314,37310,1440.0,1440.0,1440.0,8,8
37338,37298,540.0,540.0,540.0,29,29
37298,37338,540.0,540.0,600.0,30,30
37306,42286,1560.0,1560.0,1560.0,62,62
37338,37334,360.0,300.0,360.0,48,48
37334,37292,600.0,600.0,600.0,39,39
37364,37366,420.0,420.0,420.0,33,33
37366,37364,360.0,300.0,360.0,34,34
37292,37334,660.0,600.0,660.0,41,41
37334,37338,360.0,300.0,360.0,48,48
42286,37396,1020.0,960.0,1020.0,36,36
37396,42286,1320.0,1260.0,1320.0,35,35
37306,37358,780.0,780.0,840.0,31,31
37358,37362,600.0,600.0,600.0,31,31
37362,37358,420.0,420.0,540.0,29,29
37358,37306,840.0,840.0,900.0,29,29
37338,37336,360.0,300.0,360.0,50,50
37336,37322,1260.0,1260.0,1260.0,25,25
37362,37366,720.0,720.0,720.0,17,17
37368,37372,540.0,540.0,540.0,17,17
37372,37376,1080.0,1080.0,1110.0,43,43
37376,37380,540.0,540.0,540.0,11,11
37380,41293,1140.0,660.0,1260.0,11,11
41293,37384,540.0,540.0,600.0,92,92
37384,37382,600.0,540.0,600.0,92,92
37382,37384,420.0,420.0,420.0,95,95
37384,41293,600.0,600.0,600.0,95,95
41293,37380,1020.0,960.0,1020.0,9,9
37380,37376,540.0,540.0,540.0,9,9
37376,37372,1200.0,1200.0,1200.0,39,39
37372,37368,600.0,480.0,600.0,16,16
37366,37362,720.0,720.0,720.0,16,16
37292,37338,840.0,840.0,960.0,37,37
37336,42418,540.0,540.0,600.0,25,25
42418,42419,540.0,540.0,660.0,25,25
42419,37316,720.0,720.0,840.0,25,25
37316,37308,1140.0,1140.0,1260.0,28,28
37308,37314,600.0,600.0,600.0,28,28
37338,37332,660.0,660.0,660.0,12,12
37332,37338,540.0,540.0,540.0,11,11
37332,37328,540.0,540.0,540.0,35,35
37328,37326,540.0,540.0,600.0,35,35
37326,37324,600.0,600.0,600.0,120,120
37338,37316,1500.0,1500.0,1500.0,10,10
37316,37314,1500.0,1500.0,1500.0,7,7
37340,37334,240.0,240.0,240.0,7,7
37334,37340,240.0,240.0,240.0,9,9
37322,37336,1140.0,1140.0,1200.0,25,25
37336,37338,300.0,300.0,300.0,52,52
37388,37380,480.0,480.0,480.0,145,145
37380,37378,300.0,300.0,300.0,194,194
37378,37376,360.0,360.0,480.0,194,194
37376,37374,600.0,600.0,600.0,81,81
37374,37372,780.0,780.0,900.0,47,47
37372,37360,1680.0,1680.0,1680.0,67,67
37314,37308,660.0,660.0,720.0,27,27
37308,37316,960.0,960.0,1020.0,27,27
37316,42419,720.0,720.0,900.0,27,27
42419,42418,540.0,540.0,660.0,27,27
42418,37336,600.0,600.0,600.0,27,27
37338,37292,780.0,780.0,840.0,35,35
41293,37388,420.0,420.0,480.0,17,17
37376,37362,2700.0,2700.0,2700.0,10,10
37362,37376,2640.0,2640.0,2640.0,10,10
37376,37378,420.0,360.0,420.0,191,191
37378,37380,240.0,240.0,240.0,191,191
37380,37388,480.0,480.0,480.0,140,140
37388,41293,420.0,420.0,420.0,17,17
37314,37316,1380.0,1380.0,1380.0,8,8
37316,37338,1500.0,1500.0,1500.0,8,8
37362,37368,1140.0,1140.0,1140.0,8,8
37368,37376,1380.0,1380.0,1380.0,8,8
37332,37326,1140.0,1140.0,1140.0,1,1
37360,37356,360.0,360.0,360.0,108,108
37356,37354,300.0,300.0,300.0,108,108
37354,37352,300.0,300.0,300.0,108,108
37352,37302,300.0,300.0,300.0,108,108
37302,37304,360.0,360.0,360.0,108,108
37304,37296,180.0,180.0,180.0,108,108
37296,42417,480.0,480.0,480.0,3,3
42417,37362,360.0,360.0,360.0,108,108
37326,37300,660.0,660.0,660.0,97,97
37300,37294,660.0,540.0,660.0,97,97
37294,37344,300.0,240.0,420.0,44,44
37344,37346,300.0,240.0,300.0,97,97
37346,37292,330.0,300.0,435.0,44,44
41292,41291,420.0,420.0,480.0,61,61
41291,41293,660.0,660.0,720.0,61,61
37376,37368,1440.0,1440.0,1440.0,8,8
37368,37362,1140.0,1140.0,1140.0,8,8
37388,37386,300.0,300.0,300.0,130,130
37386,37392,240.0,240.0,240.0,127,127
37392,41293,180.0,180.0,180.0,127,127
41293,41291,870.0,780.0,900.0,60,60
41291,41292,840.0,840.0,840.0,60,60
37292,37346,360.0,300.0,480.0,43,43
37346,37344,240.0,240.0,240.0,97,97
37344,37294,300.0,240.0,420.0,43,43
37294,37300,540.0,540.0,540.0,97,97
37300,37326,660.0,660.0,660.0,97,97
37362,42417,300.0,300.0,300.0,109,109
42417,37296,540.0,540.0,540.0,2,2
37296,37304,180.0,180.0,180.0,109,109
37304,37302,360.0,360.0,360.0,109,109
37302,37352,360.0,360.0,360.0,109,109
37352,37354,300.0,300.0,300.0,109,109
37354,37356,300.0,300.0,300.0,109,109
37356,37360,300.0,300.0,300.0,109,109
42417,42416,240.0,240.0,300.0,107,107
42416,37296,240.0,240.0,240.0,107,107
37380,42507,420.0,420.0,420.0,46,46
42507,40584,600.0,600.0,660.0,30,30
40584,40581,480.0,480.0,540.0,32,32
40581,40582,540.0,540.0,540.0,51,51
40582,40583,780.0,780.0,810.0,51,51
40583,40582,840.0,840.0,840.0,55,55
40582,40581,540.0,480.0,540.0,55,55
40581,40584,420.0,420.0,420.0,34,34
40584,42507,600.0,600.0,690.0,31,31
42507,37380,420.0,420.0,420.0,49,49
37374,37376,540.0,480.0,600.0,84,84
37362,37372,1440.0,1440.0,1440.0,7,7
37372,37374,780.0,780.0,870.0,43,43
41293,37392,180.0,180.0,180.0,130,130
37392,37386,240.0,240.0,240.0,130,130
37386,37388,270.0,240.0,300.0,132,132
37372,37362,1560.0,1560.0,1560.0,8,8
37294,37342,240.0,240.0,240.0,53,53
37342,37344,180.0,180.0,180.0,53,53
37346,37348,180.0,180.0,240.0,53,53
37348,37292,240.0,240.0,240.0,53,53
37296,42416,180.0,180.0,180.0,105,105
42416,42417,240.0,240.0,240.0,105,105
37292,37348,300.0,300.0,300.0,54,54
37348,37346,180.0,180.0,180.0,54,54
37344,37342,240.0,240.0,240.0,54,54
37342,37294,180.0,180.0,180.0,54,54
41293,37386,180.0,180.0,180.0,2,2
37386,41293,240.0,240.0,240.0,3,3
40584,37380,1080.0,1080.0,1080.0,3,3
37360,37372,1800.0,1800.0,1800.0,66,66
37380,40584,1020.0,1020.0,1020.0,2,2
37292,37294,540.0,540.0,540.0,13,13
37294,37292,540.0,540.0,540.0,11,11
40581,42507,1020.0,1020.0,1020.0,18,18
40581,37380,1500.0,1500.0,1500.0,3,3
42507,40581,1080.0,1080.0,1080.0,17,17
37380,40581,1740.0,1740.0,1740.0,2,2
43852,43853,38.0,38.0,38.0,2881,2881
43853,43849,81.0,81.0,81.0,2881,2881
43849,9501,52.0,52.0,52.0,2766,2766
9501,9502,13.0,13.0,17.0,2751,2751
9502,43242,55.0,55.0,59.0,1365,1365
43242,48360,60.0,60.0,61.0,1292,1292
48360,9492,9.0,9.0,17.0,1575,1575
9492,10703,45.0,43.0,45.0,1575,1575
10703,34266,122.0,120.0,122.0,916,916
34266,11691,124.0,124.0,124.0,916,916
11691,9497,49.0,49.0,54.0,939,939
9497,9644,33.0,33.0,33.0,633,633
9644,9645,27.0,26.0,44.0,3713,3713
9645,9487,71.0,61.0,72.0,3538,3538
9487,9484,46.0,46.0,58.0,2280,2280
9484,8961,106.0,93.0,106.0,2282,2282
8961,8962,28.0,18.0,31.0,4475,4475
8962,10720,55.0,50.0,60.0,2751,2751
10720,10721,36.0,28.0,49.0,2751,2751
10721,10722,45.0,45.0,60.0,1216,1216
10722,11574,120.0,120.0,141.0,1767,1767
11574,10789,15.0,11.0,15.0,3589,3434
10789,9553,28.0,24.0,44.0,2505,2505
9553,10321,139.0,139.0,139.0,842,842
10321,11844,82.0,82.0,82.0,779,779
11844,10769,38.0,34.0,38.0,850,850
10769,10630,110.0,110.0,116.0,1172,1172
10630,48638,120.0,120.0,120.0,1172,1172
48638,43607,90.0,90.0,114.0,1097,1097
43607,9709,180.0,180.0,186.0,1097,1097
13484,13481,59.0,59.0,59.0,2584,2584
13481,13089,134.0,132.0,134.0,4408,4408
13089,50499,106.0,106.0,108.0,2716,2716
50499,49936,120.0,120.0,120.0,793,793
49936,47429,84.0,84.0,84.0,326,326
47429,48437,89.0,89.0,96.0,1156,1156
48437,13357,83.0,66.0,83.0,1156,1156
13357,13602,85.0,85.0,87.0,1372,1372
13602,13606,71.0,60.0,72.0,2413,2413
13606,13609,43.0,31.0,52.0,2413,2413
13609,13608,34.0,8.0,34.0,1180,1180
13608,13616,51.0,26.0,55.0,1826,1826
13616,13614,34.0,31.0,60.0,1826,1826
13614,13619,34.0,34.0,38.0,1507,1507
13619,13267,39.0,36.0,60.0,809,809
13267,13624,60.0,60.0,60.0,326,326
13624,13621,60.0,60.0,60.0,326,326
13621,13626,52.0,52.0,52.0,326,326
13626,14345,20.0,20.0,20.0,326,326
14345,13777,80.0,80.0,80.0,326,326
13777,13784,54.0,54.0,54.0,585,585
13784,13780,94.0,79.0,94.0,585,585
13780,44255,60.0,60.0,64.0,585,585
44255,13782,51.0,51.0,51.0,326,326
13782,13767,69.0,69.0,69.0,326,326
13767,12985,52.0,52.0,52.0,326,326
12985,13770,30.0,30.0,30.0,1910,1910
13770,13793,38.0,38.0,44.0,1910,1910
13793,13794,15.0,9.0,16.0,1972,1972
13794,13796,56.0,56.0,56.0,326,326
13796,13797,99.0,89.0,109.0,652,652
13797,12929,48.0,45.0,51.0,652,652
12929,13801,118.0,118.0,126.0,574,574
13801,13846,69.0,69.0,71.0,1363,1363
13846,13850,66.0,64.0,66.0,1363,1363
13850,13851,61.0,61.0,61.0,1363,1363
13851,13853,113.0,113.0,115.0,789,789
13853,13864,44.0,42.0,55.0,1078,1078
13864,12837,28.0,28.0,28.0,326,326
12837,25093,230.0,230.0,230.0,326,326
25093,15351,69.0,60.0,76.0,1123,1123
15351,24199,74.0,65.0,75.0,693,693
24199,15878,38.0,38.0,55.0,579,579
48904,48889,189.0,189.0,189.0,518,518
48889,48909,110.0,93.0,111.0,1161,1161
48909,48902,94.0,92.0,101.0,1041,1041
48902,3867,79.0,79.0,80.8,112,112
3867,17329,28.0,28.0,28.0,450,450
17329,17407,81.0,81.0,82.2,112,112
17407,1819,91.0,91.0,114.0,190,190
1819,1817,146.0,125.0,146.0,190,190
1817,1818,42.0,37.0,56.0,532,532
1818,1816,36.0,36.0,36.0,174,174
1816,1822,49.0,16.0,53.0,580,580
1822,1823,52.0,51.0,60.0,580,580
1823,1821,57.0,57.0,60.0,580,580
1821,44242,34.0,34.0,59.0,580,580
44242,1824,38.0,17.0,49.0,580,580
1824,1817,120.0,120.0,120.0,342,342
1818,3047,23.0,16.0,23.0,358,358
3047,3048,31.0,30.0,37.0,358,358
3048,17333,25.0,18.0,30.0,358,280
17333,3049,2.0,2.0,27.0,358,162
3049,17334,51.0,51.0,57.0,358,358
17334,3213,33.0,33.0,36.0,358,358
3213,1826,30.0,24.0,36.0,358,358
1826,1827,55.0,55.0,60.0,358,358
1827,17328,5.0,2.0,27.0,358,288
17328,3866,26.0,19.0,28.0,358,358
3866,2847,34.0,30.0,36.0,358,358
2847,2844,21.0,21.0,27.0,280,280
2844,2845,40.0,33.0,44.0,280,280
2845,2846,5.0,4.0,5.0,280,112
2846,3046,62.0,61.8,62.0,112,112
3046,2894,60.0,55.0,60.0,238,238
2894,3182,37.0,15.0,37.0,859,859
3182,3125,81.0,81.0,82.2,112,112
3125,17353,120.0,120.0,120.0,112,112
17353,3119,120.0,120.0,120.0,112,112
3119,17337,8.0,8.0,17.0,746,585
17337,3170,9.0,2.0,19.0,746,746
3170,3220,35.0,21.0,41.0,479,479
3220,3221,85.0,77.0,97.0,479,479
3221,3541,63.0,63.0,63.0,479,479
3541,3542,29.0,14.0,40.0,479,479
3542,17338,70.0,60.0,78.0,351,351
17338,3173,28.0,28.0,29.0,746,746
3173,3174,52.0,43.0,52.0,746,746
3174,3121,30.0,30.0,48.0,351,351
3121,3363,34.0,34.0,47.0,456,456
3363,3208,39.0,37.0,44.0,456,456
3208,1283,77.0,77.0,77.0,84,84
1283,3935,33.0,19.0,40.0,2508,2508
3935,1285,19.0,18.0,22.0,2463,2463
1285,3938,48.0,38.0,54.0,2476,2476
3938,3884,46.0,40.0,60.0,2505,2505
3884,3877,28.0,17.0,29.0,1642,1642
3877,3878,60.0,60.0,61.0,1615,1615
3878,3201,16.0,15.0,17.0,1304,1097
3201,2090,104.0,104.0,110.0,1126,1126
2090,2092,40.0,23.0,52.0,3845,3845
2092,2093,40.0,14.0,44.0,1592,1592
2093,3507,76.0,73.0,77.0,1246,1246
3507,17488,117.0,101.0,120.0,1371,1371
2882,3381,293.0,293.0,295.0,735,735
3381,3382,26.0,26.0,39.0,1246,1246
3382,3895,56.0,56.0,56.0,1246,1246
3895,2044,38.0,26.0,44.0,1246,1246
2044,2868,60.0,60.0,60.0,1246,1246
2868,3611,42.0,24.0,44.0,1227,1227
3611,3812,78.0,76.0,96.0,1167,1167
3812,3894,41.0,37.0,55.0,2987,2987
3894,3819,60.0,60.0,60.0,338,338
3819,2959,22.0,22.0,22.0,338,338
2959,2956,58.0,57.0,58.0,338,338
2956,3328,39.0,39.0,54.0,698,698
3328,2021,38.0,38.0,46.0,698,698
2021,2022,20.0,20.0,43.0,1711,1711
2022,2437,85.0,82.0,100.0,1288,1288
2437,2025,38.0,31.0,39.0,2507,2507
2025,2027,21.0,15.0,29.0,2433,2317
2027,3731,85.0,61.0,85.0,1563,1563
3731,2046,120.0,120.0,120.0,179,179
2046,2434,38.0,38.0,40.0,841,841
2434,2499,26.0,20.0,37.0,1723,1705
2499,2564,37.0,27.0,42.0,1585,1585
2564,2007,70.0,69.0,70.0,1585,1585
2007,3033,34.0,34.0,45.0,1585,1585
3033,2008,34.0,26.0,36.0,1585,1585
2008,1959,45.0,45.0,46.0,1585,1585
1959,2428,89.0,74.0,95.0,1325,1325
2428,2429,14.0,14.0,21.0,1914,1896
2429,3090,39.0,26.0,40.0,1916,1916
3090,2427,40.0,39.0,40.0,1299,1299
2427,3234,67.0,56.0,67.0,1303,1303
3234,3953,30.0,24.0,41.0,2413,2413
3953,2655,78.0,64.0,96.0,2269,2269
2655,1914,108.0,96.0,116.0,2240,2240
1914,1892,77.0,76.0,97.0,2038,2038
1892,1893,40.0,25.0,43.0,2038,2038
1893,1869,60.0,50.0,60.0,2038,2038
1869,1862,44.0,32.0,60.0,1890,1890
1862,1860,103.0,88.0,104.0,899,899
1860,1861,51.0,38.0,59.0,2119,2119
1861,1868,40.0,10.0,40.0,1409,1409
1868,2061,140.0,140.0,150.0,1049,1049
2061,2966,67.0,67.0,88.0,1066,1066
2966,2080,87.0,82.0,113.0,1305,1305
2080,2755,45.0,38.0,47.0,2099,2099
2755,2089,58.0,58.0,60.0,205,205
2089,2086,38.0,34.0,38.0,804,804
2086,2087,49.0,38.8,52.0,844,844
2087,2699,240.0,240.0,240.0,18,18
2699,2698,104.0,103.0,104.0,389,389
2698,2701,90.0,90.0,90.0,18,18
2701,2894,17.0,17.0,56.0,621,621
3182,2896,90.0,90.0,92.0,226,226
2896,2897,70.0,70.0,70.0,226,226
2897,3164,140.0,138.0,140.0,226,226
3164,3362,51.0,36.0,60.0,472,472
3362,3165,40.0,40.0,40.0,472,472
3165,3111,20.0,12.0,21.0,598,598
3111,3166,47.0,22.0,48.0,352,352
3166,3167,20.0,13.0,20.0,733,733
3167,34296,32.0,32.0,39.0,733,733
34296,3540,29.0,23.0,46.0,352,352
3540,3217,91.0,91.0,92.0,480,480
3217,3218,29.0,28.0,46.0,480,480
3218,3219,68.0,64.0,71.0,480,480
3219,43210,34.5,22.0,56.0,480,480
43210,3169,28.0,28.0,41.0,733,733
3169,3112,17.0,17.0,35.0,733,733
3112,3126,56.0,56.0,60.0,234,234
3126,17510,32.0,21.0,32.0,224,224
17510,3633,47.0,46.0,47.0,224,224
3633,3634,78.0,78.0,79.0,234,234
3634,3635,83.0,83.0,94.0,234,234
3635,3051,19.0,19.0,19.0,108,108
3051,17448,38.0,3.0,39.0,382,382
17448,3179,37.0,16.0,37.0,302,302
3179,3178,23.0,17.0,23.0,302,302
3178,3209,65.0,60.0,65.0,382,382
3209,3210,38.0,38.0,46.0,382,382
3210,3211,46.0,14.0,46.0,382,382
3211,17330,14.0,14.0,15.0,372,368
17330,17331,31.0,7.0,31.0,372,258
17331,17332,29.0,14.0,29.0,372,372
17332,3212,21.0,21.0,31.0,372,372
3212,3900,246.0,246.0,246.0,18,18
3900,48900,119.0,97.0,120.0,405,405
48900,48917,49.0,48.0,59.0,1462,1462
48917,48915,23.0,8.0,30.0,1462,1462
48915,48903,57.0,46.0,60.0,1462,1462
48903,2395,117.0,102.0,120.0,962,962
2395,2402,56.0,42.0,60.0,1226,1226
2402,2356,137.0,133.0,147.0,44,44
2356,3869,107.0,106.0,109.0,1861,1861
3869,2357,112.0,112.0,120.0,1817,1817
2357,3803,62.0,60.0,62.0,1818,1818
3803,3931,102.0,102.0,114.0,40,40
3931,3007,45.0,45.0,59.0,610,610
3007,3070,79.0,71.0,79.0,1047,1047
3070,3600,38.0,38.0,46.0,1047,1047
3600,35632,107.0,106.0,108.0,1114,1114
3599,3068,146.0,146.0,150.0,1101,1101
3068,3069,73.0,73.0,74.0,1028,1028
3069,1249,69.0,69.0,69.0,36,36
1249,3854,107.0,94.0,109.0,1831,1831
3854,2175,16.0,6.0,26.0,1782,1782
2175,3852,146.0,136.0,151.0,1799,1799
3852,3181,94.0,89.0,103.0,1894,1894
3181,48898,227.0,200.0,227.0,28,28
48898,48906,81.0,78.0,103.0,1730,1730
48906,48894,52.0,45.0,60.0,1730,1730
48894,3926,60.0,52.0,60.0,482,482
3926,3904,26.0,26.0,59.0,903,903
3904,3867,66.0,60.0,66.0,775,775
3867,3901,55.0,46.0,60.0,451,451
3901,17407,70.0,70.0,70.0,16,16
2847,3636,60.0,60.0,60.0,78,78
3636,3637,106.0,90.0,106.0,239,239
3637,3638,70.0,70.0,70.0,239,239
3638,3118,15.0,15.0,20.0,239,239
3118,17336,48.0,48.0,60.0,239,239
17336,3119,60.0,52.0,60.0,239,239
3208,2890,96.0,95.0,96.0,216,216
2890,2891,120.0,108.0,120.0,216,216
2891,2892,69.0,62.0,69.0,334,334
2892,2893,43.0,21.0,43.0,876,876
2893,2700,26.0,24.0,26.0,597,597
2700,17463,49.0,46.0,53.0,387,387
17463,17464,60.0,47.0,60.0,387,387
17464,1839,49.0,44.0,49.0,387,387
1839,2094,245.0,245.0,245.0,16,16
2094,2617,44.0,39.0,49.0,902,902
2617,3782,16.0,11.0,21.0,793,793
3782,2084,114.0,114.0,114.0,196,196
2084,2079,97.0,81.0,97.0,1273,1273
2079,2620,61.0,61.0,61.0,1503,1503
2620,3077,131.0,128.0,147.0,1037,1037
3077,1877,131.0,120.0,134.0,1400,1400
1877,3962,131.0,129.0,132.0,912,912
3962,1863,59.0,58.0,60.0,2138,2138
1863,2558,88.0,76.0,88.0,2013,2013
2558,1872,21.0,14.0,26.0,2013,2013
1872,1873,22.0,17.0,36.0,2013,2013
1873,1899,84.0,81.0,89.0,2007,2007
1899,1900,50.0,49.0,54.0,2019,2019
1900,1915,74.0,66.0,75.0,2019,2019
1915,3862,45.0,42.0,51.0,1296,1296
3862,1948,55.0,54.0,55.0,1258,1258
1948,1949,28.0,14.0,50.0,2168,2168
1949,1950,55.0,33.0,56.0,2168,2168
1950,1960,82.0,74.0,86.0,1280,1280
1960,3163,38.0,34.0,51.0,1558,1558
3163,1961,30.0,29.0,42.0,1558,1558
1961,1962,26.0,18.0,30.0,1558,1558
1962,1963,47.0,39.0,60.0,1558,1558
1963,2560,55.0,55.0,55.0,1558,1558
2560,2561,32.0,31.0,44.0,1558,1558
2561,2017,38.0,12.0,46.0,813,813
2017,2018,14.0,1.0,14.0,1327,1327
2018,3732,106.0,98.0,154.0,803,803
3732,3733,14.0,2.0,25.0,2640,2640
3733,2443,37.0,18.0,39.0,2501,2501
2443,2047,21.0,16.0,34.0,2547,2547
2047,2028,69.0,63.0,81.0,1345,1345
2028,3327,45.0,39.0,55.0,810,810
3327,1995,70.0,60.0,70.0,720,720
1995,2961,51.0,51.0,51.0,359,359
2961,2960,119.0,92.0,119.0,359,359
2960,3815,60.0,57.0,60.0,500,500
3815,2040,90.0,88.0,101.0,1252,1252
2040,2042,59.0,59.0,60.0,1321,1321
2042,2043,30.0,21.0,31.0,1321,1321
2043,2438,59.0,35.0,60.0,1321,1321
2438,2439,60.0,60.0,68.0,1321,1321
2439,2882,79.0,76.0,90.0,1299,1299
40026,9181,46.0,44.0,46.0,2205,2205
9181,10515,60.0,60.0,68.0,2545,2545
10515,9730,248.0,240.0,248.0,90,90
9730,10588,86.0,86.0,86.0,12,12
10588,51564,149.0,148.0,149.0,50,50
51564,9426,111.0,111.0,111.0,12,12
9426,9904,81.0,81.0,81.0,12,12
9904,9544,153.0,153.0,153.0,12,12
9544,9339,104.0,83.0,107.0,1317,1317
9339,9539,112.0,112.0,120.0,1492,1492
9539,9748,87.0,87.0,87.0,343,343
9748,9808,33.0,21.0,33.0,595,595
9808,10108,60.0,60.0,60.0,628,628
10108,10107,111.0,111.0,111.0,343,343
10107,10473,188.0,188.0,188.0,12,12
10473,8751,180.0,180.0,180.0,70,70
8751,8752,120.0,120.0,140.0,627,627
8752,43224,236.0,225.0,236.0,159,159
43224,42608,300.0,300.0,300.0,97,97
42608,42757,24.0,24.0,24.0,101,101
42757,42758,120.0,96.0,120.0,195,195
42758,42761,70.0,70.0,97.0,195,195
42761,42760,50.0,34.0,50.0,195,195
42760,42759,77.0,77.0,93.0,195,195
42759,41453,43.0,28.0,43.0,195,195
41453,34984,48.0,48.0,48.0,97,97
34984,44538,39.0,39.0,58.0,132,132
44538,42756,41.0,21.0,42.0,266,266
42756,42752,78.0,78.0,89.0,195,195
42752,42755,86.0,86.0,91.0,195,195
42755,42754,49.0,49.0,60.0,195,195
42754,41452,110.0,110.0,115.0,195,195
41452,44539,125.0,125.0,125.0,132,132
44539,8250,182.0,182.0,185.0,261,261
8250,40905,120.0,38.0,122.0,281,281
40905,41448,59.0,56.0,60.0,580,580
41448,41449,7.0,7.0,30.0,195,195
41449,41450,53.0,52.0,53.0,195,195
41450,41451,59.0,38.0,59.0,195,195
41451,42206,20.0,20.0,42.0,195,195
42206,41860,85.0,78.0,85.0,195,195
41860,8254,76.0,62.0,76.0,195,195
8254,8255,60.0,58.0,60.0,195,195
8255,34744,60.0,60.0,60.0,195,195
34744,8258,24.0,24.0,47.0,195,195
8258,8260,36.0,30.0,36.0,195,195
8260,40904,60.0,44.0,60.0,195,195
40904,8262,83.0,83.0,83.0,152,152
8262,8263,48.0,36.0,48.0,281,281
8263,8265,14.0,14.0,14.0,97,97
8265,40902,43.0,43.0,43.0,97,97
40902,8266,3.0,3.0,3.0,97,97
8266,8267,52.0,52.0,52.0,97,97
8267,34836,9.0,9.0,9.0,97,97
34836,7993,59.0,59.0,59.0,97,97
7993,34837,32.0,32.0,32.0,97,97
34837,8270,88.0,88.0,88.0,97,97
8270,8271,55.0,55.0,60.0,195,195
8271,34776,60.0,60.0,60.0,97,97
28319,12433,59.0,40.0,59.0,294,294
12433,12411,12.0,12.0,32.0,292,292
12411,29018,22.0,22.0,48.0,449,449
29018,12432,60.0,60.0,60.0,189,189
12432,29047,29.5,28.0,43.0,870,870
29047,25822,36.0,32.0,46.0,570,570
25822,12207,28.0,28.0,56.0,449,449
12207,12208,31.0,4.0,41.0,593,593
12208,28181,19.0,19.0,54.0,456,456
28181,12243,21.0,18.0,54.0,725,725
12243,28310,74.0,66.0,77.0,704,704
28310,28209,60.0,60.0,65.0,588,588
28209,28292,41.0,38.0,54.0,922,922
28292,28307,48.0,15.0,48.0,599,599
28307,12080,34.0,34.0,34.0,97,66
12080,28294,30.0,30.0,60.0,97,97
28294,12310,103.0,103.0,103.0,355,355
12310,12126,89.0,89.0,89.0,355,355
12126,29190,88.0,69.0,89.0,211,211
29190,12128,97.0,97.0,116.0,233,233
12128,28728,219.0,219.0,219.0,59,59
28728,38984,120.0,120.0,120.0,59,59
38984,37221,319.0,319.0,319.0,59,59
37221,35608,113.0,113.0,113.0,59,59
35608,39227,528.0,528.0,528.0,59,59
39227,28217,125.0,125.0,132.0,131,131
28217,28563,120.0,120.0,145.0,313,313
28563,26782,120.0,107.0,120.0,313,313
26782,26787,60.0,60.0,66.0,297,297
26787,12247,120.0,120.0,120.0,343,343
12247,28198,60.0,60.0,60.0,59,59
28198,26803,36.0,16.0,43.0,632,632
26803,26904,58.0,58.0,60.0,495,495
26904,12736,48.0,42.0,59.0,495,495
