model,degree,nodes,probability,cumulative_probability,ccdf
barabasi_albert_matched,149,1,3.2826707809473786e-05,0.9998358664609527,0.00019696024685689206
barabasi_albert_matched,178,1,3.2826707809473786e-05,0.9998686931687621,0.00016413353904731753
barabasi_albert_matched,268,1,3.2826707809473786e-05,0.9999015198765716,0.00013130683123785403
barabasi_albert_matched,273,1,3.2826707809473786e-05,0.9999343465843811,9.848012342839052e-05
barabasi_albert_matched,284,1,3.2826707809473786e-05,0.9999671732921905,6.565341561892701e-05
barabasi_albert_matched,452,1,3.2826707809473786e-05,1.0,3.282670780946351e-05
watts_strogatz_matched,1,145,0.0047598726323736995,0.0047598726323736995,1.0
watts_strogatz_matched,2,3276,0.10754029478383613,0.11230016741620982,0.9952401273676263
watts_strogatz_matched,3,12430,0.4080359780717592,0.520336145487969,0.8876998325837901
watts_strogatz_matched,4,13549,0.44476906411056033,0.9651052095985294,0.479663854512031
watts_strogatz_matched,5,1018,0.033417588550044314,0.9985227981485737,0.03489479040147059
watts_strogatz_matched,6,44,0.0014443751436168466,0.9999671732921905,0.001477201851426302
watts_strogatz_matched,7,1,3.2826707809473786e-05,1.0,3.282670780946351e-05
