model,nodes,edges,mean_degree,std_degree,max_degree,share_degree_ge_10,isolated_nodes,hill_alpha_kmin4,ks_vs_real
real_transit,30463,51772,3.399008633424154,2.19665607330026,62,0.020155598595016904,0,3.460107467042566,0.0
erdos_renyi_gnm,30463,51772,3.399008633424154,1.8442190793831157,14,0.0022650428388536915,1021,3.8729505475742925,0.12976397597084988
configuration_degree_sequence,30463,51768,3.398746019761678,2.1962105643409338,62,0.020155598595016904,0,3.4608128922089376,9.848012342839052e-05
barabasi_albert_matched,30463,51772,3.399008633424154,6.409949453227644,452,0.04622000459573909,0,2.6352031779728815,0.24038998128877653
watts_strogatz_matched,30463,51772,3.399008633424154,0.7478876370782986,7,0.0,0,7.651732514110998,0.3344384991629189
