model,nodes,edges,node_ratio_vs_real,edge_ratio_vs_real,average_degree,max_degree,degree_std,density,connected_components,largest_component_share,average_clustering,clustering_method,transitivity,approx_average_shortest_path,approx_diameter
real_transit,30463,51772,1.0,1.0,3.399008633424154,62,2.19665607330026,0.00011158192611857902,12,0.9925811640350589,0.09681981327221764,exact,0.11132130825805016,13.844746587263527,56
erdos_renyi_gnm,30463,51772,1.0,1.0,3.399008633424154,14,1.8442190793831157,0.00011158192611857902,1075,0.9627745133440567,3.100300182005858e-05,exact,5.1134620410667815e-05,8.529597888536552,17
configuration_degree_sequence,30463,51768,1.0,0.999922738159623,3.398746019761678,62,2.1962105643409338,0.00011157330509361428,4,0.9998030397531431,0.00013341572857126976,exact,0.00013660856586303726,8.143346138691884,17
barabasi_albert_matched,30463,51772,1.0,1.0,3.399008633424154,452,6.409949453227644,0.00011158192611857902,1,1.0,0.001581512883473111,exact,0.0006399786673777541,5.753948054133018,11
watts_strogatz_matched,30463,51772,1.0,1.0,3.399008633424154,7,0.7478876370782986,0.00011158192611857902,1,1.0,0.44947406924560507,exact,0.413152402408059,25.36384983750246,54
