scenario,station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable
before_backup_links,21620,5,21592,0.9987049028677151,8,1,9124.5,0.4220592996900874,2192.5616919182607
after_backup_links,21620,2,21619,0.9999537465309898,8,1,9141.375,0.42283986308339894,2192.565183670923
