station_id,station_name,main_stop_id,main_stop_code,station_lat,station_lon,stop_count,active_stop_count,stop_use_count,member_stop_ids
25902,שד.ירושלים/שד.משה דיין,25902,11422,31.796203,34.6381785,2,2,1322,25902;26155
25904,חוף גנדי/מפקורה,25904,11424,31.798801,34.633608,1,1,340,25904
25905,אקסודוס/לילי,25905,11425,31.796232,34.6325225,2,2,682,25905;26141
25906,כיכר המפרשיות/אקסודוס,25906,11426,31.794184,34.6333685,2,2,686,25906;26004
25909,משאש/נס ציונה,26129,13114,31.7842575,34.657983,2,2,260,25909;26129
25910,ראשל''צ / דגניה,26127,13112,31.7823485,34.658511000000004,2,2,268,25910;26127
25911,שד.ראשון לציון/שפייה,26132,13117,31.781384,34.6609905,2,2,268,25911;26132
25913,רש''י/אור חיים,25913,11568,31.7851255,34.6639505,2,2,1096,25913;26135
25914,שד.רש''י/רבנו תם,25914,11569,31.786179,34.661391,1,1,567,25914
25915,הרב משאש/הרב קלישר,26272,13266,31.785539999999997,34.658669,2,2,976,25915;26272
25916,הכלנית/הנורית,26123,13108,31.784291,34.654632500000005,2,2,4023,25916;26123
25917,בני ברית/הבושם,25917,12005,31.818083,34.668257,1,1,998,25917
25918,בני ברית/האורגים,25918,12006,31.809569,34.664104,1,1,1973,25918
25919,בני ברית/מורדי הגיטאות,25919,12008,31.8044315,34.65939825,4,3,2767,25919;48018;48248;48357
25924,שבי ציון/ההסתדרות,25924,12013,31.8077445,34.647555,2,2,2784,25924;26230
25925,מרכז מסחרי רובע א'/רוגוזין,25925,12014,31.8071225,34.64407,2,2,1394,25925;26213
25926,רוגוזין/האלמוגים,25926,12015,31.803539,34.642044,1,1,1568,25926
25927,רוגוזין/חיים משה שפירא,25927,12016,31.801976500000002,34.641085000000004,2,2,2609,25927;26206
25928,קרן היסוד/חיים משה שפירא,25928,12017,31.799697,34.642673,1,1,1412,25928
25929,קרן היסוד/שדרות ירושלים,25929,12018,31.796086,34.640258,1,1,1412,25929
25934,שדרות ירושלים/הרב לוין,25934,12024,31.789007,34.657838,1,1,1755,25934
25936,שדרות ירושלים/מיכשווילי,25936,12026,31.790767,34.652369,1,1,510,25936
25938,בן גוריון/נאות אשקלון,25938,12071,31.661191,34.577653,1,1,2279,25938
25940,צומת אשקלון,25940,12073,31.659233,34.60346,1,1,1287,25940
25941,צומת ברכיה,25941,12074,31.666503,34.606749,1,1,1446,25941
25942,צומת אבא הילל סילבר/לצפון,25942,12075,31.674937,34.60944,1,1,978,25942
25944,צומת אשכולות,25944,12080,31.724781,34.636237,1,1,566,25944
25945,צומת בית עזרא,25945,12081,31.741956,34.646205,1,1,280,25945
25946,צומת אמונים,25946,12082,31.75355,34.663306,1,1,599,25946
25947,כביש 4/שדה עוזיה,25947,12083,31.761951,34.667509,1,1,684,25947
25948,צומת עד הלום,25948,12084,31.767495,34.667652,1,1,1121,25948
25950,רש''י/סאן דייגו,25950,12089,31.729245,34.7487865,2,2,2010,25950;27215
25951,ספריה עירונית/דוד בן גוריון,25951,12090,31.729281,34.745732,1,1,206,25951
25952,בריכה/בן גוריון,25952,12091,31.7307705,34.740536,2,2,438,25952;28617
25954,מרחביה/מוזיאון,25954,12096,31.734432499999997,34.722012500000005,2,2,46,25954;28616
25955,מרחביה/מועדון נוער,25955,12097,31.734533,34.715887,1,1,23,25955
