station_id,station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_nodes_loss,largest_component_share_loss,reachable_share_loss,mean_path_seconds_increase,station_name,main_stop_code,degree,weighted_degree,pagerank,approx_betweenness,is_articulation_point
12979,21622,2,21619,0.9998612524280825,8,1,8812.75,0.4076014060404237,2238.294912525366,1,6.416666087361023e-09,0.07084647112172598,41.73952064168316,ג. שמואל/ גשר הולכי רגל,21711,12,7048,8.579763440748358e-05,0.25241707807048475,False
12889,21622,2,21619,0.9998612524280825,8,1,8882.5,0.4108274362887933,2216.2172669316924,1,6.416666087361023e-09,0.06762044087335639,19.661875048009733,ת. רכבת תל אביב - סבידור/דרך נמיר,24068,63,33967,0.0002634484477537181,0.0008905028411723325,False
41132,21622,2,21619,0.9998612524280825,8,1,8910.75,0.41213403635354523,2219.5619465000223,1,6.416666087361023e-09,0.06631384080860447,23.0065546163396,מחלף חמד,640,42,10540,0.0003746371061781642,0.020319655739477766,False
1704,21622,2,21619,0.9998612524280825,8,1,8991.125,0.41585148698025076,2161.198869470152,1,6.416666087361023e-09,0.06259639018189894,-35.356522413530456,ת. רכבת בנימינה,45643,12,4269,0.0001591673215310273,0.2270088346671651,False
10754,21622,3,21618,0.9998150032374433,8,1,9186.75,0.42489940335784654,2188.8290404330583,2,4.6255607305312196e-05,0.053548473804303165,-7.726351450624406,שדרות שז''ר/בנייני האומה,4218,44,43946,0.0006436708343419761,0.03438266164682265,True
1275,21622,2,21619,0.9998612524280825,8,0,10253.875,0.47425535359141585,2197.31332099144,1,6.416666087361023e-09,0.004192523570733853,0.7579291077572634,דרך המסילה/דקל,40301,5,2108,8.050265436872748e-05,0.22200120180706615,False
1274,21622,2,21619,0.9998612524280825,8,0,10254.375,0.4742784792562787,2197.183488620617,1,6.416666087361023e-09,0.0041693979058710084,0.6280967369343671,הגיבורים/נחלת ז'בוטינסקי,40300,7,1988,8.923446185924545e-05,0.22188555208743338,False
11208,21622,3,21596,0.9987975210433817,8,0,10278.875,0.47541163683455895,2199.530155489825,24,0.0010637378013669263,0.0030362403275907557,2.97476360614246,מחלף חמד,638,52,11044,0.00013579306731142251,0.0514872551805094,True
1358,21622,3,21618,0.9998150032374433,8,0,10297.125,0.47625572360205365,2193.8899435766657,2,4.6255607305312196e-05,0.002192153560096055,-2.665448307016959,דרך אהרון/דרך שרה,40402,17,3150,0.00018675408082936612,0.040708701310735194,True
9553,21622,2,21619,0.9998612524280825,8,0,10336.875,0.4780942139586513,2199.138071510493,1,6.416666087361023e-09,0.00035366320349838887,2.5826796268102044,גשר המיתרים/שד' הרצל,4216,36,29290,0.00031738375428218345,0.009506406953813731,False
37360,21622,2,21619,0.9998612524280825,8,0,10338.375,0.47816359095323996,2198.7892113312905,1,6.416666087361023e-09,0.0002842862089097453,2.233819447607857,תא אוניברסיטה,17036,4,1344,3.7950168591588045e-05,0.16896424038347763,False
51148,21622,3,21608,0.9993525113310517,8,0,10339.75,0.4782271865316127,2196.2248160707645,12,0.0005087475136968944,0.00022069063053697935,-0.3305758129181413,רבי מאיר מפרימישלן/הרב מירב,61536,15,1526,0.0001030463211506609,0.00050885876638419,True
12975,21622,3,21618,0.9998150032374433,8,0,10340.0,0.4782387493640442,2197.002356786156,2,4.6255607305312196e-05,0.00020912779810550175,0.44696490247315523,מחלף לה גווארדייה,21274,37,9074,0.00014710550702212133,0.06869593346186564,True
22615,21622,3,21615,0.9996762556655259,8,0,10341.25,0.47829656352620137,2196.6118934974065,5,0.00018500317922276466,0.0001513136359483358,0.056501613723867194,יסודות/מזכירות,35690,17,509,5.261524894047735e-05,0.0001850395514124327,True
12932,21622,2,21619,0.9998612524280825,8,0,10343.0,0.47837750335322143,2196.587350991623,1,6.416666087361023e-09,7.037380892827017e-05,0.031959107940565445,ת.רק''ל יהודית/דרך מנחם בגין,20727,15,31436,0.00017781560073188172,0.08400795634124444,False
13103,21622,2,21619,0.9998612524280825,8,0,10343.125,0.4783832847694371,2196.881165613988,1,6.416666087361023e-09,6.459239271261463e-05,0.32577373030517265,קניון עזריאלי/דרך מנחם בגין,21472,28,32090,0.0002230761938434369,0.02637970104823494,False
9046,21622,2,21619,0.9998612524280825,8,0,10343.375,0.4783948476018685,2196.978702710406,1,6.416666087361023e-09,5.3029560281192545e-05,0.4233108267235366,ויצמן/גבעת שאול,645,42,18488,0.00030594337291352984,0.0049035481124294665,False
27498,21622,3,21618,0.9998150032374433,8,0,10343.5,0.4784006290180842,2196.421119787304,2,4.6255607305312196e-05,4.72481440654815e-05,-0.13427209637848136,שד. מלכי ישראל/שד. צה''ל,15180,16,5456,0.00015986021585126384,4.625988785310818e-05,True
12038,21622,2,21619,0.9998612524280825,8,0,10343.5,0.4784006290180843,2197.3386910080953,1,6.416666087361023e-09,4.724814406542599e-05,0.7832991244126788,מסוף קסטינה-מלאכי לדרום,10138,28,6551,0.00032714556641224056,0.0007285932336864538,False
12904,21622,2,21619,0.9998612524280825,8,0,10343.875,0.4784179732667314,2196.760332856101,1,6.416666087361023e-09,2.990389541829286e-05,0.20494097241817144,ת.רק''ל אלנבי/יהודה הלוי,20005,13,13764,0.00010383804036197048,0.17704815578580826,False
9652,21622,2,21619,0.9998612524280825,8,0,10344.0,0.4784237546829471,2197.228801665993,1,6.416666087361023e-09,2.4122479202581815e-05,0.6734097823105003,תחנת רכבת קלה גבעת התחמושת,6101,21,25352,0.00029349790725241473,0.0009830226168785487,False
332,21622,2,21619,0.9998612524280825,8,0,10344.125,0.47842953609916283,2197.115768857105,1,6.416666087361023e-09,1.834106298687077e-05,0.5603769734225352,הרצל/עולי הגרדום,39247,12,15374,0.00029300792186309505,0.01608687600091837,False
12910,21622,2,21619,0.9998612524280825,8,0,10344.125,0.4784295360991629,2196.604529336005,1,6.416666087361023e-09,1.834106298681526e-05,0.049137452322156605,דרך נמיר/יהודה המכבי,21188,15,30464,0.0002666281585308713,0.0002891242990819261,False
13089,21622,2,21619,0.9998612524280825,8,0,10344.125,0.4784295360991629,2196.6432933149113,1,6.416666087361023e-09,1.834106298681526e-05,0.08790143122860172,מגדל שלום/אחד העם,21451,7,13410,0.00012322960199221225,0.17686311623439585,False
