strategy,removed_stations,station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_share_loss,reachable_share_loss
weighted_degree,0,21623.0,2.0,21620.0,0.9998612588447486,8.0,0.0,10345.0,0.4784478771621497,2196.5553918836827,0.0,0.0
weighted_degree,7,21616.0,3.0,21612.0,0.9998149518874907,8.0,2.0,7721.625,0.35723455933379594,2211.6434922466306,4.6306957257935544e-05,0.12121331782835376
weighted_degree,13,21610.0,3.0,21606.0,0.9998149005090236,8.0,2.0,7718.125,0.3571717802767366,2213.00322745088,4.6358335725082966e-05,0.12127609688541313
weighted_degree,20,21603.0,3.0,21599.0,0.9998148405314077,8.0,2.0,7714.25,0.3571081381353578,2213.8092527040076,4.641831334095681e-05,0.1213397390267919
pagerank,0,21623.0,2.0,21620.0,0.9998612588447486,8.0,0.0,10345.0,0.4784478771621497,2196.5553918836827,0.0,0.0
pagerank,7,21616.0,3.0,21612.0,0.9998149518874907,8.0,2.0,7708.25,0.3566157760814249,2213.36508804753,4.6306957257935544e-05,0.12183210108072479
pagerank,13,21610.0,3.0,21606.0,0.9998149005090236,8.0,3.0,6261.875,0.2897808783377297,2244.3531658616166,4.6358335725082966e-05,0.18866699882442
pagerank,20,21603.0,4.0,21594.0,0.9995833911956673,8.0,3.0,6250.375,0.2893424219979632,2243.553979486557,0.00027786764908133144,0.18910545516418653
approx_betweenness,0,21623.0,2.0,21620.0,0.9998612588447486,8.0,0.0,10345.0,0.4784478771621497,2196.5553918836827,0.0,0.0
approx_betweenness,7,21616.0,4.0,21611.0,0.9997686898593634,8.0,2.0,7460.75,0.3451653944020356,2204.372357936123,9.256898538523295e-05,0.13328248276011412
approx_betweenness,13,21610.0,4.0,21605.0,0.9997686256362796,8.0,2.0,7396.75,0.34229950483594795,2198.2116835438437,9.263320846908396e-05,0.13614837232620175
approx_betweenness,20,21603.0,4.0,21598.0,0.9997685506642596,8.0,2.0,7380.5,0.3416581797981668,2199.8948089780356,9.270818048900953e-05,0.1367896973639829
articulation_degree,0,21623.0,2.0,21620.0,0.9998612588447486,8.0,0.0,10345.0,0.4784478771621497,2196.5553918836827,0.0,0.0
articulation_degree,7,21616.0,11.0,21568.0,0.997779422649889,8.0,1.0,9072.25,0.41972010178117053,2189.41887373794,0.0020818361948596875,0.058727775380979175
articulation_degree,13,21610.0,17.0,21531.0,0.9963442850532161,8.0,1.0,9055.25,0.4190499328983295,2189.2832828273854,0.003516973791532485,0.059397944263820224
articulation_degree,20,21603.0,24.0,21493.0,0.9949081146137111,8.0,1.0,9033.25,0.4181672993241367,2189.199389357515,0.004953144231037543,0.060280577838012994
random_mean,0,21623.0,2.0,21620.0,0.9998612588447486,8.0,0.0,10345.0,0.4784478771621497,2196.5553918836827,0.0,0.0
random_mean,7,21616.0,2.0,21613.0,0.9998612139156181,8.0,0.0,10328.75,0.4778510293777469,2196.67069363707,4.4929130527116e-08,0.0005968477844027764
random_mean,13,21610.0,2.0,21607.0,0.9998611753817677,8.0,0.0,10337.5,0.47838863436531076,2197.2828702663246,8.346298097094973e-08,5.924279683894307e-05
random_mean,20,21603.0,3.0,21596.0,0.9996759709299634,8.0,0.0,10335.25,0.47843949634293126,2196.8107937129685,0.000185287914785226,8.380819218445357e-06
