step,source_station_id,target_station_id,source_station_name,target_station_name,distance_meters,walking_seconds,source_component_size,target_component_size,connectivity_benefit_score
1,11217,11206,מסעף בית נקופה,מסעף אבו-גוש,203.38323601000013,169.48603000833344,23,21592,23
2,51041,14794,בית עלמין צבאי/פרדס משותף,בית ספר ישורון/קלאוזנר,184.2359999303552,153.52999994196267,21615,3,3
3,42299,42300,היכל המשפט/שדרות הנשיא השישי,היכל המשפט/אבא אבן,95.59213739272754,79.66011449393962,1,21618,1
