strategy,removed,surviving_nodes,lcc_size,lcc_share_original,lcc_share_surviving
pagerank,2538,27925,23633.0,0.77579,0.8463
pagerank,2615,27848,23351.0,0.76654,0.83852
pagerank,2692,27771,23112.0,0.75869,0.83224
pagerank,2769,27694,22932.0,0.75278,0.82805
pagerank,2846,27617,22743.0,0.74658,0.82351
pagerank,2923,27540,22134.0,0.72659,0.8037
pagerank,3000,27463,21801.0,0.71566,0.79383
betweenness,0,30463,30237.0,0.99258,0.99258
betweenness,10,30453,30204.0,0.9915,0.99182
betweenness,25,30438,30186.0,0.99091,0.99172
betweenness,50,30413,30150.0,0.98973,0.99135
betweenness,77,30386,30122.0,0.98881,0.99131
betweenness,100,30363,30096.0,0.98795,0.99121
betweenness,154,30309,30034.0,0.98592,0.99093
betweenness,231,30232,29944.0,0.98296,0.99047
betweenness,308,30155,29814.0,0.9787,0.98869
betweenness,385,30078,29711.0,0.97531,0.9878
betweenness,462,30001,29617.0,0.97223,0.9872
betweenness,538,29925,29521.0,0.96908,0.9865
betweenness,615,29848,29357.0,0.96369,0.98355
betweenness,692,29771,29110.0,0.95559,0.9778
betweenness,769,29694,28897.0,0.94859,0.97316
betweenness,846,29617,28806.0,0.94561,0.97262
betweenness,923,29540,28665.0,0.94098,0.97038
betweenness,1000,29463,28572.0,0.93792,0.96976
betweenness,1077,29386,28499.0,0.93553,0.96982
betweenness,1154,29309,28415.0,0.93277,0.9695
betweenness,1231,29232,28276.0,0.92821,0.9673
betweenness,1308,29155,27988.0,0.91875,0.95997
betweenness,1385,29078,27586.0,0.90556,0.94869
betweenness,1462,29001,27490.0,0.90241,0.9479
betweenness,1538,28925,27262.0,0.89492,0.94251
betweenness,1615,28848,27136.0,0.89079,0.94065
betweenness,1692,28771,26917.0,0.8836,0.93556
betweenness,1769,28694,26829.0,0.88071,0.935
betweenness,1846,28617,26576.0,0.8724,0.92868
betweenness,1923,28540,25504.0,0.83721,0.89362
betweenness,2000,28463,25412.0,0.83419,0.89281
betweenness,2077,28386,17218.0,0.56521,0.60657
betweenness,2154,28309,17106.0,0.56153,0.60426
betweenness,2231,28232,17008.0,0.55832,0.60244
betweenness,2308,28155,14761.0,0.48456,0.52428
betweenness,2385,28078,14658.0,0.48117,0.52205
betweenness,2462,28001,13574.0,0.44559,0.48477
betweenness,2538,27925,13076.0,0.42924,0.46825
betweenness,2615,27848,12957.0,0.42534,0.46528
betweenness,2692,27771,12924.0,0.42425,0.46538
betweenness,2769,27694,12820.0,0.42084,0.46292
betweenness,2846,27617,12355.0,0.40557,0.44737
betweenness,2923,27540,12246.0,0.402,0.44466
betweenness,3000,27463,9346.0,0.3068,0.34031
articulation points,0,30463,30237.0,0.99258,0.99258
articulation points,10,30453,30190.0,0.99104,0.99136
articulation points,25,30438,30123.0,0.98884,0.98965
articulation points,50,30413,30037.0,0.98602,0.98764
articulation points,77,30386,29957.0,0.98339,0.98588
articulation points,100,30363,29879.0,0.98083,0.98406
articulation points,154,30309,29687.0,0.97453,0.97948
articulation points,231,30232,29364.0,0.96392,0.97129
articulation points,308,30155,28976.0,0.95119,0.9609
articulation points,385,30078,28696.0,0.942,0.95405
articulation points,462,30001,28527.0,0.93645,0.95087
articulation points,538,29925,28527.0,0.93645,0.95328
articulation points,615,29848,28527.0,0.93645,0.95574
articulation points,692,29771,28527.0,0.93645,0.95821
articulation points,769,29694,28527.0,0.93645,0.9607
articulation points,846,29617,28527.0,0.93645,0.9632
articulation points,923,29540,28493.0,0.93533,0.96456
articulation points,1000,29463,28381.0,0.93165,0.96328
articulation points,1077,29386,28219.0,0.92634,0.96029
articulation points,1154,29309,27897.0,0.91577,0.95182
articulation points,1231,29232,27797.0,0.91248,0.95091
articulation points,1308,29155,27705.0,0.90946,0.95027
articulation points,1385,29078,27597.0,0.90592,0.94907
articulation points,1462,29001,27489.0,0.90237,0.94786
articulation points,1538,28925,27399.0,0.89942,0.94724
articulation points,1615,28848,27077.0,0.88885,0.93861
articulation points,1692,28771,26780.0,0.8791,0.9308
articulation points,1769,28694,26557.0,0.87178,0.92552
articulation points,1846,28617,26455.0,0.86843,0.92445
articulation points,1923,28540,26250.0,0.8617,0.91976
articulation points,2000,28463,26124.0,0.85756,0.91782
articulation points,2077,28386,25870.0,0.84923,0.91136
articulation points,2154,28309,23664.0,0.77681,0.83592
articulation points,2231,28232,23524.0,0.77222,0.83324
articulation points,2308,28155,23249.0,0.76319,0.82575
articulation points,2385,28078,22854.0,0.75022,0.81395
articulation points,2462,28001,22724.0,0.74595,0.81154
articulation points,2538,27925,22393.0,0.73509,0.8019
articulation points,2615,27848,21513.0,0.7062,0.77252
articulation points,2692,27771,21207.0,0.69616,0.76364
articulation points,2769,27694,20105.0,0.65998,0.72597
articulation points,2846,27617,19673.0,0.6458,0.71235
articulation points,2923,27540,19654.0,0.64518,0.71365
articulation points,3000,27463,11268.0,0.36989,0.4103
random (baseline),0,30463,30237.0,0.99258,0.99258
random (baseline),10,30453,30226.2,0.99223,0.99255
random (baseline),25,30438,30209.8,0.99169,0.9925
random (baseline),50,30413,30180.2,0.99072,0.99235
random (baseline),77,30386,30152.4,0.9898,0.99231
random (baseline),100,30363,30127.6,0.98899,0.99225
random (baseline),154,30309,30071.2,0.98714,0.99215
random (baseline),231,30232,29985.8,0.98434,0.99186
random (baseline),308,30155,29903.6,0.98164,0.99166
random (baseline),385,30078,29803.6,0.97835,0.99088
random (baseline),462,30001,29705.0,0.97512,0.99013
random (baseline),538,29925,29612.0,0.97206,0.98954
random (baseline),615,29848,29525.6,0.96923,0.9892
random (baseline),692,29771,29433.4,0.9662,0.98866
random (baseline),769,29694,29338.0,0.96307,0.98801
random (baseline),846,29617,29247.0,0.96008,0.98751
random (baseline),923,29540,29143.4,0.95668,0.98657
random (baseline),1000,29463,29033.2,0.95306,0.98541
random (baseline),1077,29386,28927.0,0.94958,0.98438
random (baseline),1154,29309,28805.0,0.94557,0.9828
random (baseline),1231,29232,28694.2,0.94194,0.9816
random (baseline),1308,29155,28590.2,0.93852,0.98063
random (baseline),1385,29078,28470.4,0.93459,0.9791
random (baseline),1462,29001,28357.2,0.93087,0.9778
random (baseline),1538,28925,28255.2,0.92753,0.97684
random (baseline),1615,28848,28150.8,0.9241,0.97583
random (baseline),1692,28771,28055.4,0.92097,0.97513
random (baseline),1769,28694,27944.2,0.91732,0.97387
random (baseline),1846,28617,27839.6,0.91388,0.97283
random (baseline),1923,28540,27728.0,0.91022,0.97155
random (baseline),2000,28463,27616.6,0.90656,0.97026
random (baseline),2077,28386,27507.8,0.90299,0.96906
random (baseline),2154,28309,27378.0,0.89873,0.96711
random (baseline),2231,28232,27266.2,0.89506,0.96579
random (baseline),2308,28155,27160.6,0.89159,0.96468
random (baseline),2385,28078,27051.8,0.88802,0.96345
random (baseline),2462,28001,26936.6,0.88424,0.96199
random (baseline),2538,27925,26813.0,0.88018,0.96018
random (baseline),2615,27848,26692.2,0.87622,0.9585
random (baseline),2692,27771,26569.0,0.87217,0.95672
random (baseline),2769,27694,26440.2,0.86794,0.95473
random (baseline),2846,27617,26307.8,0.8636,0.95259
random (baseline),2923,27540,26192.8,0.85982,0.95108
random (baseline),3000,27463,26066.0,0.85566,0.94913
