stop_id,stop_name,own_community,own_community_label,connected_communities,crossing_edges,crossing_weight,degree,weighted_degree,crossing_weight_share,lat,lon,region,metro
25399,צומת בני דרום,6,Periphery / Center,3,3,230,5,456,0.5044,31.822023,34.706642,Center,Periphery
15993,מחלף ראש העין דרום לדרום,25,Tel Aviv / Center,3,6,222,11,928,0.2392,32.082903,34.950875,Center,Tel Aviv
29383,מחלף גלילות/דרך נמיר,24,Tel Aviv / Center,3,4,220,10,3206,0.0686,32.140196,34.800766,Center,Tel Aviv
5892,צומת מזאריב,5,Periphery / North,3,3,220,5,440,0.5,32.711514,35.211885,North,Haifa
16542,ככר המשוררים,35,Tel Aviv / Center,3,3,216,7,1970,0.1096,32.087423,34.954011,Center,Tel Aviv
18818,מסעף כאבול,33,Haifa / North,3,4,215,6,322,0.6677,32.877406,35.177806,North,Haifa
2673,צומת זבולון,34,Haifa / North,3,3,214,7,822,0.2603,32.767894,35.101237,North,Haifa
742,מחלף ירקון,17,Tel Aviv / Center,3,6,214,12,2174,0.0984,32.120694,34.904657,Center,Tel Aviv
28294,מסעף דימונה/פרץ סנטר,43,Periphery / South,3,5,211,14,1510,0.1397,31.062378,35.0192,South,Periphery
2092,טרומפלדור/כיכר דוד,32,Haifa / North,3,3,210,9,8086,0.026,32.784852,35.017412,North,Haifa
24535,מרכז הוד השרון/דרך רמתיים,10,Tel Aviv / Center,3,4,210,14,2440,0.0861,32.154639,34.894508,Center,Tel Aviv
24713,ת. רכבת מודיעין מרכז,36,Tel Aviv / Center,3,4,200,15,2981,0.0671,31.901335,35.004985,Center,Tel Aviv
18831,צומת יבור,33,Haifa / North,3,3,200,4,308,0.6494,32.892355,35.181933,North,Haifa
1569,צומת חריש לצפון,23,Periphery / Center,3,4,195,10,1460,0.1336,32.472127,35.020284,Center,Periphery
48342,מסוף רעננה/רציפים,10,Tel Aviv / Center,3,6,192,10,582,0.3299,32.175565,34.890269,Center,Tel Aviv
1766,מסעף שפרעם צפון,33,Haifa / North,3,3,186,5,554,0.3357,32.821535,35.149518,North,Haifa
27805,צומת אבן שמואל,6,Periphery / Center,3,3,183,12,1190,0.1538,31.573779,34.759109,Center,Periphery
25299,צומת עינת לדרום/כביש 444,17,Tel Aviv / Center,3,4,177,6,354,0.5,32.089444,34.944143,Center,Tel Aviv
