stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic
45049,כביש עוקף דרום/דרך הכפר,מרכז,פריפריה,32.379988,34.882002,3,8.6e-05,3,3,2.561e-05,0.0,0.0
45050,כביש 5720/דרך האי,מרכז,פריפריה,32.380323,34.882731,1,2.9e-05,1,1,2.045e-05,0.0,0.0
45051,מסוף כרמלית/הורדה,מרכז,תל אביב,32.067287,34.765823,40,0.001145,40,40,3.033e-05,0.00016438,382.319
46204,אל נג'אח/מרכז אלטפל,מרכז,תל אביב,32.262163,35.002068,16,0.000458,16,16,3.608e-05,0.0,0.0
46206,ז'בוטינסקי/דוד המלך,ירושלים,ירושלים,31.77123,35.2223,23,0.000658,23,23,3.811e-05,0.0,0.0
46215,בלאל בן רבאח/מחמוד דרוויש,מרכז,תל אביב,32.27505,35.005526,18,0.000515,18,18,2.991e-05,0.0,0.0
46217,ג'לבון/סער,צפון,פריפריה,33.227904,35.587512,7,0.0002,7,7,2.587e-05,0.0,0.0
46226,אלאנדלס ג,מרכז,תל אביב,32.280069,34.974491,9,0.000258,9,9,3.006e-05,0.0,0.0
46229,וייצמן/יטקובסקי אחים,מרכז,תל אביב,32.077627,34.872948,21,0.000601,21,21,4.309e-05,0.00802802,325.6587
46230,כ''ב ילדי מעלות/הרבי מלובאוויטש,צפון,פריפריה,32.96796,35.499112,35,0.001002,35,35,3.184e-05,0.0,0.0
46232,בצלאל בזק/זלמן שניאור,ירושלים,ירושלים,31.766771,35.202873,19,0.000544,19,19,3.176e-05,0.0,0.0
46239,חיים וייצמן/חיים הרצוג,צפון,פריפריה,32.67093,35.232627,17,0.000487,17,17,2.546e-05,0.0,0.0
46240,שדרות הרצל/הגדוד העברי,מרכז,תל אביב,31.927486,34.872742,26,0.000744,26,26,2.513e-05,0.00128746,191.572
46241,אל על/אורן,צפון,פריפריה,33.222281,35.588675,14,0.000401,14,14,3.175e-05,0.0,0.0
46244,הרב רחמים חי חויתה כהן/הרב מן ההר,ירושלים,ירושלים,31.723158,35.226555,35,0.001002,35,35,3.998e-05,0.0,0.0
46246,מכללת עמל/הבנקים,מרכז,תל אביב,32.269806,35.005858,23,0.000658,23,23,3.241e-05,0.0,0.0
46251,אלרויס/אל דריגאת,צפון,חיפה,32.864934,35.175458,3,8.6e-05,3,3,3.237e-05,0.0,0.0
46253,בי''ס אבן רושד,מרכז,תל אביב,32.268526,35.009868,14,0.000401,14,14,3.096e-05,0.0,0.0
46254,גן טכנולוגי/א''''ס הפועל,ירושלים,ירושלים,31.749363,35.18528,32,0.000916,32,32,4.98e-05,0.0,0.0
46257,מרכז ביג/חיל ההנדסה,דרום,באר שבע,31.244444,34.811804,8,0.000229,8,8,3.036e-05,0.0,0.0
46260,חיים וייצמן/יצחק בן צבי,צפון,פריפריה,32.670027,35.234019,14,0.000401,14,14,2.6e-05,0.0,0.0
46270,תיכון עתיד טייבה,מרכז,תל אביב,32.271733,35.001152,15,0.000429,15,15,2.111e-05,0.0,0.0
46272,שלמה אבן עזרא/הצבר,מרכז,תל אביב,32.07796,34.900433,21,0.000601,21,21,2.352e-05,0.00042438,277.7493
46281,בית המדרש סאטמאר/הרב ישראל גרוסמן,ירושלים,פריפריה,31.719591,34.983942,19,0.000544,19,19,3.186e-05,0.0,0.0
46285,צומת ניר אליהו,מרכז,תל אביב,32.192159,34.952656,1,2.9e-05,1,1,2.895e-05,0.0,0.0
46286,נחום/יחזקאל בן בוזי,מרכז,תל אביב,32.300195,34.856763,20,0.000573,20,20,3.227e-05,0.0,0.0
46288,הרב רפאל ברוך טולדנו א,ירושלים,ירושלים,31.80715,35.219812,30,0.000859,30,30,2.707e-05,0.0,0.0
46293,נחל קדרון/נחל פרת,דרום,באר שבע,31.229869,34.823072,21,0.000601,21,21,3.612e-05,0.0,0.0
46303,הרב רחמים חי חויתה כהן/הרב מן ההר,ירושלים,ירושלים,31.723391,35.226701,36,0.001031,36,36,4.199e-05,0.0,0.0
46310,עיון/שני,צפון,פריפריה,33.227257,35.588974,8,0.000229,8,8,2.388e-05,0.0,0.0
46314,אבן סינא,מרכז,תל אביב,32.282918,34.968183,3,8.6e-05,3,3,1.412e-05,0.0,0.0
46319,שדרות פנחס ספיר/שדרות הפלמ''ח,צפון,חיפה,32.854175,35.066376,10,0.000286,10,10,1.698e-05,0.0,0.0
46320,שדרות ששת הימים/חיים לבב,צפון,פריפריה,33.018526,35.112982,17,0.000487,17,17,2.687e-05,0.0,0.0
46322,חיים הרצוג/בית''ר,צפון,פריפריה,32.671573,35.231327,16,0.000458,16,16,2.051e-05,0.0,0.0
46329,יטקובסקי אחים/וייצמן,מרכז,תל אביב,32.077763,34.873246,22,0.00063,22,22,4.322e-05,0.00814147,326.3254
46339,אומץ/כניסה,מרכז,פריפריה,32.363379,34.989896,3,8.6e-05,3,3,4.037e-05,0.0,0.0
46344,אלבלדיה/סמיח אלקסם,מרכז,תל אביב,32.264864,35.002448,14,0.000401,14,14,3.405e-05,0.0,0.0
46347,יטקובסקי אחים/לוחמי הגטו,מרכז,תל אביב,32.077789,34.875464,23,0.000658,23,23,3.774e-05,0.00466545,325.5707
46348,יצחק בן צבי/חיים וייצמן,צפון,פריפריה,32.669513,35.233521,12,0.000344,12,12,2.094e-05,0.0,0.0
46350,אהרון מסקין/יטקובסקי אחים,מרכז,תל אביב,32.077584,34.875622,24,0.000687,24,24,3.7e-05,0.00723883,327.608
46357,האופק/בורנשטיין,דרום,פריפריה,30.988837,34.915082,16,0.000458,16,16,3.408e-05,0.0,0.0
46367,יצחק שמיר/התעשייה,צפון,פריפריה,32.637244,35.334318,18,0.000515,18,18,3.229e-05,0.0,0.0
46371,בי''ס אבן רושד,מרכז,תל אביב,32.268514,35.010312,14,0.000401,14,14,3.447e-05,0.0,0.0
46373,תאטרון ירושלים/דובנוב,ירושלים,ירושלים,31.768147,35.216734,17,0.000487,17,17,2.472e-05,0.0,0.0
46377,מחלף יפתחאל/יציאה לכביש 784,צפון,חיפה,32.767802,35.228595,7,0.0002,7,7,1.815e-05,0.0,0.0
46380,הרב יעקוב אדלשטיין,ירושלים,פריפריה,31.719524,34.982039,18,0.000515,18,18,3.53e-05,0.0,0.0
46387,דרך חיים ע.קוליץ/האביבית,ירושלים,ירושלים,31.752291,35.166607,30,0.000859,30,30,2.731e-05,0.0,0.0
46396,יצחק שמיר/שיבת ציון,צפון,פריפריה,32.638326,35.327822,10,0.000286,10,10,2.079e-05,0.0,0.0
46399,מחלף יפתחאל,צפון,חיפה,32.76858,35.226465,7,0.0002,7,7,2.928e-05,0.0,0.0
46408,וייצמן/היבנר,מרכז,תל אביב,32.080212,34.87304,20,0.000573,20,20,2.835e-05,0.00095639,324.4131
46414,ארגמן/ירמיהו,ירושלים,ירושלים,31.792389,35.20573,90,0.002577,90,90,3.338e-05,0.0,0.0
46419,אשר וינר/לייב יפה,ירושלים,ירושלים,31.741768,35.220944,19,0.000544,19,19,2.473e-05,0.0,0.0
46420,וייצמן/אלקלעי,מרכז,תל אביב,32.171518,34.923847,18,0.000515,18,18,4.989e-05,0.0,0.0
46424,חסן מוסא/אבו בכר אלצדיק,מרכז,תל אביב,32.271481,35.007385,29,0.00083,29,29,3.181e-05,0.0,0.0
46425,קניון סירקין/אליעזר פרידמן,מרכז,תל אביב,32.08007,34.901936,20,0.000573,20,20,3.525e-05,0.00051319,275.6964
46427,ח'אלד אבן אלואליד/אלרוק,מרכז,פריפריה,32.274232,35.013308,12,0.000344,12,12,2.101e-05,0.0,0.0
46429,שדרות ורדימן/יצחק שדה,דרום,פריפריה,30.988434,34.935944,17,0.000487,17,17,2.348e-05,0.0,0.0
46430,רבקה/דרך בית לחם,ירושלים,ירושלים,31.75426,35.219131,24,0.000687,24,24,4.766e-05,0.0,0.0
46432,חוף סוסיתא לצפון,צפון,פריפריה,32.785567,35.641711,4,0.000115,4,4,3.842e-05,0.0,0.0
46433,מכללת עמל/חסן מוסא,מרכז,תל אביב,32.270564,35.005841,21,0.000601,21,21,2.975e-05,0.0,0.0
46443,שלום עליכם/קרן היסוד,ירושלים,ירושלים,31.772107,35.2214,24,0.000687,24,24,3.766e-05,0.0,0.0
46445,אלעלם ולאימאן/אלקאדסיה,מרכז,תל אביב,32.260585,35.003109,16,0.000458,16,16,3.469e-05,0.0,0.0
46451,דרך המיתרים/צדף,מרכז,פריפריה,31.700911,34.613225,2,5.7e-05,2,2,2.787e-05,0.0,0.0
46457,אורן/בזלת,צפון,פריפריה,33.225731,35.585766,12,0.000344,12,12,2.551e-05,0.0,0.0
46460,רחמים נאהורי/תורה ועבודה,ירושלים,ירושלים,31.766099,35.181773,28,0.000802,28,28,2.401e-05,0.0,0.0
46470,צומת 716/717,צפון,פריפריה,32.57923,35.398765,2,5.7e-05,2,2,2.706e-05,0.0,0.0
46476,דרך מנחם בגין/דרך הרב שלום איפרגן,דרום,פריפריה,31.518376,34.590693,23,0.000658,23,23,2.591e-05,0.0,0.0
46479,גבע/הצנחנים,מרכז,תל אביב,32.324041,34.862481,41,0.001174,41,41,2.912e-05,0.0,0.0
46481,תל חי/שדרות הרצל,מרכז,תל אביב,31.925048,34.878055,27,0.000773,27,27,2.423e-05,0.00020951,187.4567
46486,לוחמי הגטו/יטקובסקי אחים,מרכז,תל אביב,32.078038,34.875829,23,0.000658,23,23,3.244e-05,0.00466545,325.5707
46490,הרב שך ב,ירושלים,ירושלים,31.815038,35.213378,16,0.000458,16,16,1.916e-05,0.0,0.0
46494,נחל קדרון/נחל פרת,דרום,באר שבע,31.230142,34.822218,19,0.000544,19,19,3.452e-05,0.0,0.0
46495,בי''ס טכנולוגי עמל,מרכז,תל אביב,32.270078,35.012077,18,0.000515,18,18,2.816e-05,0.0,0.0
46504,הגיא,צפון,חיפה,32.636751,35.075615,15,0.000429,15,15,2.751e-05,0.0,0.0
46505,חוף הזהב/רוטשילד,מרכז,פריפריה,32.482894,34.89355,1,2.9e-05,1,1,2.895e-05,0.0,0.0
46506,יצחק בן צבי/חיים וייצמן,צפון,פריפריה,32.669678,35.234448,13,0.000372,13,13,2.359e-05,0.0,0.0
46507,ג'לבון/סער,צפון,פריפריה,33.228006,35.586492,7,0.0002,7,7,2.623e-05,0.0,0.0
46509,חיים הרצוג/ניל''י,צפון,פריפריה,32.671366,35.230281,14,0.000401,14,14,1.586e-05,0.0,0.0
46513,שלמה אבן עזרא/הצבר,מרכז,תל אביב,32.077708,34.901536,22,0.00063,22,22,2.429e-05,0.00025243,273.9035
46514,מחלף יפתחאל/784,צפון,חיפה,32.768535,35.227262,7,0.0002,7,7,2.657e-05,0.0,0.0
46517,רבי יהודה הנשיא/רימונים,צפון,פריפריה,32.741805,35.277593,4,0.000115,4,4,2.186e-05,0.0,0.0
46520,הצנחנים/יוספטל,מרכז,תל אביב,31.944458,34.877613,25,0.000716,25,25,2.669e-05,0.01156671,198.0411
46525,עבד אלרחים מחמוד/בלאל בן רבאח,מרכז,תל אביב,32.274005,35.005707,23,0.000658,23,23,3.246e-05,0.0,0.0
46526,הרב ראפל ברוך טולדנו,ירושלים,ירושלים,31.806695,35.222346,25,0.000716,25,25,2.03e-05,0.0,0.0
46528,הבנקים/מכללת עמל,מרכז,תל אביב,32.269578,35.005018,20,0.000573,20,20,3.773e-05,0.0,0.0
