stop_id,stop_name,region,metro,lat,lon,degree,degree_centrality,in_degree,out_degree,pagerank,betweenness,harmonic,nearest_alt_m
17303,ת.התרעננות/דור אלון מגל 6,מרכז,פריפריה,32.380891,35.017969,16,0.000525,9,7,9.66e-06,0.10626263,4581.0306,71.89415348165318
41133,מחלף חמד,ירושלים,ירושלים,31.801002,35.12454,62,0.002035,25,37,0.00012536,0.08074954,4733.7566,69.03741491051251
41132,מחלף חמד,ירושלים,ירושלים,31.80033,35.126238,44,0.001444,32,12,0.00039912,0.08072416,4681.0911,93.91560823604094
27689,מחלף קמה לצפון,דרום,באר שבע,31.442254,34.766984,24,0.000788,10,14,9.228e-05,0.07324505,4582.2913,32.2292242292436
7562,שדרות בית הלל/כניסה לעיר,מרכז,תל אביב,31.936583,35.035446,29,0.000952,24,5,8.232e-05,0.06568018,4556.8953,102.09919333128656
7444,דרך האר''י/ כביש 375,ירושלים,ירושלים,31.704533,35.126243,29,0.000952,7,22,5.632e-05,0.06456275,4421.8011,116.31940132218303
9048,בן גוריון/שערי ירושלים,ירושלים,ירושלים,31.791535,35.196465,41,0.001346,18,23,8.513e-05,0.05528422,4604.5665,58.158276408650615
4132,צומת כפר קרע,מרכז,פריפריה,32.496878,35.062384,14,0.00046,5,9,9.856e-05,0.04307605,4319.2067,140.37136901206733
748,מחלף קסם,מרכז,תל אביב,32.119458,34.93836,19,0.000624,12,7,5.947e-05,0.04284379,4362.7277,131.7164220436182
13274,מחלף גבעת שמואל/כביש 4,מרכז,תל אביב,32.074823,34.843553,24,0.000788,6,18,9.292e-05,0.03976986,4549.2843,100.39420540048594
29243,תחנת התרעננות/פונדק בית קמה,דרום,באר שבע,31.442304,34.764124,19,0.000624,10,9,2.656e-05,0.03951961,4372.7928,72.16383995379739
23418,רבי יהודה הנשיא/כניסה לעיר,מרכז,תל אביב,32.052593,34.944195,24,0.000788,22,2,4.685e-05,0.03743714,4515.0161,89.44844081593996
18691,צומת ראש פינה,צפון,פריפריה,32.968266,35.551334,13,0.000427,7,6,0.00011255,0.03501475,3954.428,84.77803391523395
39133,מחלף קמה לדרום,דרום,באר שבע,31.442307,34.767318,19,0.000624,8,11,5.555e-05,0.03475731,4253.8239,32.2292242292436
42430,ת.התרעננות/דור אלון מגל כביש 6,מרכז,פריפריה,32.38104,35.017224,15,0.000492,8,7,1.495e-05,0.03422246,4420.7843,71.89415348165318
