step,source_station_id,target_station_id,source_station_name,target_station_name,distance_meters,walking_seconds,source_component_size,target_component_size,connectivity_benefit_score
1,11217,11206,מסעף בית נקופה,מסעף אבו-גוש,203.38323601000013,169.48603000833344,23,21556,23
2,46507,46217,ג'לבון/סער,ג'לבון/סער,95.55004731345909,79.62503942788258,6,6,6
3,47152,20248,אל על/נקרות,מנחת קריית שמונה/למערב,322.1916914936959,268.4930762447466,12,21579,12
4,51041,14794,בית עלמין צבאי/פרדס משותף,בית ספר ישורון/קלאוזנר,184.2359999303552,153.52999994196267,21591,3,3
5,46241,44222,אל על/אורן,אזור תעשיה צפוני/אלי הורוביץ,480.28007148516144,400.23339290430124,21594,2,2
