scenario,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable
before_backup_links,21615,21623,12,21556,0.9969014475327198,32,0,6584.09375,0.304509007029877,2409.3417816807323
after_backup_links,21615,21623,7,21596,0.9987513296027378,32,0,6592.6875,0.3049064610119323,2409.8586061579294
