from_stop_id,from_stop_name,to_stop_id,to_stop_name,scheduled_trip_segments
37310,דימונה,37314,באר שבע צפון,16
37312,באר שבע מרכז,37314,באר שבע צפון,219
37336,רמלה,37322,בית שמש,50
37338,לוד,37298,ראשונים,59
37382,נהריה,37384,עכו,187
37384,עכו,41293,קרית מוצקין,187
37394,מודיעין מרכז,37396,פאתי מודיעין,233
40581,כפר ברוך,40582,עפולה,106
40582,עפולה,40583,בית שאן,106
41292,כרמיאל,41291,אחיהוד,121
41293,קרית מוצקין,41291,אחיהוד,121
