strategy,removed_stations,remaining_stations,components,largest_component_nodes,largest_component_share_of_remaining,serviceable_share_of_original
degree,0,67.0,1.0,67.0,1.0,1.0
degree,1,66.0,2.0,39.0,0.5909090909090909,0.582089552238806
degree,2,65.0,2.0,38.0,0.5846153846153846,0.5671641791044776
degree,3,64.0,4.0,38.0,0.59375,0.5671641791044776
degree,4,63.0,6.0,24.0,0.38095238095238093,0.3582089552238806
degree,5,62.0,7.0,23.0,0.3709677419354839,0.34328358208955223
degree,6,61.0,9.0,23.0,0.3770491803278688,0.34328358208955223
degree,7,60.0,11.0,23.0,0.38333333333333336,0.34328358208955223
degree,8,59.0,14.0,15.0,0.2542372881355932,0.22388059701492538
degree,9,58.0,15.0,15.0,0.25862068965517243,0.22388059701492538
degree,10,57.0,17.0,14.0,0.24561403508771928,0.208955223880597
degree,11,56.0,17.0,14.0,0.25,0.208955223880597
degree,12,55.0,17.0,14.0,0.2545454545454545,0.208955223880597
degree,13,54.0,19.0,8.0,0.14814814814814814,0.11940298507462686
degree,14,53.0,20.0,8.0,0.1509433962264151,0.11940298507462686
degree,15,52.0,20.0,8.0,0.15384615384615385,0.11940298507462686
weighted_degree,0,67.0,1.0,67.0,1.0,1.0
weighted_degree,1,66.0,2.0,33.0,0.5,0.4925373134328358
weighted_degree,2,65.0,2.0,33.0,0.5076923076923077,0.4925373134328358
weighted_degree,3,64.0,3.0,33.0,0.515625,0.4925373134328358
weighted_degree,4,63.0,3.0,32.0,0.5079365079365079,0.47761194029850745
weighted_degree,5,62.0,4.0,27.0,0.43548387096774194,0.40298507462686567
weighted_degree,6,61.0,6.0,27.0,0.4426229508196721,0.40298507462686567
weighted_degree,7,60.0,6.0,27.0,0.45,0.40298507462686567
weighted_degree,8,59.0,6.0,27.0,0.4576271186440678,0.40298507462686567
weighted_degree,9,58.0,8.0,27.0,0.46551724137931033,0.40298507462686567
weighted_degree,10,57.0,8.0,27.0,0.47368421052631576,0.40298507462686567
weighted_degree,11,56.0,8.0,27.0,0.48214285714285715,0.40298507462686567
weighted_degree,12,55.0,10.0,23.0,0.41818181818181815,0.34328358208955223
weighted_degree,13,54.0,10.0,23.0,0.42592592592592593,0.34328358208955223
