merge_radius_meters,cutoff_minutes,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable
50.0,30.0,25156,25156,3,25151,0.9998012402607728,64,0,2309.875,0.09182568077916917,1251.344007592659
50.0,60.0,25156,25156,3,25151,0.9998012402607728,64,0,9019.28125,0.35854825084476244,2382.2684970449354
50.0,90.0,25156,25156,3,25151,0.9998012402607728,64,0,16056.65625,0.6383087358378056,3325.629392076154
80.0,30.0,21623,21623,2,21620,0.9998612588447486,64,0,2086.46875,0.09649749098140785,1228.1888971991052
80.0,60.0,21623,21623,2,21620,0.9998612588447486,64,0,7869.1875,0.3639435528628249,2371.388915366777
80.0,90.0,21623,21623,2,21620,0.9998612588447486,64,0,13496.390625,0.6241971429562484,3255.325813489512
120.0,30.0,15754,15754,2,15751,0.9998095721721467,64,0,1538.21875,0.09764608328572334,1220.671659918289
120.0,60.0,15754,15754,2,15751,0.9998095721721467,64,0,5647.484375,0.3585021503840538,2353.9576271066308
120.0,90.0,15754,15754,2,15751,0.9998095721721467,64,0,9747.109375,0.6187462308766585,3312.811263545908
