stop_id,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
15270,-0.22785145,0.32853895,0.46019575,-0.43368366,0.7365135,0.22002847,0.42260152,0.1520603,0.17451264,-0.28215677,0.4889114,-0.38404405,-0.41734812,-0.45103997,-0.3346314,-0.03681032,-0.25154695,0.5830894,-0.03440264,0.5543081,0.14943536,-0.08007283,0.22889432,-1.3616891,0.38701448,0.0074559962,-0.6366435,-0.04822498,0.96205026,0.115807384,0.4978346,0.8969433,-0.4515868,0.36790735,0.48748788,0.54881483,-0.1128988,0.112544164,0.3781063,0.6360886,0.34824115,0.083114766,-0.50465393,0.5648389,0.14415057,-0.37385252,0.55142975,-0.024093805,-0.013293421,1.0504609,0.5176233,0.08347101,-0.18965596,0.83205444,-0.20670201,-0.20991033,0.50487953,-0.397872,-0.8906819,-0.1291175,-1.1104858,0.26835075,0.46011427,-0.3470853
34009,0.22182631,0.082833335,0.5343061,2.1927452e-05,0.43726334,-0.40067062,-0.16442716,0.36571535,-0.19899498,-0.30573934,0.93257105,0.49519703,0.35591394,-0.20957887,0.35563168,0.28654817,-0.5214529,0.3436079,0.3193604,0.3733045,0.10670332,0.39802656,-0.50881857,-0.7368242,0.7697008,0.30374625,0.088552564,0.5172551,0.40575573,-0.1525595,0.3860896,0.42010087,-0.559089,-0.06358874,-0.15296027,0.36953738,0.5974437,-0.2661718,0.43070924,-0.55038553,0.64010376,-0.23149727,-0.4177914,0.24743408,0.24826299,-0.36901164,-0.0028567559,-0.4983515,-0.27469212,0.022998855,0.33293134,-0.24639447,0.61919457,0.60757864,-0.073722966,-0.08119194,0.33900353,-0.17285831,-1.1759515,-0.13925155,-0.1650768,-0.11621387,-0.018536171,-0.12563217
16207,-0.009048823,0.41579667,0.5102308,0.5069024,0.3372827,0.035791963,0.5587953,-0.5361001,-0.18575701,0.13383952,0.7696038,0.30507612,0.14986777,-0.48660865,-0.5134585,-0.09560861,-0.12081454,0.31155682,0.4908078,-0.03159986,0.50456744,0.905018,-0.030421464,-1.3002889,-0.013063864,0.95616245,0.012980837,0.6110909,0.028842553,0.6313058,-0.034019344,0.8021689,-0.40087628,-0.086526506,-0.12066658,-0.6256477,-1.0150096,-0.4438159,-0.011018257,0.32154652,0.09958015,0.28347254,-0.19253953,0.23762153,-0.06680885,-0.5741245,0.4179903,-1.0233787,-0.16436288,-0.14973742,0.7047964,-0.23706539,0.10154766,-0.36415976,-0.020487921,-0.020620698,-0.20979996,-0.8527116,-0.4479405,1.0147957,-0.50705934,-0.31883213,-0.61159474,0.1976348
16776,-0.069405146,0.3445104,0.6036529,0.20243737,-0.020798247,-0.39448017,0.45099068,0.5264754,0.12565772,-0.0151695935,0.8443412,0.30670863,0.8482837,-0.39482033,-0.43738464,-0.6442208,-0.2572022,0.4816317,0.6515801,0.33267024,-0.04436897,0.25429648,0.7825752,-0.84296614,-0.31717306,0.46544406,-0.13439322,0.5285262,0.7153771,0.42935687,0.39838594,0.634434,-0.90938956,-0.22825828,-0.0675699,0.04401353,-0.2885698,0.39400688,0.7628172,0.16778289,0.79085124,0.1254072,-0.15294051,-0.013651411,0.16390853,-0.06175382,0.056547523,-0.80276793,-0.46797457,0.18741058,0.62943393,0.15817583,-0.025070688,0.60986096,0.06399107,-0.33107933,0.14521767,-0.4067238,0.36243257,-0.8250296,0.28966728,-0.09273088,-0.24219926,0.18405774
22180,0.4240789,-0.1017696,-0.0614498,0.03902587,0.7699832,-0.20951268,-0.106222086,0.09160901,-0.098502696,0.47855964,0.1884723,-0.33117437,0.41992965,-1.007539,0.024625817,0.45024434,-0.52310103,0.16142677,0.25916302,0.14085189,0.7279628,0.0148656815,0.209429,-0.7257373,-0.56463856,0.48321432,-0.40728858,0.21126017,-0.039558236,0.22802058,0.09894535,0.35088098,-0.7572275,0.65772915,-0.16087449,0.24652588,-0.9540653,0.31012428,-0.1795049,-0.6169024,0.8667678,0.13577497,0.032428797,0.92700243,1.0253763,0.4243747,0.38441437,-0.8926968,-0.1248444,0.4500944,0.9550897,0.6820286,0.32618,0.4626034,0.33826703,-0.7696671,-0.3230568,-0.33431944,-0.72760266,-0.4790168,-0.2565493,0.82302475,-0.26061746,-0.54615873
13429,0.33492574,-0.5963796,1.4707085,0.71019644,-0.20718311,-0.26464686,0.2969305,-0.14064087,-0.76442564,-0.2411798,0.5215363,0.16389671,-0.042266857,-0.5480812,-0.46819556,0.41963834,-0.9135523,0.23210597,-0.15033074,0.6653193,0.23704639,-0.044459898,0.009250501,-0.9303725,0.26927876,0.20668907,0.03098318,0.13709599,-0.2736581,-0.19315754,-0.19395943,-0.052525733,0.45573378,0.3621538,0.09869916,0.9439749,0.034666512,-0.2984637,-0.65699226,-0.3414567,0.077013545,0.18810931,0.13426611,0.2942661,0.56808865,0.43705678,0.6007927,-0.7894233,0.0067044604,-0.040144708,0.8363044,-0.14443673,0.17693216,0.39012128,-0.35003096,-0.02471744,0.2834354,-0.5509827,-0.17180003,-0.14996415,0.040572077,0.3101215,-0.1250863,-0.21083282
14032,0.10431556,0.58144253,0.46825904,0.39519194,0.4561914,-0.29415384,0.57837933,0.4894912,0.37004858,0.24970709,0.20421012,0.5424419,-0.07521317,-0.76879305,-0.15602335,0.018222777,-0.7719164,-0.4993621,0.2897149,0.9627461,1.345613,0.37705222,-0.48944935,-0.67488194,-0.27299434,0.102785006,-0.31695226,-0.29363254,-0.051521093,0.31065977,0.39832208,0.28888008,-1.2635219,0.2500943,0.13858873,0.4774137,0.21590944,0.21996817,-0.5327815,0.1743395,0.060762323,0.7742276,0.096482284,-0.28516486,0.48576164,-0.90678376,0.19164278,-0.21234526,0.5184531,-0.16962178,0.38063142,-0.090704404,-0.08020312,0.36807144,-0.32000872,-0.23449412,-0.77345073,-0.70874697,-0.091375895,-0.47701764,-0.39553994,0.83150136,0.1071635,-0.6435582
29384,0.47547713,-0.08219044,0.8099633,0.29178664,0.17703633,-0.82088673,-0.06180984,-0.087423615,-0.13541393,0.2656477,0.45587656,-0.49602985,0.21621758,-0.43882063,0.21940099,-0.49579513,-0.007641759,-0.14461622,-0.10752587,0.7090002,-0.24169873,0.63303024,-0.60474586,-0.6347083,-0.6802669,0.4465596,0.120497145,0.29333282,0.055310715,-0.229962,0.29256573,0.011691069,0.29401746,-0.60631716,-0.04155467,-0.08441374,-0.20260061,-0.04300217,0.1318285,-0.17749327,0.30559012,0.03086576,-0.6049311,0.3340316,0.9326557,-0.22484402,0.40269816,-0.61448604,0.016253995,0.11150437,0.2456087,0.4466272,0.32736874,-0.030413816,0.1522054,-0.20392638,-0.9821591,-0.9140263,-0.12606117,-0.21808262,-1.2386675,0.40030044,-0.48821947,-0.22618534
14145,-0.022523638,-0.43660772,0.5673331,-0.42589763,0.07845261,-0.25868994,0.7257857,-0.45326054,0.042977285,0.28525263,0.43085405,0.106647424,-0.089837,0.26983333,-0.18334442,0.19541506,-0.2697484,0.26972145,0.013670454,0.4452768,1.1185603,0.19500248,-0.39004198,-0.41192695,-0.33111456,0.07598456,-0.33472875,-0.001740885,0.3879241,-0.0760774,0.9017895,0.36557382,0.017792372,0.18384193,0.93996,0.16411461,0.13064432,-0.23957692,0.38840625,0.18787351,0.5190813,-0.25837535,-0.32848424,-0.115643375,0.908397,-0.57004136,-0.19754653,0.24042994,0.6198806,0.23412098,0.6840958,-0.011851202,0.311255,0.3983888,-0.50399935,-0.24802999,0.02632626,-1.5507864,-0.05830451,0.52068555,-0.0806138,0.5040672,-0.15882024,0.18266787
16164,0.117297746,0.037467316,0.78434277,0.6580144,-0.029946186,0.17357165,-0.56031245,0.027459716,-0.14219609,-0.37010115,-0.17969571,0.25637448,-0.44810647,0.3320979,-0.6072766,-0.41931915,-0.26170853,-0.23559232,-0.38916382,0.22962366,0.8526465,1.0553812,-0.5085765,-0.9361525,0.34248418,1.1045703,-0.62364393,0.6735811,0.49454346,0.06634877,0.23224641,0.793362,-0.53422546,0.14046995,0.36399868,-0.073129185,-0.6808859,-0.3642495,-0.046281017,0.3102581,0.0069273813,-0.13077098,-0.2786208,0.01625759,0.45728236,-0.34733903,0.14713416,-0.45735377,-0.6267731,0.20113695,0.56186557,0.27088037,0.54907167,0.13848603,-0.33818746,-0.5193091,0.17857888,-0.14269494,-0.2530155,-0.5700351,-0.7541595,-0.04647292,0.1654223,-0.4257872
