station_id,station_nodes,reference_station_nodes,connected_components,largest_component_nodes,largest_component_share,origins_evaluated,origins_missing,mean_reachable_stations,mean_reachable_share,mean_path_seconds_to_reachable,largest_component_nodes_loss,largest_component_share_loss,reachable_share_loss,mean_path_seconds_increase,station_name,main_stop_code,degree,weighted_degree,pagerank,approx_betweenness,is_articulation_point
41337,21622,21623,3,21595,0.9987050825509873,96,1,7400.989583333333,0.34228977815804895,2369.2705225079053,25,0.0011561762937613018,0.008173580920667278,-29.059709928612847,המעיין,31631,7,376,7.884708815752434e-05,0.0011102373084745962,True
10193,21622,21623,2,21619,0.9998150117929981,96,1,7478.729166666667,0.34588517096784144,2399.7774630534323,1,4.624705175049204e-05,0.004578188110874792,1.447230616914112,תחנת רקל''ה גבעת המבתר/'יגאל ידין,2948,17,3912,9.264043500076842e-05,0.03092328940830741,False
2403,21622,21623,2,21619,0.9998150117929981,96,1,7490.822916666667,0.3464444971171338,2401.537381779851,1,4.624705175049204e-05,0.0040188619615824095,3.2071493433327305,ת. מרכזית המפרץ/הורדה,43008,26,18286,0.0002285774809948569,0.02173275075124068,False
5541,21622,21623,3,21617,0.9997225176894973,96,1,7497.6875,0.3467619785403755,2401.0303781146904,3,0.0001387411552513651,0.003701380538340737,2.700145678172248,רחוב 140/רחוב 306,57433,7,756,6.548696169762242e-05,9.251977570621636e-05,True
41132,21622,21623,2,21619,0.9998150117929981,96,0,7503.479166666667,0.3470298384361609,2393.9676653280567,1,4.624705175049204e-05,0.00343352064255531,-4.362567108461462,מחלף חמד,640,42,10540,0.0003746371061781642,0.06516861701306614,False
10446,21622,21623,2,21619,0.9998150117929981,96,0,7510.083333333333,0.34733527579934026,2393.590612009893,1,4.624705175049204e-05,0.0031280832793759705,-4.739620426625152,צומת גבעת מרדכי/בייט,3289,35,8208,9.757259499466121e-05,0.03952618292749012,False
21588,21622,21623,2,21619,0.9998150117929981,96,0,7532.260416666667,0.34836094795424416,2399.295206379465,1,4.624705175049204e-05,0.00210241112447207,0.9649739429469264,מחלף גנות/כביש 4,33431,22,5568,0.00010109115693716216,0.14224915514830766,False
10226,21622,21623,2,21619,0.9998150117929981,96,0,7535.0,0.34848765146609934,2400.530549981099,1,4.624705175049204e-05,0.001975707612616895,2.2003175445806846,יגאל ידין/דרוק,2987,27,13508,0.00015368048830554704,0.0658979330575003,False
20108,21622,21623,2,21619,0.9998150117929981,96,0,7538.302083333333,0.34864037014768906,2398.6278761966673,1,4.624705175049204e-05,0.0018229889310271696,0.29764376014918525,עוקף כפר יאסיף 1,52967,11,1172,0.0001336720010755342,0.04480414700723068,False
4677,21622,21623,2,21619,0.9998150117929981,96,0,7538.78125,0.34866253121820373,2402.8907303942137,1,4.624705175049204e-05,0.0018008278605124994,4.560497957695588,מכללת עמק יזרעאל,55264,10,4146,0.00012481777463400667,0.034379047593084126,False
