stop_id,stop_name,lat,lon,region,metro,degree,weighted_degree,approx_betweenness
9056,שדרות דוד טוביהו/סוקולוב,31.245292,34.78872,South,Beer Sheva,11,2704,0.004984508452840818
43422,שדרות מנחם בגין/שדרות הרצל,31.789241,34.640667,Center,Periphery,11,2344,0.0038032332965007147
22099,ת. רק''ל בלינסון/קניון אבנת,32.091717,34.865871,Center,Tel Aviv,11,11915,0.0003876857021857836
4634,שדרות הבנים/שד' שאול עמור,32.67824,35.241113,North,Periphery,11,3690,0.00021270768801869504
8614,שדרות גולדה מאיר/המשורר אצ''ג,31.825302,35.188624,Jerusalem,Jerusalem,11,9218,0.00021747697199999677
12990,בית הדר דפנה/שד' שאול המלך,32.077609,34.791101,Center,Tel Aviv,11,5548,0.0001653935664921366
24404,וייצמן/רוטשילד,32.175091,34.909718,Center,Tel Aviv,11,4066,0.0002688508973712332
23671,פקריס/פלאוט,31.911334,34.805326,Center,Tel Aviv,10,1708,0.00038092312703972165
5373,יהודה הלוי/דנילוף סנטר,32.790549,35.533043,North,Periphery,10,1518,0.0002741144647859816
8439,צומת חטיבה שבע/לטרון,31.835052,34.978365,Jerusalem,Periphery,10,2484,0.0012124230647872782
12495,בית חולים יוספטל/יותם,29.55502,34.939706,South,Periphery,10,491,0.000679380602875063
13206,קריית הממשלה/דרך מנחם בגין,32.07238,34.789654,Center,Tel Aviv,10,14386,7.816321872394895e-05
14356,חזון אי''ש/נחמיה,32.080495,34.834343,Center,Tel Aviv,10,6244,0.00025553446690182154
27530,שד. מלכי ישראל/רחבת גדעון בן יואש,31.618977,34.761053,Center,Periphery,10,2259,0.000183342018331041
14057,אהרונוביץ/ קניון בני ברק,32.091581,34.83946,Center,Tel Aviv,10,4803,0.00011663901714897815
43905,מצודת אדומים,31.796492,35.25755,Jerusalem,Jerusalem,10,1206,0.008701255054272234
27674,צומת מעון,31.312821,34.438809,South,Periphery,10,298,0.004030432651027429
18421,הפלמ''ח,32.966725,35.495154,North,Periphery,10,1626,5.161290680423795e-05
27529,שדרות מלכי ישראל/נתן אלבז,31.619137,34.760932,Center,Periphery,10,2529,0.000351023456879105
49466,מסוף הר נוף/כנפי נשרים,31.787451,35.180456,Jerusalem,Jerusalem,10,11722,0.00015904710691567182
39830,דרך ארץ/אשל,32.470312,35.039346,Center,Periphery,10,1282,0.0025172537841754955
16237,מד''א/המכבים,32.096558,34.887575,Center,Tel Aviv,10,2844,0.0004025772300712607
29310,המסגר/יד חרוצים,32.061291,34.784847,Center,Tel Aviv,10,3784,0.0001760175745539989
11227,צומת אורה,31.757147,35.159936,Jerusalem,Jerusalem,9,3720,0.0008978984653622815
1340,ספרייה/הדגן,32.569477,34.95541,North,Periphery,9,1743,0.00017337415964174856
1359,דרך אהרון/דרך שרה,32.566511,34.956423,North,Periphery,9,1594,0.000663823312012223
21321,כביש 44/דרך חיים הרצוג,31.973523,34.840538,Center,Tel Aviv,9,2104,0.00037118688121456694
23259,בר כוכבא/ליברכט,32.092024,34.885384,Center,Tel Aviv,9,3236,0.0005979810749720205
7604,צומת חטיבה שבע,31.834668,34.976697,Jerusalem,Periphery,9,2050,0.0005711212545956605
23193,הפקולטה לחקלאות,31.905694,34.806199,Center,Tel Aviv,9,3608,0.00020711388148641203
13239,ביה''ח איכילוב/ויצמן,32.080816,34.788879,Center,Tel Aviv,9,3616,0.0001281996228713553
43772,שדרות יחד שבטי ישראל/שבט שמעון,31.93397,34.89637,Center,Tel Aviv,9,1116,0.0023493293325431135
24763,צומת חולון,32.037572,34.779659,Center,Tel Aviv,9,5486,0.0010681102447832813
16940,צומת זכרון יעקב/כביש 4,32.571108,34.937372,North,Periphery,9,994,0.0023894364410344754
39563,בגין/הרצל,31.520961,34.59331,South,Periphery,8,1462,0.005855733275152483
51992,מסוף פדואל,32.092746,35.105958,Center,Periphery,8,200,0.00029869572692568867
48898,ביג שער העיר,32.786913,35.029253,North,Haifa,8,3460,0.0003064916809900181
8862,נהר הירקון/נהר הירדן,31.70735,35.0002,Jerusalem,Periphery,8,5504,0.008983063353390256
34492,רמת הגולן/אדום,32.105248,35.198709,Center,Periphery,8,2064,0.0004916880956187359
24722,אנה פרנק/הקוממיות,32.00356,34.75357,Center,Tel Aviv,8,4776,0.00011784922327172209
15255,תחנת רכבת לוד/יוספטל,31.946838,34.879725,Center,Tel Aviv,8,4084,0.000443555967761169
48914,רכבת/מסוף ביג,31.774616,34.664572,Center,Periphery,8,1306,0.0030484105796758487
19486,תל חי/סיני,33.204747,35.569361,North,Periphery,8,1700,0.033280150066953965
24765,הרצל/שדרות תש''ח,31.955339,34.802324,Center,Tel Aviv,8,4652,0.00041219905902021377
50229,מבצע קדש/יהודה לייב פינסקר,32.096764,34.882581,Center,Tel Aviv,8,1982,3.5117035259381416e-05
22261,ת. רכבת רחובות,31.908551,34.805277,Center,Tel Aviv,8,3616,0.00010535310444989461
8947,חטיבת ירושלים/ יצחק קריב,31.775198,35.227051,Jerusalem,Jerusalem,8,858,0.0003898828045511052
4530,קאנטרי קלאב/שדרות יצחק רבין,32.61504,35.29935,North,Periphery,8,3284,0.0003886650294655433
24243,מוסד חינוכי כפר בתיה/דרך ירושלים,32.188751,34.854732,Center,Tel Aviv,8,1061,0.0006090446817181997
24239,בית לוינשטיין/אחוזה,32.184719,34.855067,Center,Tel Aviv,8,2808,0.0010433417757171161
4671,אורט יגאל אלון/מעלה יצחק,32.708282,35.334618,North,Periphery,8,5204,0.004212942869379556
21507,הרצל/סוקולוב,31.957388,34.802287,Center,Tel Aviv,8,4304,0.0002661154911381826
13632,המסגר/ריב''ל,32.062018,34.785025,Center,Tel Aviv,8,6648,0.00017951112586823983
23491,רבי יהודה הנשיא/רבי שמעון בן שטח,32.052813,34.965556,Center,Tel Aviv,8,2112,0.0008530165219072688
13219,שד' רוקח/בכור שטרית,32.107454,34.814433,Center,Tel Aviv,8,5162,0.0012609460705550034
11302,מעלה הזיתים,31.772301,35.240996,Jerusalem,Jerusalem,8,972,0.0008372733502939201
49329,הרכבת/ראש פינה,32.059633,34.782976,Center,Tel Aviv,7,2428,3.5715969446613026e-05
39804,בני ראם יציאה/כיכר,31.773841,34.792355,Center,Periphery,7,260,9.149995265901186e-05
24237,מרכז מסחרי מול הפארק/דרך ירושלים,32.184316,34.85359,Center,Tel Aviv,7,3278,0.0003315793860717004
44669,הטוחן/גרניט,32.486134,34.950884,Center,Periphery,7,2308,6.26920933076632e-05
324,שד. בנימין/שד. ירושלים,32.324201,34.856548,Center,Tel Aviv,7,3214,0.0034397255179102505
41675,ת. רכבת כרמיאל/רציפים,32.923794,35.29835,North,Periphery,7,2768,0.0001801271937630688
12838,אלוף שדה/הירדן,32.059276,34.826633,Center,Tel Aviv,7,4694,0.000466694488693966
8781,משרד המשפטים/צלאח א דין,31.787402,35.229997,Jerusalem,Jerusalem,7,1780,0.0001820411682838176
37221,מחנה נבטים,31.172342,35.042848,South,Periphery,7,316,0.0021451480702121997
3228,מת''מ/ההגנה,32.789609,34.962117,North,Haifa,7,3774,0.00011043871950534161
13187,דבורה הנביאה/ראול ולנברג,32.115126,34.840063,Center,Tel Aviv,7,821,0.0011165135229900596
35837,נווה גנים,32.85817,35.091366,North,Haifa,7,5544,0.0011052907712952127
44260,זכריה הנביא/אליהו הנביא,31.700647,34.977088,Jerusalem,Periphery,7,3050,0.006357897903901227
41045,קאנטרי קלאב/שדרות יואש דובנוב,32.615951,35.299784,North,Periphery,7,2662,0.0002568284013718456
