from_stop,to_stop,from_name,to_name,trip_frequency
41133,36178,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,189
13246,37050,בית ספר הולץ/חיל השריון,ת.מרכזית תל אביב קומה 6/רציפים,188
28799,48066,משה סנה/מנחם בגין,ת. רכבת אשדוד עד הלום/איסוף,188
41675,49978,ת. רכבת כרמיאל/רציפים,חניון כפר הילדים,185
21321,15624,כביש 44/דרך חיים הרצוג,המרכז הרפואי יצחק שמיר,184
41133,36404,מחלף חמד,ת. מרכזית ירושלים קומה 3/רציפים,183
3228,47964,מת''מ/ההגנה,ת. מרכזית חוף הכרמל/רציפים בינעירוני,181
25938,48169,בן גוריון/נאות אשקלון,ת. מרכזית אשקלון רציפים/בינעירוני,181
9048,36784,בן גוריון/שערי ירושלים,ת. מרכזית ירושלים קומה 3/רציפים,180
50069,50286,חנה וסע מבואות אילת,חניון אגד,179
25353,22431,תחנת רכבת קוממיות,חניון אגד/דן שומרון,178
4530,40866,קאנטרי קלאב/שדרות יצחק רבין,ת. רכבת עפולה/איסוף,177
24787,24673,צומת צריפין לצפון,המרכז רפואי יצחק שמיר,176
25938,48231,בן גוריון/נאות אשקלון,ת. מרכזית אשקלון רציפים/בינעירוני,176
5017,48184,קניון/שאול עמור,מסוף מגדל העמק/רציפים,175
36044,40551,ביר באקה/אלתקווא,ביר באקה/אלמליאת,174
29310,37687,המסגר/יד חרוצים,ת.מרכזית תל אביב קומה 6/רציפים,174
28638,48948,משה סנה,רכבת/מסוף ביג - רציפים,174
48122,21512,ת. מרכזית ראשל''צ/רציפים,בן גוריון/כצנלסון,169
7561,49797,צומת חשמונאים דרום,מסוף מודיעין עילית,168
13268,38380,מחלף לה גווארדייה,ת.מרכזית תל אביב קומה 6/רציפים,168
41045,40820,קאנטרי קלאב/שדרות יואש דובנוב,ת. רכבת עפולה/הורדה,166
17095,6968,שכונת זוחלוק,מכון המים,164
6968,7187,מכון המים,אלמקאזח,164
17097,17185,כיכר מזרחית,אלרוגמה,164
17185,17095,אלרוגמה,שכונת זוחלוק,164
28638,48943,משה סנה,רכבת/מסוף ביג - רציפים,163
17184,44641,אלרוגמה,א-סהיל,162
6967,17184,מכון המים,אלרוגמה,162
6966,6967,אלמקאזח,מכון המים,162
17097,44640,כיכר מזרחית,א-סהיל/עולש,162
44641,44640,א-סהיל,א-סהיל/עולש,162
15255,51805,תחנת רכבת לוד/יוספטל,מסוף הרכבת הישן/הורדה,160
29310,37685,המסגר/יד חרוצים,ת.מרכזית תל אביב קומה 6/רציפים,160
8439,50774,צומת חטיבה שבע/לטרון,חניון חנה וסע חטיבה שבע/איסוף,159
7604,50773,צומת חטיבה שבע,חניון חנה וסע חטיבה שבע/הורדה,159
8302,42155,שדרות אדם/437,מסוף שער בנימין/הורדה,157
48426,48427,עין אבראהים ב,עין אבראהים ג,157
35917,48425,עין איברהים/כניסה,עין אבראהים א,157
