stop_id,stop_name,region,status,degree_bus,degree_all_modes,is_articulation_point_bus,is_articulation_point_all_modes
37292,תל אביב ההגנה,Center,absent_from_bus_network,0,8,False,True
37338,לוד,Center,absent_from_bus_network,0,8,False,True
37380,חיפה מרכז,North,absent_from_bus_network,0,7,False,True
37376,חוף הכרמל,North,absent_from_bus_network,0,6,False,True
41293,קרית מוצקין,North,absent_from_bus_network,0,6,False,True
37314,באר שבע צפון,South,absent_from_bus_network,0,5,False,True
37306,נתב''ג,Center,absent_from_bus_network,0,4,False,True
37358,תל אביב מרכז,Center,absent_from_bus_network,0,4,False,True
40581,כפר ברוך,North,absent_from_bus_network,0,4,False,True
37336,רמלה,Center,absent_from_bus_network,0,3,False,True
37396,פאתי מודיעין,Jerusalem,absent_from_bus_network,0,3,False,True
37897,תחנת מוניות תל אביב תחנה מרכזית,Center,absent_from_bus_network,0,3,False,True
49095,אהרונוביץ',Center,absent_from_bus_network,0,3,False,True
49117,אהרונוביץ',Center,absent_from_bus_network,0,3,False,True
10793,מסעף נחושה,Center,absent_from_bus_network,0,2,False,True
35119,חיל האוויר,Jerusalem,absent_from_bus_network,0,2,False,True
35120,חיל האוויר,Jerusalem,absent_from_bus_network,0,2,False,True
35121,סיירת דוכיפת,Jerusalem,absent_from_bus_network,0,2,False,True
35122,סיירת דוכיפת,Jerusalem,absent_from_bus_network,0,2,False,True
35123,פסגת זאב - מרכז,Jerusalem,absent_from_bus_network,0,2,False,True
35124,פסגת זאב - מרכז,Jerusalem,absent_from_bus_network,0,2,False,True
35125,יקותיאל אדם,Jerusalem,absent_from_bus_network,0,2,False,True
35126,יקותיאל אדם,Jerusalem,absent_from_bus_network,0,2,False,True
35127,בית חנינא,Jerusalem,absent_from_bus_network,0,2,False,True
35128,בית חנינא,Jerusalem,absent_from_bus_network,0,2,False,True
35129,שועפאט,Jerusalem,absent_from_bus_network,0,2,False,True
35130,שועפאט,Jerusalem,absent_from_bus_network,0,2,False,True
35131,א-סהל,Jerusalem,absent_from_bus_network,0,2,False,True
35132,א-סהל,Jerusalem,absent_from_bus_network,0,2,False,True
35133,גבעת המבתר,Jerusalem,absent_from_bus_network,0,2,False,True
35134,גבעת המבתר,Jerusalem,absent_from_bus_network,0,2,False,True
35135,גבעת התחמושת,Jerusalem,absent_from_bus_network,0,2,False,True
35136,גבעת התחמושת,Jerusalem,absent_from_bus_network,0,2,False,True
35137,שמעון הצדיק,Jerusalem,absent_from_bus_network,0,2,False,True
35138,שמעון הצדיק,Jerusalem,absent_from_bus_network,0,2,False,True
35139,שבטי ישראל,Jerusalem,absent_from_bus_network,0,2,False,True
35140,שבטי ישראל,Jerusalem,absent_from_bus_network,0,2,False,True
35141,שער שכם,Jerusalem,absent_from_bus_network,0,2,False,True
35142,שער שכם,Jerusalem,absent_from_bus_network,0,2,False,True
35143,העירייה,Jerusalem,absent_from_bus_network,0,2,False,True
35144,העירייה,Jerusalem,absent_from_bus_network,0,2,False,True
35145,יפו - מרכז,Jerusalem,absent_from_bus_network,0,2,False,True
35146,יפו - מרכז,Jerusalem,absent_from_bus_network,0,2,False,True
35147,הדווידקה,Jerusalem,absent_from_bus_network,0,2,False,True
35148,הדווידקה,Jerusalem,absent_from_bus_network,0,2,False,True
35149,מחנה יהודה,Jerusalem,absent_from_bus_network,0,2,False,True
35150,מחנה יהודה,Jerusalem,absent_from_bus_network,0,2,False,True
35151,הטורים,Jerusalem,absent_from_bus_network,0,2,False,True
35152,הטורים,Jerusalem,absent_from_bus_network,0,2,False,True
35153,התחנה המרכזית,Jerusalem,absent_from_bus_network,0,2,False,True
35154,התחנה המרכזית,Jerusalem,absent_from_bus_network,0,2,False,True
