rank,station_id,station_name,reachable_share_loss,largest_component_share_loss,weighted_degree,pagerank,approx_betweenness,is_articulation_point,station_lat,station_lon,stop_count,reachable_share_loss_percent,largest_component_share_loss_percent
1,41337,המעיין,0.0081735809206672,0.0011561762937613,376,7.884708815752434e-05,0.0011102373084745,True,31.917651,34.968321,2,0.81735809206672,0.11561762937613002
2,10193,תחנת רקל''ה גבעת המבתר/'יגאל ידין,0.0045781881108747,4.624705175049204e-05,3912,9.264043500076842e-05,0.0309232894083074,False,31.806441,35.233698,1,0.45781881108746997,0.004624705175049204
3,2403,ת. מרכזית המפרץ/הורדה,0.0040188619615824,4.624705175049204e-05,18286,0.0002285774809948,0.0217327507512406,False,32.79293806818182,35.0344310681818,44,0.40188619615824,0.004624705175049204
4,5541,רחוב 140/רחוב 306,0.0037013805383407,0.0001387411552513,756,6.548696169762242e-05,9.251977570621636e-05,True,32.797990999999996,35.178977,2,0.37013805383407,0.01387411552513
5,41132,מחלף חמד,0.0034335206425553,4.624705175049204e-05,10540,0.0003746371061781,0.0651686170130661,False,31.80033,35.126238,1,0.34335206425553,0.004624705175049204
6,10446,צומת גבעת מרדכי/בייט,0.0031280832793759,4.624705175049204e-05,8208,9.75725949946612e-05,0.0395261829274901,False,31.767214000000003,35.1931915,2,0.31280832793759,0.004624705175049204
7,21588,מחלף גנות/כביש 4,0.002102411124472,4.624705175049204e-05,5568,0.0001010911569371,0.1422491551483076,False,32.0222755,34.823976,2,0.2102411124472,0.004624705175049204
8,10226,יגאל ידין/דרוק,0.0019757076126168,4.624705175049204e-05,13508,0.0001536804883055,0.0658979330575003,False,31.8063275,35.216590499999995,2,0.19757076126168,0.004624705175049204
9,20108,עוקף כפר יאסיף 1,0.0018229889310271,4.624705175049204e-05,1172,0.0001336720010755,0.0448041470072306,False,32.9525105,35.162786499999996,2,0.18229889310271,0.004624705175049204
10,4677,מכללת עמק יזרעאל,0.0018008278605124,4.624705175049204e-05,4146,0.000124817774634,0.0343790475930841,False,32.65244,35.291989,2,0.18008278605123998,0.004624705175049204
