stop_id,stop_name,topological_rank,demand_weighted_rank,rank_shift
13287,הרב כהנמן/רבי עקיבא,2578.0,379.0,2199.0
29401,מחלף הסירה לדרום,553.0,380.0,173.0
25688,צומת עד הלום/כביש 4,251.0,381.0,-130.0
26784,אזור תעשיה ערד,442.0,382.0,60.0
24393,טשרניחובסקי/ויצמן,2346.0,383.0,1963.0
26155,שדרות ירושלים/שדרות משה דיין,598.0,384.0,214.0
23098,צומת מצפה מודיעין,659.0,385.0,274.0
7543,מרכז מסחרי/שדרות יחזקאל,525.0,386.0,139.0
24428,אחוזה/רבוצקי,700.0,387.0,313.0
9029,מעפילי אגוז/הרב הרצוג,6848.0,388.0,6460.0
13592,היכל התרבות/דיזנגוף,3932.0,389.0,3543.0
24120,אלופי צה''ל/משה שרת,4084.0,390.0,3694.0
745,קניון ערים/וייצמן,3394.0,391.0,3003.0
4573,צומת מכבי אש,1117.0,392.0,725.0
21282,צומת שבע,16.0,393.0,-377.0
8487,נתיבות המשפט/סמינר,2814.0,394.0,2420.0
18825,צומת אחיהוד,186.0,395.0,-209.0
13163,קריית שלום/דרך בן צבי,3316.0,396.0,2920.0
9362,בית וגן/שדרות הרצל,1221.0,397.0,824.0
47406,כיכר רבין/אבן גבירול,3408.0,398.0,3010.0
21795,שד. בן גוריון/שמחה ארליך,3311.0,399.0,2912.0
12959,צומת חולון/דרך השיריון,1846.0,400.0,1446.0
8965,שדרות הרצל/הר הרצל,1761.0,401.0,1360.0
47963,ת. מרכזית נתניה/רציפים,252.0,402.0,-150.0
7381,מעזריטש/שדרות דרך האר''י,1415.0,403.0,1012.0
11616,שדרות סיירת דוכיפת/חיל האוויר,253.0,404.0,-151.0
25893,חטיבת הנגב / חטיבת יפתח,8990.0,405.0,8585.0
12405,שד.הרצל/משעול איריס,306.0,406.0,-100.0
