stop_id,population_served,demand_weight
9464,3126.008038803977,0.0006437228416683868
29432,1594.122414917456,0.0005673184960122572
13174,1588.5838364024341,0.0005503529802398627
13250,1558.7954474773871,0.0005457389115084225
10237,1311.015279835444,0.0005305908107080207
38716,11104.980885177742,0.0005272756845097773
13286,1772.793181759514,0.0005164393089521226
14021,1578.742192880311,0.0005088655934289188
13040,1510.2769486202549,0.0005042781207204526
14347,1218.6369075742211,0.0004912603197169506
13285,1581.2474919215026,0.0004904838538174624
13979,1458.012884393477,0.00048247157207627025
13251,1572.6327936943005,0.00048109803949614855
13249,1473.1534038688642,0.0004759957335146172
12898,1156.1503985664838,0.0004549697534887333
9433,1275.1550216634191,0.00045168334695289825
10733,1259.1522717437215,0.00045047656254380077
13043,1368.691054229619,0.0004490679344307939
13345,1613.0817684018907,0.0004359141225869914
13120,975.7905330598301,0.00043465756152915116
13339,1584.2547198304203,0.000430634084573195
13985,1227.416502301619,0.00042991030407813315
8881,3096.6173734172658,0.00042956353699605867
13565,1182.1430031775792,0.0004294816016848359
13287,1287.146593342685,0.00042879138807953274
24402,1838.4659706463317,0.00042615532351681707
13290,1132.04456217003,0.0004225007532975022
13207,1016.3483638464057,0.0004201033989260507
29370,1366.0061147615936,0.0004155435616089026
14031,1670.9289003337453,0.00041361017319382166
14356,1415.5031087732625,0.000409739244820568
38940,1237.1756722232274,0.00040723118865731674
13140,1161.5582308906464,0.0004035812656272726
24401,1765.8619121534878,0.00040200195214440843
13033,1141.0443199847873,0.0004004440343195814
13227,1026.4490660155877,0.00040002537097170174
13101,1221.6003946446585,0.0003976472855067752
10628,1311.9202529800555,0.00039746672412646145
13032,1064.4952587826797,0.00039736659884686155
38739,11106.03804678014,0.0003902279375418448
33862,1781.254290680417,0.00038998413208747584
14045,1463.121195357153,0.00038982835538188765
14054,1085.4483955129328,0.0003887388826700992
29352,1347.959413215999,0.000388559541208643
14497,1692.580365112359,0.00038521947834993525
29477,1434.2179985610123,0.0003816938383518064
14043,1412.3186742972787,0.00038088830040158584
13036,1027.5998430422515,0.00038058989703903515
14077,974.3501280445939,0.0003795537043862119
14040,1529.80844385733,0.0003791754718074852
9434,1055.77420473746,0.00037882287164063306
35404,1319.206212143546,0.00036886140472782645
14046,1612.8699601365865,0.0003685963726030675
13038,1203.1844115697293,0.0003676014969007365
44406,1580.3227231431406,0.0003674140871140015
14032,1664.9850641562007,0.00036422210445718117
8877,1558.7140155619613,0.00036409558739710474
44405,1542.7743313060632,0.0003615226443192287
14029,1651.3969128310143,0.0003610469777025755
29474,1391.667486667974,0.0003594730437301994
11511,1319.0419709814464,0.00035860873875604967
24403,1522.1049758182257,0.0003572887700995621
14044,1513.16672537259,0.00035614095163350465
24404,1516.5626606992362,0.00035424957192851697
