window,strategy,removed,largest_component_share_surviving
midday,betweenness,1661,0.91568
midday,betweenness,1812,0.89899
midday,betweenness,1963,0.8823
midday,betweenness,2114,0.87098
midday,betweenness,2265,0.73201
midday,betweenness,2416,0.71957
midday,betweenness,2567,0.70617
midday,betweenness,2718,0.68912
midday,betweenness,2869,0.46619
midday,betweenness,3020,0.40935
midday,articulation points,0,0.99248
midday,articulation points,15,0.9885
midday,articulation points,30,0.987
midday,articulation points,75,0.98297
midday,articulation points,151,0.9782
midday,articulation points,302,0.95852
midday,articulation points,453,0.94583
midday,articulation points,604,0.94623
midday,articulation points,755,0.95109
midday,articulation points,906,0.95599
midday,articulation points,1057,0.95792
midday,articulation points,1208,0.94663
midday,articulation points,1359,0.9364
midday,articulation points,1510,0.92449
midday,articulation points,1661,0.9222
midday,articulation points,1812,0.90935
midday,articulation points,1963,0.90351
midday,articulation points,2114,0.87525
midday,articulation points,2265,0.84984
midday,articulation points,2416,0.74103
midday,articulation points,2567,0.72173
midday,articulation points,2718,0.53299
midday,articulation points,2869,0.51522
midday,articulation points,3020,0.32754
midday,random (baseline),0,0.99248
midday,random (baseline),15,0.99248
midday,random (baseline),30,0.99245
midday,random (baseline),75,0.9924
midday,random (baseline),151,0.99232
midday,random (baseline),302,0.99146
midday,random (baseline),453,0.98978
midday,random (baseline),604,0.98823
midday,random (baseline),755,0.98647
midday,random (baseline),906,0.98428
midday,random (baseline),1057,0.98245
midday,random (baseline),1208,0.9797
midday,random (baseline),1359,0.97755
midday,random (baseline),1510,0.97437
midday,random (baseline),1661,0.97229
midday,random (baseline),1812,0.96939
midday,random (baseline),1963,0.96705
midday,random (baseline),2114,0.96308
midday,random (baseline),2265,0.96057
midday,random (baseline),2416,0.95557
midday,random (baseline),2567,0.95203
midday,random (baseline),2718,0.94859
midday,random (baseline),2869,0.94297
midday,random (baseline),3020,0.93954
afternoon_peak,degree,0,0.99255
afternoon_peak,degree,15,0.99111
afternoon_peak,degree,30,0.99094
afternoon_peak,degree,75,0.98929
afternoon_peak,degree,150,0.97917
afternoon_peak,degree,301,0.97093
afternoon_peak,degree,451,0.96747
afternoon_peak,degree,601,0.95841
afternoon_peak,degree,751,0.95028
afternoon_peak,degree,902,0.94128
afternoon_peak,degree,1052,0.93739
afternoon_peak,degree,1202,0.91093
afternoon_peak,degree,1353,0.90047
afternoon_peak,degree,1503,0.81116
afternoon_peak,degree,1653,0.80394
afternoon_peak,degree,1803,0.79415
afternoon_peak,degree,1954,0.77063
afternoon_peak,degree,2104,0.61653
afternoon_peak,degree,2254,0.4319
afternoon_peak,degree,2405,0.36077
afternoon_peak,degree,2555,0.19071
afternoon_peak,degree,2705,0.18017
afternoon_peak,degree,2855,0.17984
afternoon_peak,degree,3006,0.18014
afternoon_peak,weighted degree,0,0.99255
afternoon_peak,weighted degree,15,0.99218
afternoon_peak,weighted degree,30,0.99147
afternoon_peak,weighted degree,75,0.99016
afternoon_peak,weighted degree,150,0.98973
afternoon_peak,weighted degree,301,0.98642
afternoon_peak,weighted degree,451,0.97713
afternoon_peak,weighted degree,601,0.97596
afternoon_peak,weighted degree,751,0.97257
afternoon_peak,weighted degree,902,0.97088
afternoon_peak,weighted degree,1052,0.96918
afternoon_peak,weighted degree,1202,0.96268
afternoon_peak,weighted degree,1353,0.95565
afternoon_peak,weighted degree,1503,0.94757
afternoon_peak,weighted degree,1653,0.94599
afternoon_peak,weighted degree,1803,0.93456
afternoon_peak,weighted degree,1954,0.92122
afternoon_peak,weighted degree,2104,0.90895
afternoon_peak,weighted degree,2254,0.90735
afternoon_peak,weighted degree,2405,0.90196
afternoon_peak,weighted degree,2555,0.89826
afternoon_peak,weighted degree,2705,0.88728
afternoon_peak,weighted degree,2855,0.88508
afternoon_peak,weighted degree,3006,0.87461
afternoon_peak,betweenness,0,0.99255
afternoon_peak,betweenness,15,0.99178
afternoon_peak,betweenness,30,0.99164
afternoon_peak,betweenness,75,0.99103
afternoon_peak,betweenness,150,0.99024
afternoon_peak,betweenness,301,0.98091
afternoon_peak,betweenness,451,0.97666
afternoon_peak,betweenness,601,0.97379
afternoon_peak,betweenness,751,0.97127
afternoon_peak,betweenness,902,0.96498
afternoon_peak,betweenness,1052,0.96404
afternoon_peak,betweenness,1202,0.9363
afternoon_peak,betweenness,1353,0.92461
