stop_id,stop_name,region,lat,lon,degree,weighted_degree,approx_betweenness,rank_in_peak_window,peak_window,offpeak_window
23336,מרכז קניות,Center,31.999853,34.829276,2.0,4.0,0.004066735894922448,1006,morning_peak,night
38525,אלביר ג,North,32.510767,35.054216,2.0,52.0,0.004064859785174238,1010,morning_peak,night
8605,בקוע א,Center,31.832,34.92724,2.0,24.0,0.004060457899855058,1016,morning_peak,night
17362,הבישוף חגאר/עבאס,North,32.819499,34.980556,2.0,24.0,0.004049920144572127,1025,morning_peak,night
42049,מועדון פיס לגיל הזהב,North,32.969281,35.540372,2.0,4.0,0.004033723093050294,1040,morning_peak,night
51113,משה לוי/יעקב דורי,Center,31.929681,34.84936,2.0,46.0,0.004033501950811308,1041,morning_peak,night
23335,הזית/שבזי,Center,32.000949,34.826842,2.0,4.0,0.004033501950811307,1042,morning_peak,night
38461,בנק ערבי/נדאא אלחק,North,32.508179,35.054015,2.0,52.0,0.004031625841063097,1045,morning_peak,night
6962,מסעף איבטין,North,32.760674,35.104651,3.0,18.0,0.003975161880605332,1066,morning_peak,night
43536,אלמסראה/אלנענע,North,32.862565,35.305076,2.0,38.0,0.0038478757839752646,1111,morning_peak,night
27681,צומת פטיש,South,31.317063,34.557525,3.0,42.0,0.003562733771822075,1185,morning_peak,night
4311,צומת יהודיה,North,32.903472,35.646644,4.0,14.0,0.0034204469813677147,1207,morning_peak,night
28699,צומת מחנה אורים/כביש 241,South,31.318082,34.541235,3.0,16.0,0.003385805189269017,1214,morning_peak,night
19984,מסעף כפר בלום דרום,North,33.16425,35.595696,2.0,20.0,0.0032738631551640475,1244,morning_peak,night
27683,צומת אורים למערב/כביש 234,South,31.316252,34.524492,3.0,16.0,0.003270060060234738,1247,morning_peak,night
27668,גן לאומי אשכול,South,31.310521,34.499807,2.0,16.0,0.003232825286997763,1255,morning_peak,night
17080,אלביט הישן,North,32.697166,35.058915,4.0,44.0,0.0031540776914665302,1273,morning_peak,night
41985,המושבה 1,North,33.004697,35.60178,3.0,4.0,0.003005281969956488,1301,morning_peak,night
42019,הרחבה,North,32.988289,35.573185,3.0,3.0,0.0029911978278389824,1306,morning_peak,night
20501,צומת שפרעם צפון,North,32.822505,35.151279,5.0,42.0,0.0027972984150448736,1358,morning_peak,night
37682,ת.מרכזית תל אביב קומה 6/רציפים,Center,32.055908,34.779085,2.0,11.0,0.002669859102677951,1382,morning_peak,night
43237,כביש 40/נאות סמדר,South,30.04637,35.027836,2.0,18.0,0.00264734441910688,1387,morning_peak,night
5214,מסעף שעל,North,33.116759,35.728031,3.0,20.0,0.002644788848776891,1388,morning_peak,night
12465,צומת שיזפון,South,30.04819,35.01371,4.0,22.0,0.0026312209787789516,1390,morning_peak,night
43235,כביש 40/נווה חריף,South,30.046138,35.033807,2.0,18.0,0.0025819135953257686,1405,morning_peak,night
43236,כביש 40/נאות סמדר,South,30.046572,35.029047,2.0,8.0,0.0025819135953257686,1406,morning_peak,night
7167,צומת האמיר,North,33.137006,35.731681,5.0,20.0,0.002564157514377741,1409,morning_peak,night
28282,גדוד אריה,South,30.941078,34.874771,4.0,6.0,0.002499766950604648,1426,morning_peak,night
27718,צומת בארי,South,31.429895,34.497156,2.0,38.0,0.002493993878747064,1431,morning_peak,night
39318,צומת שזפון/כביש 40,South,30.047724,35.014806,2.0,8.0,0.002417383974487451,1452,morning_peak,night
12523,צומת מחנה עובדה/שחרות,South,30.020846,34.977079,3.0,32.0,0.002386495167561571,1465,morning_peak,night
17897,בית ספר מעליא,North,33.026765,35.250115,5.0,15.0,0.0023287617142806337,1492,morning_peak,night
34287,צומת שרה לצפון,South,31.225566,34.829489,5.0,40.0,0.0022704239549328985,1520,morning_peak,night
28280,צומת מרחב עם,South,30.897066,34.824976,4.0,6.0,0.0022315184850938935,1535,morning_peak,night
4349,מסעף שניר/כניסה צפונית,North,33.247714,35.682955,2.0,4.0,0.002230154019405989,1536,morning_peak,night
39050,קיבוץ לביא,North,32.787433,35.439384,3.0,10.0,0.0022281778016987118,1539,morning_peak,night
29067,בית ספר רבין/דרך יותם,South,29.55413,34.936442,8.0,30.0,0.0021848384122373295,1556,morning_peak,night
5402,דרך הגבורה/אורות נריה,North,32.782913,35.530876,6.0,45.0,0.0021666058793190445,1562,morning_peak,night
18798,מסעף אלוני אבא,North,32.73382,35.172226,2.0,12.0,0.0021496197479306347,1571,morning_peak,night
6937,מסעף אלונים,North,32.715007,35.144208,2.0,12.0,0.0021496197479306347,1572,morning_peak,night
20996,אל-עומאל אל-ערב/אום קוביי,North,32.703241,35.28827,4.0,40.0,0.0021388189768965084,1578,morning_peak,night
20310,מיצר,North,32.7684,35.735434,4.0,16.0,0.002134828623301971,1582,morning_peak,night
51872,צומת דשנים לדרום,North,32.784891,35.07703,2.0,36.0,0.002122562751580582,1591,morning_peak,night
18795,מזכירות אלוני אבא,North,32.729597,35.170693,3.0,24.0,0.002116787827336968,1593,morning_peak,night
18796,מגרש כדורגל,North,32.731813,35.172148,3.0,24.0,0.002116787827336968,1594,morning_peak,night
39770,הרימון/תאנה,South,31.328022,34.561309,2.0,4.0,0.00209590971600594,1605,morning_peak,night
3830,דרך דשנים/התעשייה,North,32.801635,35.075693,4.0,44.0,0.002091977695756795,1606,morning_peak,night
4303,מסעף טבח'ה,North,32.87478,35.548154,2.0,18.0,0.002073157290641659,1617,morning_peak,night
28279,צומת חלוקים,South,30.88406,34.794292,3.0,8.0,0.002064704254445524,1622,morning_peak,night
19961,מסעף כפר חרוב,North,32.759808,35.669432,3.0,8.0,0.002059583763151066,1625,morning_peak,night
4301,גן לאומי כפר נחום,North,32.884647,35.576031,2.0,18.0,0.002040548716446589,1634,morning_peak,night
4300,חוף אמנון,North,32.893572,35.593445,2.0,18.0,0.0020080741500906763,1653,morning_peak,night
29282,חטיבת הנגב/אילות,South,29.552965,34.947229,2.0,9.0,0.002002353513219534,1658,morning_peak,night
4297,צומת אלמגור,North,32.893678,35.597145,2.0,18.0,0.001975778260853641,1669,morning_peak,night
4305,צומת כפר נחום,North,32.875457,35.545799,2.0,10.0,0.0019530573858468556,1677,morning_peak,night
4313,צומת בית צידה,North,32.904255,35.632978,3.0,18.0,0.0019483097083962215,1682,morning_peak,night
27272,פטיש מרכז,South,31.327925,34.561564,2.0,8.0,0.00193745822696621,1684,morning_peak,night
4304,מסעף טבח'ה,North,32.874225,35.549206,2.0,10.0,0.0019203594730923465,1693,morning_peak,night
7169,מחנה אל פורן,North,33.140001,35.767502,4.0,18.0,0.001839626951780012,1733,morning_peak,night
17613,צומת נהריה,North,33.004903,35.099141,5.0,14.0,0.0017145798760865106,1795,morning_peak,night
38798,דרך הרים/דרך הגיא,South,29.554751,34.929944,2.0,2.0,0.0016604520268056228,1837,morning_peak,night
43742,דוד אלעזר/ישראל שמיד,Center,31.931214,34.812312,4.0,16.0,0.0013759946030572313,2035,morning_peak,night
50000,מגרש כדורגל/אל סכאכני,Jerusalem,31.831663,35.228406,2.0,22.0,0.001298552992135275,2104,morning_peak,night
49607,גלובוס סנטר/שדרות חיים בר לב,Center,31.628281,34.582178,2.0,6.0,0.0012784053433726266,2116,morning_peak,night
49987,אל סכאכני/טהה חוסין,Jerusalem,31.832159,35.226683,2.0,22.0,0.0012653190480241348,2127,morning_peak,night
49998,אל זיתונה/אל סכאכני,Jerusalem,31.832277,35.225956,2.0,22.0,0.0012320851039129951,2166,morning_peak,night
27475,חוצות היוצר/העמל,Center,31.639274,34.551243,4.0,16.0,0.0011700813583963052,2233,morning_peak,night
21718,בית ספר כפר גנים/י''ד הבנים,Center,32.073542,34.882126,2.0,6.0,0.0011525253599587073,2246,morning_peak,night
34178,אורט רחובות/משה שרת,Center,31.882376,34.808356,4.0,20.0,0.001141720779102631,2254,morning_peak,night
40784,מעלה השלום/בתי מחסה,Jerusalem,31.774752,35.234519,2.0,6.0,0.0011407534648319724,2257,morning_peak,night
1252,651/השיטה,Center,32.479206,34.942276,6.0,54.0,0.0011233066214547992,2281,morning_peak,night
17451,חבצלת/שדרות קק''ל,Center,32.465093,34.976954,4.0,86.0,0.0011071388071176198,2301,morning_peak,night
4438,מסעף אודם,North,33.203558,35.737342,3.0,10.0,0.00110580771252997,2302,morning_peak,night
3027,בית ספר ישורון/הבוטנים,Center,32.472538,34.969166,2.0,22.0,0.0009471899672301305,2473,morning_peak,night
43679,יציאה מערבית,North,32.963428,35.298289,3.0,24.0,0.0009445016776857204,2476,morning_peak,night
44364,צומת פל ים,Center,32.48093,34.91877,5.0,56.0,0.0009142737410079705,2526,morning_peak,night
42902,כביש 6353/דרך ארץ,Center,32.471388,35.041242,2.0,8.0,0.000905787396193576,2537,morning_peak,night
49615,דרך יגאל ידין,North,32.795226,35.036336,5.0,108.0,0.0008904633893112293,2565,morning_peak,night
